,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-07-19-eastern-kentucky,50.0,19,7.5,4,81.9,63.2,36,0.553,76,0.5,38,0.421,32,0.656,21,0,200,111.7,34.2,13,26,105,,6.4,6,0.303,23,0.348,8,51.6,49,0.576,15.1,16,53,0.566,30,1.0,1,"November 7, 2018",30.8,8,9.4,5,111.7,65.8,25,0.344,80,0.325,26,0.45,36,0.611,22,1,200,81.9,36.8,21,25,77,,9.6,9,0.338,27,0.111,3,48.4,46,0.396,15.1,17,53,0.434,23,0.0,0,"McBrayer Arena, Richmond, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,93.7,Away,MARSHALL,Marshall,Eastern Kentucky,ovc
2018-11-10-19-chattanooga,46.4,13,5.7,2,92.9,86.7,26,0.492,65,0.431,28,0.369,24,0.708,17,1,200,96.4,16.2,6,27,81,,10.7,9,0.446,29,0.276,8,47.8,32,0.53,14.7,13,36,0.556,20,0.5,1,"November 10, 2018",48.0,12,8.3,3,96.4,83.8,31,0.528,53,0.472,25,0.585,31,0.71,22,1,200,92.9,13.3,4,25,78,,3.6,3,0.34,18,0.333,6,52.2,35,0.576,23.1,20,35,0.543,19,0.5,1,"The McKenzie Arena, Chattanooga, Tennessee",CHATTANOOGA,Chattanooga,83.6,Away,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc
2018-11-13-19-eastern-kentucky,72.2,13,7.4,4,125.9,55.6,25,0.379,58,0.31,18,0.259,15,0.533,8,0,200,61.2,14.3,6,17,52,,7.1,6,0.345,20,0.4,8,35.6,31,0.399,27.9,25,38,0.263,10,0.0,0,"November 13, 2018",59.0,23,13.2,5,61.2,85.7,36,0.542,83,0.47,39,0.289,24,0.708,17,1,200,125.9,44.4,20,15,107,,14.1,12,0.349,29,0.414,12,64.4,56,0.567,11.4,12,54,0.5,27,0.667,2,"McBrayer Arena, Richmond, Kentucky","Midway
			","Midway
			",85.3,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc
2018-11-16-19-kansas-state,56.0,14,0.0,0,115.9,60.7,17,0.453,64,0.391,25,0.234,15,0.667,10,2,200,82.9,11.1,4,21,68,,8.5,7,0.438,28,0.286,8,32.8,21,0.478,18.5,16,36,0.472,17,0.5,2,"November 16, 2018",48.6,18,11.1,4,82.9,88.9,32,0.582,67,0.552,37,0.343,23,0.739,17,0,200,115.9,39.3,11,17,95,12,11.0,9,0.254,17,0.235,4,67.2,43,0.61,14.4,13,50,0.66,33,1.0,3,"Virgin Islands Sport & Fitness Center , St. Thomas",EASTERN-KENTUCKY,Eastern Kentucky,81.5,Home,KANSAS-STATE,Kansas State,Eastern Kentucky,ovc
2018-11-17-17-eastern-kentucky,50.0,13,5.9,2,101.2,71.1,27,0.543,58,0.448,26,0.569,33,0.818,27,2,200,107.1,10.7,3,19,90,,2.4,2,0.466,27,0.407,11,45.5,30,0.611,13.2,11,31,0.484,15,0.5,2,"November 17, 2018",51.9,14,0.0,0,107.1,89.3,25,0.472,71,0.38,27,0.324,23,0.783,18,3,200,101.2,28.9,11,28,85,,6.0,5,0.521,37,0.351,13,54.5,36,0.519,15.6,15,34,0.412,14,0.4,2,"Virgin Islands Sport & Fitness Center , St. Thomas",EASTERN-KENTUCKY,Eastern Kentucky,83.8,Away,NORTHERN-IOWA,Northern Iowa,Eastern Kentucky,ovc
2018-11-19-13-eastern-kentucky,20.8,5,6.8,3,122.0,73.0,27,0.463,54,0.444,24,0.759,41,0.756,31,5,200,98.8,32.0,8,22,81,,4.9,4,0.148,8,0.25,2,56.5,35,0.551,20.9,19,46,0.478,22,0.167,1,"November 19, 2018",45.9,17,15.2,7,98.8,68.0,17,0.588,74,0.5,37,0.27,20,0.65,13,3,200,122.0,27.0,10,28,100,,14.6,12,0.405,30,0.433,13,43.5,27,0.599,7.8,7,44,0.545,24,0.5,3,"Virgin Islands Sport & Fitness Center , St. Thomas",KENNESAW-STATE,Kennesaw State,82.5,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc
2018-11-28-18-tennessee,52.4,11,0.0,0,115.9,54.1,20,0.424,59,0.356,21,0.424,25,0.68,17,4,200,81.7,16.2,6,23,67,,15.9,13,0.492,29,0.276,8,35.1,26,0.473,22.2,20,30,0.433,13,0.429,3,"November 28, 2018",68.6,24,16.7,5,81.7,83.8,31,0.558,69,0.507,35,0.362,25,0.72,18,1,200,115.9,45.9,17,20,95,6,6.1,5,0.406,28,0.25,7,64.9,48,0.587,16.7,16,41,0.683,28,0.833,5,"Thompson-Boling Arena, Knoxville, Tennessee",EASTERN-KENTUCKY,Eastern Kentucky,82.4,Home,TENNESSEE,Tennessee,Eastern Kentucky,ovc
2018-12-01-14-high-point,34.6,9,14.6,6,92.0,82.8,24,0.426,68,0.382,26,0.235,16,0.75,12,4,200,93.3,24.4,10,21,70,,10.7,8,0.324,22,0.273,6,48.6,34,0.463,10.7,9,46,0.435,20,0.5,4,"December 1, 2018",36.4,8,8.7,4,93.3,75.6,31,0.471,51,0.431,22,0.569,29,0.724,21,5,200,92.0,17.2,5,14,69,,6.7,5,0.196,10,0.4,4,51.4,36,0.533,19.0,15,41,0.439,18,0.375,3,"Millis Center, High Point, North Carolina",HIGH-POINT,High Point,74.7,Away,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc
2018-12-05-19-eastern-kentucky,51.7,15,6.0,3,91.9,63.8,30,0.492,66,0.439,29,0.242,16,0.75,12,7,200,89.5,31.3,10,18,77,,9.3,8,0.333,22,0.318,7,50.6,40,0.523,25.5,25,44,0.5,22,0.222,2,"December 5, 2018",59.3,16,18.2,8,89.5,68.8,22,0.414,76,0.355,27,0.276,21,0.762,16,4,200,91.9,36.2,17,15,79,,16.3,14,0.342,26,0.346,9,49.4,39,0.459,14.1,14,50,0.36,18,0.556,5,"McBrayer Arena, Richmond, Kentucky",SOUTH-CAROLINA-UPSTATE,USC Upstate,85.8,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc
2018-12-08-18-eastern-kentucky,53.6,15,5.0,2,104.1,65.8,25,0.485,66,0.424,28,0.242,16,0.625,10,3,200,101.4,36.8,14,22,74,,2.7,2,0.455,30,0.267,8,51.3,39,0.503,15.1,13,36,0.556,20,0.727,8,"December 8, 2018",60.9,14,13.9,5,101.4,63.2,24,0.425,60,0.383,23,0.533,32,0.781,25,4,200,104.1,34.2,13,18,76,,11.0,8,0.333,20,0.25,5,48.7,37,0.505,12.9,11,40,0.45,18,0.6,6,"McBrayer Arena, Richmond, Kentucky",NORTHERN-KENTUCKY,Northern Kentucky,72.9,Home,EASTERN-KENTUCKY,Eastern Kentucky,Eastern Kentucky,ovc
