,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-pittsburgh,61.1,11,13.6,6,92.0,69.7,23,0.328,67,0.269,18,0.209,14,0.643,9,1,200,70.7,33.3,15,24,53,,12.0,9,0.567,38,0.211,8,48.7,38,0.36,20.6,19,29,0.345,10,0.0,0,"November 6, 2018",37.0,10,6.9,2,70.7,66.7,30,0.509,55,0.491,27,0.4,22,0.591,13,0,200,92.0,30.3,10,16,69,,9.3,7,0.2,11,0.182,2,51.3,40,0.527,19.8,16,44,0.568,25,1.0,1,"Petersen Events Center, Pittsburgh, Pennsylvania",YOUNGSTOWN-STATE,Youngstown State,74.6,Home,PITTSBURGH,Pitt,Youngstown State,horizon
2018-11-10-16-youngstown-state,33.3,12,3.2,1,97.2,68.6,24,0.617,64,0.563,36,0.406,26,0.731,19,0,200,138.0,30.0,9,18,98,,7.0,5,0.344,22,0.318,7,50.8,33,0.642,6.2,5,42,0.69,29,1.0,2,"November 10, 2018",50.0,13,4.8,2,138.0,70.0,21,0.533,60,0.433,26,0.167,10,0.5,5,2,200,97.2,31.4,11,27,69,,1.4,1,0.483,29,0.414,12,49.2,32,0.533,18.9,15,31,0.452,14,0.0,0,"Wolstein Center, Cleveland, Ohio",YOUNGSTOWN-STATE,Youngstown State,70.6,Away,AKRON,Akron,Youngstown State,horizon
2018-11-12-19-youngstown-state,46.7,14,9.3,5,112.8,47.2,17,0.463,80,0.375,30,0.15,12,0.75,9,0,200,88.3,26.8,11,28,83,,9.6,9,0.513,41,0.341,14,36.4,28,0.484,20.5,22,39,0.41,16,0.0,0,"November 12, 2018",51.4,18,15.4,6,88.3,73.2,30,0.521,71,0.493,35,0.592,42,0.762,32,2,200,112.8,52.8,19,14,106,,11.7,11,0.239,17,0.235,4,63.6,49,0.583,17.5,19,54,0.574,31,0.333,1,"Beeghly Center, Youngstown, Ohio","Heidelberg
			","Heidelberg
			",93.8,Home,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon
2018-11-16-20-columbia,50.0,15,6.4,3,106.4,78.1,25,0.536,69,0.435,30,0.333,23,0.87,20,2,200,120.5,26.3,10,17,94,,11.5,9,0.464,32,0.438,14,50.0,35,0.588,9.2,8,37,0.432,16,0.5,2,"November 16, 2018",44.1,15,2.7,1,120.5,73.7,28,0.544,68,0.5,34,0.191,13,0.692,9,2,200,106.4,21.9,7,18,83,,2.6,2,0.309,21,0.286,6,50.0,35,0.559,13.0,11,47,0.596,28,0.0,0,"Rose Hill Gym, Bronx, New York",COLUMBIA,Columbia,78.1,Away,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon
2018-11-17-15-fordham,54.2,13,3.1,1,97.1,82.4,28,0.467,60,0.4,24,0.117,7,0.714,5,3,200,88.4,21.9,7,14,61,,7.2,5,0.417,25,0.32,8,53.0,35,0.482,18.2,14,35,0.457,16,0.4,2,"November 17, 2018",50.0,12,11.4,4,88.4,78.1,25,0.475,59,0.407,24,0.237,14,0.786,11,1,200,97.1,17.6,6,12,67,,7.2,5,0.458,27,0.296,8,47.0,31,0.51,12.1,9,32,0.5,16,0.75,3,"Rose Hill Gym, Bronx, New York",YOUNGSTOWN-STATE,Youngstown State,69.5,Home,FORDHAM,Fordham,Youngstown State,horizon
2018-11-18-12-florida-international,45.7,16,4.9,2,117.2,73.3,22,0.549,72,0.486,35,0.319,23,0.609,14,4,200,106.9,52.6,20,28,93,,9.2,8,0.431,31,0.29,9,61.8,42,0.561,21.9,23,41,0.634,26,0.333,2,"November 18, 2018",45.7,16,2.4,1,106.9,47.4,18,0.592,65,0.538,35,0.523,34,0.735,25,1,200,117.2,26.7,8,18,102,,11.5,10,0.369,24,0.292,7,38.2,26,0.628,14.9,14,41,0.683,28,0.833,5,"Rose Hill Gym, Bronx, New York",YOUNGSTOWN-STATE,Youngstown State,86.5,Home,FLORIDA-INTERNATIONAL,Florida International,Youngstown State,horizon
2018-11-21-19-youngstown-state,56.5,13,4.7,2,120.9,64.9,24,0.438,64,0.359,23,0.234,15,0.667,10,0,200,76.7,18.4,7,19,66,,2.3,2,0.469,30,0.333,10,41.3,31,0.464,24.6,23,34,0.382,13,0.0,0,"November 21, 2018",56.4,22,20.6,7,76.7,81.6,31,0.584,77,0.506,39,0.273,21,0.667,14,4,200,120.9,35.1,13,19,104,,18.6,16,0.442,34,0.353,12,58.7,44,0.598,10.4,10,43,0.628,27,0.429,3,"Beeghly Center, Youngstown, Ohio","Westminster
			","Westminster
			",85.6,Home,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon
2018-11-28-19-robert-morris,35.0,7,5.3,2,110.1,78.1,25,0.447,57,0.351,20,0.175,10,0.5,5,5,200,81.2,26.5,9,23,56,,2.9,2,0.596,34,0.324,11,51.5,34,0.453,21.7,17,23,0.391,9,0.375,3,"November 28, 2018",64.0,16,8.7,2,81.2,73.5,25,0.518,57,0.439,25,0.421,24,0.708,17,3,200,110.1,21.9,7,15,76,,14.5,10,0.333,19,0.474,9,48.5,32,0.556,9.4,7,38,0.421,16,0.571,4,"North Athletic Complex, Pittsburgh, Pennsylvania",YOUNGSTOWN-STATE,Youngstown State,69.1,Home,ROBERT-MORRIS,Robert Morris,Youngstown State,horizon
2018-12-01-16-west-virginia,57.7,15,2.4,1,141.3,53.8,21,0.442,69,0.377,26,0.232,16,0.688,11,6,200,96.0,35.6,16,21,72,,4.0,3,0.522,36,0.25,9,44.0,37,0.47,16.5,15,33,0.515,17,0.333,3,"December 1, 2018",50.0,20,18.2,6,96.0,64.4,29,0.615,74,0.541,40,0.311,23,0.652,15,2,200,141.3,46.2,18,15,106,,5.3,4,0.432,32,0.344,11,56.0,47,0.624,8.7,8,42,0.69,29,0.714,5,"WVU Coliseum, Morgantown, West Virginia",YOUNGSTOWN-STATE,Youngstown State,75.3,Home,WEST-VIRGINIA,West Virginia,Youngstown State,horizon
2018-12-04-19-youngstown-state,38.2,13,10.9,6,93.1,59.6,31,0.514,72,0.472,34,0.611,44,0.591,26,2,275,99.0,25.6,11,18,100,,14.9,15,0.208,15,0.4,6,44.2,42,0.538,16.5,18,57,0.491,28,0.778,7,"December 4, 2018",37.8,14,14.0,8,99.0,74.4,32,0.451,92,0.402,37,0.207,19,0.579,11,7,275,93.1,40.4,21,29,94,,7.9,8,0.402,37,0.243,9,55.8,53,0.465,18.0,22,55,0.509,28,0.3,3,"Beeghly Center, Youngstown, Ohio",YOUNGSTOWN-STATE,Youngstown State,73.4,Away,CENTRAL-MICHIGAN,Central Michigan,Youngstown State,horizon
