,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-20-saint-louis,56.0,14,3.4,1,100.0,74.2,23,0.491,58,0.431,25,0.172,10,0.8,8,1,200,86.7,15.6,5,28,65,,5.3,4,0.293,17,0.412,7,44.4,28,0.518,20.4,16,41,0.439,18,0.0,0,"November 6, 2018",61.5,16,9.8,4,86.7,84.4,27,0.519,54,0.481,26,0.611,33,0.576,19,0,200,100.0,25.8,8,15,75,,12.0,9,0.463,25,0.16,4,55.6,35,0.538,17.0,14,29,0.759,22,1.0,1,"Chaifetz Arena, St. Louis, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,74.7,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2018-11-10-20-saint-louis,71.4,15,13.3,4,91.2,66.7,26,0.435,54,0.389,21,0.278,15,0.733,11,1,200,85.3,16.7,5,22,58,,11.8,8,0.389,21,0.238,5,44.9,31,0.474,18.8,14,33,0.485,16,0.5,1,"November 10, 2018",76.2,16,9.1,3,85.3,83.3,25,0.446,56,0.375,21,0.446,25,0.48,12,0,200,91.2,33.3,13,17,62,,10.3,7,0.464,26,0.308,8,55.1,38,0.457,13.0,10,30,0.433,13,1.0,2,"Chaifetz Arena, St. Louis, Missouri",TROY,Troy,67.5,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2018-11-13-20-saint-louis,55.0,11,5.7,2,97.2,90.3,28,0.393,56,0.357,20,0.339,19,0.737,14,2,200,81.7,16.7,6,23,58,,4.2,3,0.268,15,0.267,4,50.7,34,0.446,17.9,14,41,0.39,16,0.333,1,"November 13, 2018",79.2,19,14.6,6,81.7,83.3,30,0.51,51,0.471,24,0.529,27,0.63,17,0,200,97.2,9.7,3,18,69,,11.3,8,0.314,16,0.25,4,49.3,33,0.541,11.3,8,35,0.571,20,1.0,3,"Chaifetz Arena, St. Louis, Missouri",NORTH-ALABAMA,North Alabama,70.9,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2018-11-17-20-seton-hall,40.0,8,17.5,7,87.7,83.9,26,0.536,42,0.476,20,0.714,30,0.7,21,0,200,90.4,29.2,7,27,66,,11.0,8,0.19,8,0.625,5,60.0,33,0.587,29.4,23,34,0.441,15,1.0,4,"November 17, 2018",21.1,4,11.8,4,90.4,70.8,17,0.368,57,0.333,19,0.544,31,0.71,22,2,200,87.7,16.1,5,20,64,,11.0,8,0.298,17,0.235,4,40.0,22,0.446,10.2,8,40,0.375,15,0.333,1,"Prudential Center, Newark, New Jersey",SETON-HALL,Seton Hall,73.5,Away,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2018-11-21-12-pittsburgh,41.4,12,16.3,7,104.2,78.8,26,0.463,68,0.426,29,0.235,16,0.625,10,1,200,101.4,39.0,16,23,73,,9.7,7,0.221,15,0.333,5,56.8,42,0.483,12.8,11,53,0.453,24,0.8,4,"November 21, 2018",41.7,10,9.4,5,101.4,61.0,25,0.473,55,0.436,24,0.618,34,0.676,23,0,200,104.2,21.2,7,19,75,,6.9,5,0.218,12,0.333,4,43.2,32,0.527,11.4,9,43,0.465,20,1.0,6,"Barclays Center, Brooklyn, New York",SAINT-LOUIS,Saint Louis,71.9,Home,PITTSBURGH,Pitt,Saint Louis,atlantic-10
2018-11-24-16-saint-louis,50.0,10,8.3,3,100.0,59.4,19,0.429,56,0.357,20,0.321,18,0.722,13,4,200,83.6,11.4,4,20,61,,6.8,5,0.446,25,0.32,8,34.3,23,0.473,16.9,13,31,0.387,12,0.333,2,"November 24, 2018",72.7,16,16.1,5,83.6,88.6,31,0.49,52,0.423,22,0.615,32,0.688,22,1,200,100.0,40.6,13,19,73,,6.8,5,0.308,16,0.438,7,65.7,44,0.543,21.4,18,36,0.417,15,0.833,5,"Chaifetz Arena, St. Louis, Missouri",CENTRAL-ARKANSAS,Central Arkansas,72.9,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2018-12-01-17-saint-louis,22.2,4,3.6,1,91.4,75.9,22,0.313,64,0.281,18,0.234,15,0.8,12,2,200,74.3,31.8,14,21,52,,12.9,9,0.375,24,0.167,4,49.3,36,0.366,16.5,14,40,0.35,14,0.714,5,"December 1, 2018",50.0,10,20.0,8,74.3,68.2,30,0.523,43,0.465,20,0.698,30,0.633,19,1,200,91.4,24.1,7,16,64,,11.4,8,0.349,15,0.333,5,50.7,37,0.559,24.3,18,28,0.536,15,0.857,6,"Chaifetz Arena, St. Louis, Missouri",BUTLER,Butler,69.7,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2018-12-05-20-southern-illinois,60.9,14,6.1,2,80.3,87.5,28,0.377,69,0.333,23,0.13,9,0.444,4,2,200,73.7,25.6,11,19,56,,11.8,9,0.377,26,0.231,6,52.0,39,0.382,18.0,16,43,0.395,17,0.75,6,"December 5, 2018",47.8,11,18.6,8,73.7,74.4,32,0.49,51,0.451,23,0.412,21,0.524,11,3,200,80.3,12.5,4,13,61,,11.8,9,0.353,18,0.222,4,48.0,36,0.5,21.0,16,33,0.576,19,0.667,6,"The SIU Arena, Carbondale, Illinois",SAINT-LOUIS,Saint Louis,75.6,Home,SOUTHERN-ILLINOIS,Southern Illinois,Saint Louis,atlantic-10
2018-12-09-15-saint-louis,71.4,15,5.3,2,95.6,67.6,25,0.453,53,0.396,21,0.321,17,0.765,13,2,200,89.7,35.7,10,25,61,,11.8,8,0.415,22,0.273,6,53.8,35,0.499,20.9,16,31,0.484,15,0.75,6,"December 9, 2018",57.1,12,12.9,4,89.7,64.3,18,0.5,50,0.42,21,0.64,32,0.469,15,2,200,95.6,32.4,12,19,65,,14.7,10,0.24,12,0.667,8,46.2,30,0.498,19.0,15,38,0.342,13,0.778,7,"Chaifetz Arena, St. Louis, Missouri",OREGON-STATE,Oregon State,67.6,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10
2018-12-16-15-houston,27.3,6,10.0,3,103.0,68.8,22,0.417,60,0.367,22,0.383,23,0.609,14,3,200,97.0,28.6,12,20,64,,10.6,7,0.317,19,0.316,6,45.9,34,0.451,10.2,8,41,0.39,16,0.7,7,"December 16, 2018",45.5,10,12.2,5,97.0,71.4,30,0.5,50,0.44,22,0.5,25,0.72,18,0,200,103.0,31.3,10,22,68,24,9.1,6,0.4,20,0.3,6,54.1,40,0.549,18.7,14,30,0.533,16,1.0,10,"Hofheinz Pavilion, Houston, Texas",SAINT-LOUIS,Saint Louis,66.4,Home,HOUSTON,Houston,Saint Louis,atlantic-10
