,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-19-wofford,72.4,21,7.1,2,95.7,73.5,25,0.568,59,0.492,29,0.254,15,0.733,11,0,200,111.4,35.7,10,13,78,8,7.1,5,0.373,22,0.409,9,56.5,35,0.59,18.6,15,37,0.541,20,1.0,1,"November 6, 2018",33.3,8,5.4,2,111.4,64.3,18,0.452,63,0.381,24,0.175,11,0.909,10,1,200,95.7,26.5,9,15,67,,7.1,5,0.556,35,0.257,9,43.5,27,0.491,11.7,9,28,0.536,15,0.0,0,"Richardson Indoor Stadium, Spartanburg, South Carolina",WOFFORD,Wofford,69.7,Away,NORTH-CAROLINA,UNC,North Carolina,acc
2018-11-09-19-elon,40.0,18,16.7,5,77.0,82.9,34,0.557,87,0.517,45,0.31,27,0.704,19,0,200,133.3,51.2,21,22,116,8,13.8,12,0.276,24,0.292,7,67.1,55,0.581,10.0,11,63,0.603,38,1.0,2,"November 9, 2018",57.1,12,4.8,3,133.3,48.8,20,0.415,59,0.356,21,0.475,28,0.643,18,1,200,77.0,17.1,7,25,67,,2.3,2,0.492,29,0.241,7,32.9,27,0.463,21.0,19,30,0.467,14,0.5,1,"Schar Center, Elon, North Carolina",ELON,Elon,87.1,Away,NORTH-CAROLINA,UNC,North Carolina,acc
2018-11-12-19-north-carolina,63.0,17,8.6,5,111.1,69.7,23,0.455,67,0.403,27,0.224,15,0.733,11,1,200,88.9,22.5,9,18,72,,9.9,8,0.328,22,0.318,7,43.8,32,0.486,16.0,14,45,0.444,20,0.667,2,"November 12, 2018",54.3,19,11.1,5,88.9,77.5,31,0.535,71,0.493,35,0.296,21,0.667,14,0,200,111.1,30.3,10,18,90,7,8.6,7,0.183,13,0.462,6,56.2,41,0.556,13.0,12,58,0.5,29,1.0,3,"Dean Smith Center, Chapel Hill, North Carolina",STANFORD,Stanford,81.1,Home,NORTH-CAROLINA,UNC,North Carolina,acc
2018-11-16-19-north-carolina,39.1,9,5.9,3,130.1,46.7,14,0.391,64,0.359,23,0.203,13,0.615,8,4,200,69.9,20.0,9,18,58,,10.8,9,0.391,25,0.16,4,30.7,23,0.413,24.0,22,39,0.487,19,0.0,0,"November 16, 2018",70.7,29,20.5,8,69.9,80.0,36,0.588,74,0.554,41,0.351,26,0.808,21,0,200,130.1,53.3,16,15,108,7,19.3,16,0.311,23,0.217,5,69.3,52,0.625,13.2,13,51,0.706,36,1.0,4,"Dean Smith Center, Chapel Hill, North Carolina",TENNESSEE-TECH,Tennessee Tech,83.3,Home,NORTH-CAROLINA,UNC,North Carolina,acc
2018-11-19-20-north-carolina,34.8,8,10.0,4,117.4,67.6,23,0.418,67,0.343,23,0.403,27,0.741,20,3,200,88.4,20.5,9,23,76,,15.1,13,0.433,29,0.345,10,41.0,32,0.476,17.7,17,38,0.342,13,0.25,1,"November 19, 2018",70.6,24,13.2,5,88.4,79.5,35,0.6,65,0.523,34,0.415,27,0.852,23,0,200,117.4,32.4,11,20,101,7,9.3,8,0.385,25,0.4,10,59.0,46,0.649,19.0,18,40,0.6,24,1.0,5,"Dean Smith Center, Chapel Hill, North Carolina",SAINT-FRANCIS-PA,Saint Francis (PA),86.3,Home,NORTH-CAROLINA,UNC,North Carolina,acc
2018-11-22-19-north-carolina,48.4,15,12.2,5,111.3,60.0,21,0.619,59,0.525,31,0.492,29,0.655,19,0,200,115.0,26.5,9,18,92,,7.5,6,0.407,24,0.458,11,43.5,30,0.632,15.3,13,35,0.571,20,1.0,5,"November 22, 2018",41.9,13,5.7,2,115.0,73.5,25,0.521,70,0.443,31,0.3,21,0.762,16,1,200,111.3,40.0,14,23,89,7,5.0,4,0.414,29,0.379,11,56.5,39,0.556,17.7,17,41,0.488,20,0.833,5,"Orleans Arena, Paradise, Nevada",NORTH-CAROLINA,UNC,79.9,Away,TEXAS,Texas,North Carolina,acc
2018-11-23-16-ucla,67.7,21,8.1,3,104.0,71.4,25,0.57,64,0.484,31,0.438,28,0.75,21,1,200,125.3,20.7,6,21,94,7,8.0,6,0.359,23,0.478,11,48.4,31,0.608,7.3,6,41,0.488,20,0.857,6,"November 23, 2018",57.7,15,12.2,5,125.3,79.3,23,0.525,59,0.441,26,0.441,26,0.615,16,2,200,104.0,28.6,10,23,78,17,5.3,4,0.373,22,0.455,10,51.6,33,0.547,14.6,12,37,0.432,16,0.667,4,"Orleans Arena, Paradise, Nevada",UCLA,UCLA,75.3,Away,NORTH-CAROLINA,UNC,North Carolina,acc
2018-11-28-21-michigan,50.0,13,3.1,1,118.3,93.3,28,0.447,66,0.394,26,0.197,13,0.615,8,2,200,94.4,29.4,10,21,67,11,2.8,2,0.318,21,0.333,7,59.4,38,0.464,12.2,10,45,0.422,19,0.75,6,"November 28, 2018",48.4,15,13.3,6,94.4,70.6,24,0.676,54,0.574,31,0.426,23,0.478,11,0,200,118.3,6.7,2,14,84,7,5.6,4,0.407,22,0.5,11,40.6,26,0.647,9.8,7,32,0.625,20,1.0,7,"Crisler Arena, Ann Arbor, Michigan",NORTH-CAROLINA,UNC,71.1,Home,MICHIGAN,Michigan,North Carolina,acc
2018-12-05-21-north-carolina,59.1,13,2.0,1,112.8,57.5,23,0.419,62,0.355,22,0.339,21,0.714,15,6,200,80.2,27.9,12,19,67,,10.5,9,0.435,27,0.296,8,42.2,35,0.479,26.0,25,35,0.4,14,0.4,4,"December 5, 2018",62.2,23,11.4,4,80.2,72.1,31,0.533,75,0.493,37,0.373,28,0.607,17,2,200,112.8,42.5,17,19,97,14,15.1,13,0.32,24,0.25,6,57.8,48,0.549,14.7,15,51,0.608,31,0.778,7,"Dean Smith Center, Chapel Hill, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,85.6,Home,NORTH-CAROLINA,UNC,North Carolina,acc
2018-12-15-19-north-carolina,53.1,17,10.3,4,121.2,57.1,16,0.571,63,0.508,32,0.365,23,0.783,18,2,200,105.9,12.9,4,20,90,4,15.3,13,0.349,22,0.364,8,33.9,20,0.609,16.1,14,41,0.585,24,0.818,9,"December 15, 2018",51.4,18,4.9,2,105.9,87.1,27,0.648,64,0.547,35,0.391,25,0.8,20,2,200,121.2,42.9,12,18,103,12,7.1,6,0.391,25,0.52,13,66.1,39,0.679,22.7,22,39,0.564,22,0.8,8,"Dean Smith Center, Chapel Hill, North Carolina",GONZAGA,Gonzaga,84.9,Home,NORTH-CAROLINA,UNC,North Carolina,acc
