,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-21-new-mexico-state,40.0,8,7.5,3,110.6,61.5,24,0.446,56,0.357,20,0.161,9,0.667,6,1,195,84.8,13.9,5,14,56,,4.5,3,0.482,27,0.37,10,38.7,29,0.465,15.5,11,29,0.345,10,0.0,0,"November 6, 2018",27.6,8,10.3,3,84.8,86.1,31,0.477,66,0.439,29,0.242,16,0.625,10,0,195,110.6,38.5,15,14,73,,7.6,5,0.394,26,0.192,5,61.3,46,0.496,9.9,8,40,0.6,24,1.0,1,"Pan American Center, Las Cruces, New Mexico",NORTH-DAKOTA-STATE,North Dakota State,68.1,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac
2018-11-09-21-new-mexico-state,24.0,6,2.4,1,124.7,67.6,25,0.5,58,0.431,25,0.328,19,0.579,11,1,200,89.6,9.4,3,24,69,,2.6,2,0.31,18,0.444,8,40.6,28,0.515,16.4,13,40,0.425,17,0.5,1,"November 9, 2018",47.2,17,2.5,1,89.6,90.6,29,0.575,73,0.493,36,0.26,19,0.632,12,0,200,124.7,32.4,12,21,96,,6.5,5,0.438,32,0.375,12,59.4,41,0.585,7.9,7,41,0.585,24,1.0,2,"Pan American Center, Las Cruces, New Mexico",TEXAS-EL-PASO,UTEP,77.0,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac
2018-11-14-21-new-mexico-state,36.0,9,0.0,0,93.5,73.0,27,0.546,54,0.463,25,0.296,16,0.875,14,0,200,117.7,24.1,7,21,73,,8.1,5,0.407,22,0.409,9,51.5,34,0.593,11.6,8,32,0.5,16,1.0,3,"November 14, 2018",30.0,6,3.1,1,117.7,75.9,22,0.382,55,0.364,20,0.418,23,0.696,16,1,200,93.5,27.0,10,14,58,,4.8,3,0.327,18,0.111,2,48.5,32,0.44,8.4,6,37,0.486,18,0.667,2,"Pan American Center, Las Cruces, New Mexico",NEW-MEXICO-STATE,New Mexico State,62.3,Away,SAINT-MARYS-CA,Saint Mary's,New Mexico State,wac
2018-11-17-18-new-mexico,40.0,12,3.1,1,123.7,84.0,21,0.679,53,0.566,30,0.736,39,0.667,26,1,200,128.9,40.0,10,28,98,,7.9,6,0.434,23,0.522,12,62.0,31,0.685,16.6,14,30,0.6,18,0.75,3,"November 17, 2018",41.9,13,6.7,2,128.9,60.0,15,0.702,52,0.596,31,0.577,30,0.7,21,1,200,123.7,16.0,4,30,94,,10.5,8,0.385,20,0.55,11,38.0,19,0.709,18.7,15,32,0.625,20,0.667,2,"The Pit, Albuquerque, New Mexico",NEW-MEXICO,New Mexico,76.4,Away,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac
2018-11-21-20-new-mexico-state,50.0,10,9.5,4,117.9,56.5,26,0.52,49,0.408,20,0.408,20,0.7,14,0,200,83.3,6.9,2,28,65,,7.7,6,0.469,23,0.478,11,37.3,28,0.556,24.7,19,26,0.346,9,0.0,0,"November 21, 2018",46.7,14,23.1,6,83.3,93.1,27,0.461,77,0.39,30,0.364,28,0.75,21,1,200,117.9,43.5,20,20,92,,6.4,5,0.455,35,0.314,11,62.7,47,0.509,11.0,11,42,0.452,19,0.8,4,"Pan American Center, Las Cruces, New Mexico","Eastern New Mexico
			","Eastern New Mexico
			",78.4,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac
2018-11-28-21-texas-el-paso,54.5,12,5.9,2,89.2,66.7,18,0.51,50,0.44,22,0.28,14,0.786,11,1,200,95.4,24.1,7,22,62,,6.2,4,0.46,23,0.304,7,44.6,25,0.547,22.2,16,27,0.556,15,0.833,5,"November 28, 2018",39.1,9,3.7,1,95.4,75.9,22,0.531,48,0.479,23,0.292,14,0.5,7,4,200,89.2,33.3,9,20,58,,7.7,5,0.292,14,0.357,5,55.4,31,0.531,26.0,19,34,0.529,18,0.333,2,"Don Haskins Center, El Paso, Texas",TEXAS-EL-PASO,UTEP,65.2,Away,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac
2018-12-01-21-new-mexico-state,23.1,6,4.2,1,103.0,69.4,25,0.565,54,0.481,26,0.13,7,0.286,2,2,200,94.0,28.6,8,18,63,,3.0,2,0.5,27,0.333,9,51.6,33,0.549,24.0,18,27,0.63,17,0.667,4,"December 1, 2018",66.7,14,0.0,0,94.0,71.4,20,0.457,58,0.362,21,0.362,21,0.762,16,1,200,103.0,30.6,11,14,69,,10.4,7,0.586,34,0.324,11,48.4,31,0.508,11.8,9,24,0.417,10,0.857,6,"Pan American Center, Las Cruces, New Mexico",WASHINGTON-STATE,Washington State,66.7,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac
2018-12-04-21-new-mexico-state,38.9,7,7.3,3,120.5,61.8,21,0.359,64,0.281,18,0.516,33,0.576,19,2,200,78.3,20.4,10,21,65,,8.4,7,0.484,31,0.323,10,37.3,31,0.408,12.3,11,33,0.242,8,0.667,4,"December 4, 2018",60.0,21,9.1,3,78.3,79.6,39,0.577,71,0.493,35,0.366,26,0.692,18,1,200,120.5,38.2,13,23,100,,8.4,7,0.423,30,0.4,12,62.7,52,0.6,14.5,14,41,0.561,23,0.875,7,"Pan American Center, Las Cruces, New Mexico",NEW-MEXICO,New Mexico,82.5,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac
2018-12-08-20-kansas,80.0,20,10.8,4,96.9,67.6,23,0.518,55,0.455,25,0.182,10,0.3,3,2,200,92.3,30.0,9,15,60,,9.2,6,0.473,26,0.269,7,50.0,32,0.502,19.1,14,29,0.621,18,0.778,7,"December 8, 2018",60.0,15,13.8,4,92.3,70.0,21,0.491,58,0.431,25,0.207,12,0.5,6,0,200,96.9,32.4,11,15,63,2,10.8,7,0.362,21,0.333,7,50.0,32,0.495,17.0,13,37,0.486,18,1.0,8,"Sprint Center, Kansas City, Missouri",NEW-MEXICO-STATE,New Mexico State,65.2,Home,KANSAS,Kansas,New Mexico State,wac
2018-12-17-21-new-mexico-state,28.6,6,8.1,3,105.7,56.7,17,0.412,57,0.368,21,0.351,20,0.75,15,3,200,88.6,32.4,11,19,62,,5.7,4,0.386,22,0.227,5,43.8,28,0.466,16.5,13,35,0.457,16,0.667,6,"December 17, 2018",41.4,12,5.7,2,88.6,67.6,23,0.553,57,0.509,29,0.298,17,0.647,11,2,200,105.7,43.3,13,19,74,,7.1,5,0.351,20,0.25,5,56.3,36,0.569,22.8,19,37,0.649,24,0.8,8,"Pan American Center, Las Cruces, New Mexico",NORTHERN-COLORADO,Northern Colorado,69.8,Home,NEW-MEXICO-STATE,New Mexico State,New Mexico State,wac
