,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-09-20-iona,47.6,10,0.0,0,96.0,75.8,25,0.457,58,0.362,21,0.276,16,0.938,15,1,200,90.7,36.4,12,20,68,,0.0,0,0.414,24,0.458,11,56.1,37,0.518,25.3,22,34,0.294,10,0.0,0,"November 9, 2018",64.0,16,5.9,2,90.7,63.6,21,0.491,57,0.439,25,0.439,25,0.64,16,0,200,96.0,24.2,8,16,72,,16.0,12,0.439,25,0.24,6,43.9,29,0.523,16.0,13,32,0.594,19,1.0,1,"Hynes Athletics Center, New Rochelle, New York",ALBANY-NY,Albany (NY),74.7,Home,IONA,Iona,Albany (NY),america-east
2018-11-14-19-albany-ny,64.3,18,10.3,4,95.3,69.2,27,0.6,55,0.509,28,0.2,11,0.455,5,1,200,110.9,36.7,11,21,71,,4.7,3,0.4,22,0.455,10,55.1,38,0.589,19.0,14,33,0.545,18,0.75,3,"November 14, 2018",70.0,14,9.1,3,110.9,63.3,19,0.381,59,0.339,20,0.373,22,0.727,16,2,200,95.3,30.8,12,13,61,,10.9,7,0.339,20,0.25,5,44.9,31,0.439,10.4,8,39,0.385,15,0.0,0,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),64.3,Away,BOSTON-UNIVERSITY,Boston University,Albany (NY),america-east
2018-11-17-15-canisius,68.0,17,3.3,1,93.0,77.1,27,0.617,47,0.532,25,0.532,25,0.68,17,2,200,105.6,22.2,6,19,75,,7.0,5,0.383,18,0.444,8,53.2,33,0.637,22.7,17,29,0.586,17,0.333,1,"November 17, 2018",52.2,12,6.9,2,105.6,77.8,21,0.433,60,0.383,23,0.417,25,0.56,14,1,200,93.0,22.9,8,24,66,,15.5,11,0.5,30,0.2,6,46.8,29,0.459,10.1,8,30,0.567,17,0.5,1,"Koessler Athletic Center, Buffalo, New York",CANISIUS,Canisius,70.9,Away,ALBANY-NY,Albany (NY),Albany (NY),america-east
2018-11-19-19-albany-ny,66.7,16,14.6,6,105.3,60.0,18,0.46,62,0.387,24,0.129,8,0.625,5,0,200,82.7,24.3,9,20,62,,12.0,9,0.387,24,0.375,9,40.3,27,0.471,21.6,18,38,0.395,15,0.0,0,"November 19, 2018",46.7,14,5.3,2,82.7,75.7,28,0.532,63,0.476,30,0.254,16,0.75,12,2,200,105.3,40.0,12,13,79,,10.7,8,0.349,22,0.318,7,59.7,40,0.559,19.5,17,41,0.561,23,0.5,2,"SEFCU Arena, Albany, New York","SUNY-Oneonta
			","SUNY-Oneonta
			",75.2,Home,ALBANY-NY,Albany (NY),Albany (NY),america-east
2018-11-20-19-albany-ny,69.2,18,20.0,7,94.2,61.1,22,0.509,56,0.464,26,0.357,20,0.6,12,2,225,100.0,20.6,7,12,69,,8.7,6,0.304,17,0.294,5,41.4,29,0.527,12.2,9,39,0.538,21,0.667,4,"November 20, 2018",69.6,16,2.6,1,100.0,79.4,27,0.444,63,0.365,23,0.222,14,0.643,9,3,225,94.2,38.9,14,22,65,,7.2,5,0.444,28,0.357,10,58.6,41,0.467,17.8,15,35,0.371,13,0.4,2,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),61.4,Away,HOLY-CROSS,Holy Cross,Albany (NY),america-east
2018-11-23-20-milwaukee,52.2,12,6.3,2,119.7,80.0,16,0.475,59,0.39,23,0.288,17,0.824,14,4,200,106.1,21.2,7,9,70,,10.6,7,0.508,30,0.333,10,43.4,23,0.522,10.7,8,29,0.448,13,0.333,2,"November 23, 2018",61.3,19,13.8,4,106.1,78.8,26,0.698,53,0.585,31,0.132,7,0.714,5,4,200,119.7,20.0,4,14,79,,1.5,1,0.396,21,0.571,12,56.6,30,0.701,17.6,12,32,0.594,19,0.333,2,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",ALBANY-NY,Albany (NY),66.2,Home,MILWAUKEE,Milwaukee,Albany (NY),america-east
2018-11-29-14-albany-ny,50.0,13,17.6,6,93.9,65.6,21,0.5,63,0.413,26,0.349,22,0.773,17,3,200,97.6,24.3,9,21,80,,12.2,10,0.444,28,0.393,11,43.5,30,0.545,18.0,16,35,0.429,15,0.571,4,"November 29, 2018",40.0,10,14.3,5,97.6,75.7,28,0.5,56,0.446,25,0.482,27,0.778,21,5,200,93.9,34.4,11,24,77,,7.3,6,0.393,22,0.273,6,56.5,39,0.559,27.7,26,34,0.559,19,0.286,2,"SSE Arena, Belfast",ALBANY-NY,Albany (NY),82.1,Away,LONG-ISLAND-UNIVERSITY,LIU,Albany (NY),america-east
2018-11-30-12-albany-ny,70.0,21,10.3,4,108.5,66.7,24,0.675,57,0.526,30,0.368,21,0.667,14,4,200,128.2,42.3,11,21,91,,8.5,6,0.579,33,0.515,17,56.5,35,0.679,18.5,15,24,0.542,13,0.5,4,"November 30, 2018",42.3,11,0.0,0,128.2,57.7,15,0.475,61,0.426,26,0.377,23,0.826,19,6,200,108.5,33.3,12,16,77,,11.3,8,0.361,22,0.273,6,43.5,27,0.535,13.4,11,39,0.513,20,0.25,2,"SSE Arena, Belfast",ALBANY-NY,Albany (NY),71.0,Away,DARTMOUTH,Dartmouth,Albany (NY),america-east
2018-12-08-19-albany-ny,41.7,10,5.9,1,120.6,72.0,18,0.442,60,0.4,24,0.317,19,0.526,10,11,200,92.6,50.0,16,24,63,,10.3,7,0.333,20,0.25,5,59.6,34,0.456,19.0,16,40,0.475,19,0.0,0,"December 8, 2018",71.4,15,10.0,4,92.6,50.0,16,0.609,46,0.457,21,0.652,30,0.867,26,6,200,120.6,28.0,7,19,82,,10.3,7,0.63,29,0.483,14,40.4,23,0.68,19.1,14,17,0.412,7,0.333,3,"SEFCU Arena, Albany, New York",MONMOUTH,Monmouth,68.1,Home,ALBANY-NY,Albany (NY),Albany (NY),america-east
2018-12-11-19-yale,65.2,15,2.5,1,100.0,78.1,25,0.45,60,0.383,23,0.217,13,0.692,9,7,200,88.7,14.3,5,19,63,,8.5,6,0.433,26,0.308,8,44.8,30,0.476,14.3,11,34,0.441,15,0.3,3,"December 11, 2018",65.5,19,5.9,2,88.7,85.7,30,0.574,54,0.537,29,0.407,22,0.409,9,3,200,100.0,21.9,7,16,71,,5.6,4,0.259,14,0.286,4,55.2,37,0.551,17.0,13,40,0.625,25,0.625,5,"John J. Lee Ampitheater, New Haven, Connecticut",ALBANY-NY,Albany (NY),71.3,Home,YALE,Yale,Albany (NY),america-east
