,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-11-06-22-stanford,25.0,7,2.4,1,128.0,68.2,15,0.484,64,0.438,28,0.328,21,0.571,12,1,200,98.7,28.2,11,25,74,,2.7,2,0.281,18,0.333,6,42.6,26,0.5,12.0,10,46,0.478,22,0.0,0,"November 6, 2018",41.4,12,13.0,6,98.7,71.8,28,0.616,56,0.518,29,0.589,33,0.818,27,0,200,128.0,31.8,7,23,96,,5.3,4,0.268,15,0.733,11,57.4,35,0.67,15.6,13,41,0.439,18,1.0,1,"Maples Pavilion, Stanford, California",SEATTLE,Seattle,75.3,Home,STANFORD,Stanford,Seattle,wac
2018-11-08-22-seattle,14.3,3,4.3,2,115.9,63.6,21,0.381,59,0.356,21,0.458,27,0.815,22,0,200,81.7,23.5,8,24,67,,9.8,8,0.288,17,0.176,3,43.3,29,0.466,20.3,18,42,0.429,18,0.0,0,"November 8, 2018",45.7,16,9.5,4,81.7,76.5,26,0.611,63,0.556,35,0.46,29,0.621,18,1,200,115.9,36.4,12,22,95,,7.3,6,0.27,17,0.412,7,56.7,38,0.619,18.3,17,46,0.609,28,0.5,1,"Connolly Center, Seattle, Washington","Puget Sound
			","Puget Sound
			",81.8,Home,SEATTLE,Seattle,Seattle,wac
2018-11-11-22-seattle,41.2,7,9.3,4,112.3,62.9,22,0.382,51,0.333,17,0.49,25,0.8,20,2,200,80.8,17.6,6,24,59,,12.3,9,0.51,26,0.192,5,40.6,28,0.469,17.3,13,25,0.48,12,0.0,0,"November 11, 2018",33.3,10,12.0,3,80.8,82.4,28,0.515,65,0.462,30,0.354,23,0.652,15,1,200,112.3,37.1,13,23,82,,11.0,8,0.338,22,0.318,7,59.4,41,0.54,14.8,13,43,0.535,23,0.667,2,"ShoWare Center, Kent, Washington",BRYANT,Bryant,72.9,Home,SEATTLE,Seattle,Seattle,wac
2018-11-14-22-seattle,38.1,8,5.6,2,101.3,75.9,22,0.338,71,0.296,21,0.338,24,0.875,21,1,200,89.6,36.0,18,21,69,,7.8,6,0.338,24,0.25,6,50.6,40,0.419,14.7,14,47,0.319,15,0.5,1,"November 14, 2018",39.3,11,14.9,7,89.6,64.0,32,0.555,55,0.509,28,0.418,23,0.739,17,1,200,101.3,24.1,7,22,78,,7.8,6,0.345,19,0.263,5,49.4,39,0.592,20.7,17,36,0.639,23,0.75,3,"ShoWare Center, Kent, Washington",WASHINGTON-STATE,Washington State,77.2,Home,SEATTLE,Seattle,Seattle,wac
2018-11-18-16-seattle,26.1,6,7.0,3,94.6,78.4,29,0.473,55,0.418,23,0.491,27,0.778,21,0,200,98.6,19.4,6,13,73,,6.8,5,0.291,16,0.375,6,51.5,35,0.538,14.1,11,39,0.436,17,1.0,3,"November 18, 2018",53.6,15,12.8,5,98.6,80.6,25,0.486,69,0.406,28,0.116,8,0.375,3,2,200,94.6,21.6,8,22,70,,8.1,6,0.377,26,0.423,11,48.5,33,0.481,13.2,11,43,0.395,17,0.6,3,"Connolly Center, Seattle, Washington",SEATTLE,Seattle,74.3,Away,SOUTHERN-UTAH,Southern Utah,Seattle,wac
2018-11-23-15-seattle,43.5,10,11.1,4,115.5,77.8,28,0.434,61,0.377,23,0.213,13,0.769,10,3,200,88.7,21.1,8,17,63,,2.8,2,0.279,17,0.412,7,48.6,36,0.469,15.2,12,44,0.364,16,0.25,1,"November 23, 2018",51.7,15,9.1,4,88.7,78.9,30,0.556,63,0.46,29,0.286,18,0.667,12,2,200,115.5,22.2,8,15,82,,4.2,3,0.429,27,0.444,12,51.4,38,0.573,9.0,7,36,0.472,17,0.667,4,"Connolly Center, Seattle, Washington",DENVER,Denver,70.9,Home,SEATTLE,Seattle,Seattle,wac
2018-11-24-18-seattle,40.7,11,5.7,2,110.7,70.8,17,0.485,67,0.403,27,0.299,20,0.75,15,5,200,106.7,14.6,6,33,80,,8.0,6,0.388,26,0.423,11,35.4,23,0.523,7.3,6,41,0.39,16,0.167,1,"November 24, 2018",54.2,13,9.8,4,106.7,85.4,35,0.6,45,0.533,24,0.956,43,0.674,29,2,200,110.7,29.2,7,21,83,,1.3,1,0.222,10,0.6,6,64.6,42,0.634,19.0,15,35,0.514,18,0.714,5,"Connolly Center, Seattle, Washington",FAIRFIELD,Fairfield,75.0,Home,SEATTLE,Seattle,Seattle,wac
2018-11-25-18-seattle,44.4,8,7.1,2,107.7,72.2,26,0.375,56,0.321,18,0.232,13,0.615,8,3,200,76.9,26.8,11,20,50,,9.2,6,0.464,26,0.231,6,48.1,37,0.402,17.4,13,30,0.4,12,0.625,5,"November 25, 2018",73.9,17,16.7,5,76.9,73.2,30,0.483,59,0.39,23,0.305,18,0.722,13,2,200,107.7,27.8,10,19,70,,9.2,6,0.525,31,0.355,11,51.9,40,0.518,11.9,9,28,0.429,12,0.75,6,"KeyArena, Seattle, Washington",LONGWOOD,Longwood,65.4,Home,SEATTLE,Seattle,Seattle,wac
2018-11-28-22-seattle,53.6,15,5.9,3,130.5,65.7,23,0.446,74,0.378,28,0.122,9,0.667,6,0,200,87.8,22.7,10,21,72,,4.9,4,0.311,23,0.435,10,41.8,33,0.46,15.2,14,51,0.353,18,0.0,0,"November 28, 2018",35.0,14,19.6,10,87.8,77.3,34,0.6,75,0.533,40,0.267,20,0.85,17,2,200,130.5,34.3,12,12,107,,7.3,6,0.32,24,0.417,10,58.2,46,0.633,9.7,9,51,0.588,30,0.778,7,"KeyArena, Seattle, Washington","Northwest University
			","Northwest University
			",81.9,Home,SEATTLE,Seattle,Seattle,wac
2018-12-01-20-seattle,34.6,9,2.2,1,120.5,82.4,28,0.491,58,0.448,26,0.31,18,0.611,11,5,200,93.2,15.2,5,19,68,,2.7,2,0.483,28,0.179,5,49.3,33,0.511,14.3,11,30,0.7,21,0.167,1,"December 1, 2018",54.3,19,6.7,2,93.2,84.8,28,0.59,67,0.522,35,0.254,17,0.529,9,2,200,120.5,17.6,6,16,88,,13.7,10,0.328,22,0.409,9,50.7,34,0.586,6.3,5,45,0.578,26,0.8,8,"Connolly Center, Seattle, Washington",EASTERN-WASHINGTON,Eastern Washington,73.3,Home,SEATTLE,Seattle,Seattle,wac
