,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-south-florida,38.5,5,9.1,3,100.0,65.7,23,0.333,45,0.289,13,0.422,19,0.579,11,1,200,58.6,16.7,5,21,41,,5.7,4,0.267,12,0.333,4,43.1,28,0.379,28.2,21,33,0.273,9,0.0,0,"November 5, 2019",55.0,11,15.2,5,58.6,83.3,25,0.435,54,0.37,20,0.648,35,0.657,23,0,200,100.0,34.3,12,22,70,,12.9,9,0.389,21,0.333,7,56.9,37,0.496,14.7,12,33,0.394,13,1.0,1,"Sun Dome, Tampa, Florida",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,70.3,Home,SOUTH-FLORIDA,South Florida,Arkansas-Pine Bluff,swac
2019-11-09-20-gonzaga,39.1,9,3.0,1,142.9,59.3,16,0.429,56,0.411,23,0.321,18,0.667,12,2,200,77.9,9.1,3,26,60,,7.8,6,0.179,10,0.2,2,31.7,19,0.465,20.0,16,46,0.457,21,0.0,0,"November 9, 2019",62.9,22,8.7,4,77.9,90.9,30,0.705,56,0.625,35,0.696,39,0.795,31,0,200,142.9,40.7,11,16,110,8,11.7,9,0.411,23,0.391,9,68.3,41,0.738,14.1,12,33,0.788,26,1.0,2,"McCarthey Athletic Center, Spokane, Washington",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,76.5,Home,GONZAGA,Gonzaga,Arkansas-Pine Bluff,swac
2019-11-16-20-grand-canyon,40.9,9,6.5,2,97.1,80.8,21,0.42,56,0.393,22,0.25,14,0.5,7,3,200,78.3,27.0,10,17,54,,18.8,13,0.25,14,0.214,3,49.2,31,0.431,20.5,16,42,0.452,19,0.0,0,"November 16, 2019",83.3,20,2.4,1,78.3,73.0,27,0.52,51,0.471,24,0.373,19,0.737,14,3,200,97.1,19.2,5,15,67,,8.7,6,0.392,20,0.25,5,50.8,32,0.558,20.2,15,31,0.613,19,0.25,1,"Grand Canyon University Arena, Phoenix, Arizona",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,69.3,Home,GRAND-CANYON,Grand Canyon,Arkansas-Pine Bluff,swac
2019-11-19-20-kansas-state,45.5,10,10.3,3,88.6,80.6,29,0.47,50,0.44,22,0.14,7,0.571,4,4,200,72.9,12.5,3,21,51,,17.1,12,0.28,14,0.214,3,53.3,32,0.478,23.2,16,36,0.528,19,0.0,0,"November 19, 2019",75.0,15,5.6,2,72.9,87.5,21,0.462,52,0.385,20,0.481,25,0.56,14,0,200,88.6,19.4,7,10,62,,10.0,7,0.442,23,0.348,8,46.7,28,0.485,20.3,16,29,0.414,12,1.0,4,"Bramlage Coliseum, Manhattan, Kansas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,69.6,Home,KANSAS-STATE,Kansas State,Arkansas-Pine Bluff,swac
2019-11-21-19-pittsburgh,80.0,12,5.3,2,103.1,69.4,25,0.37,46,0.326,15,0.217,10,0.7,7,5,200,64.1,29.6,8,15,41,,6.3,4,0.304,14,0.286,4,52.4,33,0.404,30.4,22,32,0.344,11,0.0,0,"November 21, 2019",65.4,17,0.0,0,64.1,70.4,19,0.467,61,0.426,26,0.262,16,0.563,9,2,200,103.1,30.6,11,11,66,,23.4,15,0.377,23,0.217,5,47.6,30,0.481,8.1,6,38,0.553,21,0.667,4,"Petersen Events Center, Pittsburgh, Pennsylvania",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,64.2,Home,PITTSBURGH,Pitt,Arkansas-Pine Bluff,swac
2019-11-25-20-arkansas-pine-bluff,31.6,6,0.0,0,102.7,48.4,15,0.512,43,0.442,19,0.791,34,0.676,23,0,200,91.8,8.3,2,18,67,,13.7,10,0.535,23,0.261,6,30.9,17,0.566,25.7,20,20,0.65,13,0.0,0,"November 25, 2019",75.0,21,15.0,3,91.8,91.7,22,0.526,58,0.483,28,0.362,21,0.667,14,5,200,102.7,51.6,16,21,75,,13.7,10,0.31,18,0.278,5,69.1,38,0.552,20.2,17,40,0.575,23,0.167,1,"H.O. Clemmons Arena, Pine Bluff, Arkansas","Champion Christian
			","Champion Christian
			",73.1,Home,ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,Arkansas-Pine Bluff,swac
2019-12-04-20-tulsa,35.7,5,17.1,6,107.5,58.6,17,0.36,43,0.326,14,0.326,14,0.571,8,6,200,58.2,20.7,6,10,39,,13.4,9,0.302,13,0.231,3,39.7,23,0.393,32.8,24,30,0.367,11,0.143,1,"December 4, 2019",69.2,18,6.7,2,58.2,79.3,23,0.554,56,0.464,26,0.214,12,0.833,10,1,200,107.5,41.4,12,14,72,,17.9,12,0.375,21,0.476,10,60.3,35,0.583,21.7,17,35,0.457,16,0.875,7,"Donald W. Reynolds Center, Tulsa, Oklahoma",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,67.2,Home,TULSA,Tulsa,Arkansas-Pine Bluff,swac
2019-12-07-21-texas-el-paso,27.8,5,3.7,1,93.7,80.8,21,0.5,42,0.429,18,0.238,10,0.8,8,7,200,79.4,20.0,5,18,50,,11.1,7,0.333,14,0.429,6,51.0,26,0.535,31.2,21,28,0.429,12,0.125,1,"December 7, 2019",89.5,17,7.1,2,79.4,80.0,20,0.477,44,0.432,19,0.5,22,0.773,17,1,200,93.7,19.2,5,13,59,,19.0,12,0.386,17,0.235,4,49.0,25,0.542,19.5,13,27,0.556,15,0.857,6,"Don Haskins Center, El Paso, Texas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,62.6,Home,TEXAS-EL-PASO,UTEP,Arkansas-Pine Bluff,swac
2019-12-14-18-oregon-state,82.4,14,4.0,1,117.6,73.7,14,0.426,47,0.362,17,0.234,11,0.545,6,8,200,67.6,14.3,4,22,46,,14.7,10,0.277,13,0.462,6,38.3,18,0.44,27.8,20,34,0.324,11,0.111,1,"December 14, 2019",83.3,20,29.4,10,67.6,85.7,24,0.683,41,0.585,24,0.683,28,0.857,24,1,200,117.6,26.3,5,15,80,,17.6,12,0.39,16,0.5,8,61.7,29,0.737,26.3,19,25,0.64,16,0.889,8,"Gill Coliseum, Corvallis, Oregon",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,68.3,Home,OREGON-STATE,Oregon State,Arkansas-Pine Bluff,swac
2019-12-18-21-new-mexico-state,37.5,6,4.2,1,112.1,59.3,16,0.38,46,0.348,16,0.13,6,0.833,5,9,200,69.0,17.9,5,21,40,,10.3,6,0.261,12,0.25,3,38.2,21,0.409,21.1,13,34,0.382,13,0.1,1,"December 18, 2019",54.5,12,5.9,2,69.0,82.1,23,0.531,49,0.449,22,0.429,21,0.619,13,6,200,112.1,40.7,11,11,65,,10.3,6,0.51,25,0.32,8,61.8,34,0.551,15.9,11,24,0.583,14,0.538,7,"Pan American Center, Las Cruces, New Mexico",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,57.9,Home,NEW-MEXICO-STATE,New Mexico State,Arkansas-Pine Bluff,swac
