,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-18-seton-hall,48.0,12,0.0,0,131.3,79.3,23,0.451,61,0.41,25,0.426,26,0.615,16,1,200,88.8,28.6,12,26,71,,5.0,4,0.377,23,0.217,5,49.3,35,0.484,20.8,19,38,0.526,20,0.0,0,"November 5, 2019",54.1,20,13.2,5,88.8,71.4,30,0.692,60,0.617,37,0.533,32,0.688,22,0,200,131.3,20.7,6,25,105,12,17.5,14,0.4,24,0.375,9,50.7,36,0.698,11.9,10,36,0.778,28,1.0,1,"Walsh Gymnasium, South Orange, New Jersey",WAGNER,Wagner,79.8,Home,SETON-HALL,Seton Hall,Seton Hall,big-east
2019-11-09-14-seton-hall,44.4,8,19.6,9,108.8,70.6,24,0.412,51,0.353,18,0.392,20,0.75,15,2,200,83.8,27.3,9,16,57,,8.8,6,0.49,25,0.24,6,49.3,33,0.471,17.9,13,26,0.462,12,0.0,0,"November 9, 2019",53.6,15,11.5,3,83.8,72.7,24,0.492,64,0.438,28,0.25,16,0.688,11,0,200,108.8,29.4,10,16,74,12,7.4,5,0.281,18,0.389,7,50.7,34,0.517,11.2,9,46,0.457,21,1.0,2,"Walsh Gymnasium, South Orange, New Jersey",STONY-BROOK,Stony Brook,67.6,Home,SETON-HALL,Seton Hall,Seton Hall,big-east
2019-11-14-20-seton-hall,55.6,15,9.4,3,96.1,78.1,25,0.508,65,0.415,27,0.262,17,0.588,10,1,200,100.0,31.6,12,14,76,3,14.5,11,0.415,27,0.444,12,52.9,37,0.52,16.2,14,38,0.395,15,0.667,2,"November 14, 2019",53.8,14,15.8,6,100.0,68.4,26,0.525,60,0.433,26,0.25,15,0.667,10,1,200,96.1,21.9,7,15,73,12,11.8,9,0.467,28,0.393,11,47.1,33,0.544,19.4,16,32,0.469,15,0.667,2,"Prudential Center, Newark, New Jersey",SETON-HALL,Seton Hall,75.6,Away,MICHIGAN-STATE,Michigan State,Seton Hall,big-east
2019-11-17-16-saint-louis,69.2,18,12.8,5,89.2,75.0,30,0.477,65,0.4,26,0.4,26,0.808,21,1,200,112.2,33.3,13,26,83,12,8.1,6,0.446,29,0.345,10,54.4,43,0.537,11.6,10,36,0.444,16,0.75,3,"November 17, 2019",52.6,10,13.9,5,112.2,66.7,26,0.406,53,0.358,19,0.774,41,0.561,23,1,200,89.2,25.0,10,18,66,,8.1,6,0.264,14,0.357,5,45.6,36,0.455,13.4,11,39,0.359,14,0.75,3,"Chaifetz Arena, St. Louis, Missouri",SAINT-LOUIS,Saint Louis,73.9,Away,SETON-HALL,Seton Hall,Seton Hall,big-east
2019-11-23-12-seton-hall,41.2,7,5.1,2,111.5,64.7,22,0.31,58,0.293,17,0.397,23,0.652,15,5,200,65.4,23.8,10,24,51,,11.5,9,0.241,14,0.143,2,42.1,32,0.37,21.8,19,44,0.341,15,0.0,0,"November 23, 2019",57.1,16,18.2,8,65.4,76.2,32,0.508,63,0.444,28,0.492,31,0.742,23,1,200,111.5,35.3,12,18,87,13,10.3,8,0.381,24,0.333,8,57.9,44,0.56,14.5,13,39,0.513,20,0.8,4,"Prudential Center, Newark, New Jersey",FLORIDA-AM,Florida A&M,78.3,Home,SETON-HALL,Seton Hall,Seton Hall,big-east
2019-11-27-21-seton-hall,40.0,10,9.4,3,101.5,77.4,24,0.519,53,0.472,25,0.528,28,0.571,16,0,200,104.4,43.3,13,12,71,11,7.4,5,0.283,15,0.333,5,60.7,37,0.535,16.6,13,38,0.526,20,1.0,6,"November 27, 2019",58.3,14,21.1,8,104.4,56.7,17,0.525,59,0.407,24,0.153,9,0.778,7,2,200,101.5,22.6,7,24,69,13,4.4,3,0.458,27,0.519,14,39.3,24,0.545,17.1,13,32,0.313,10,0.667,4,"Imperial Arena at Atlantis Resort, Paradise Island",SETON-HALL,Seton Hall,67.8,Away,OREGON,Oregon,Seton Hall,big-east
2019-11-28-21-southern-mississippi,46.4,13,15.0,6,82.4,89.7,26,0.6,55,0.509,28,0.436,24,0.625,15,2,200,119.1,42.9,12,11,81,13,11.8,8,0.455,25,0.4,10,66.7,38,0.61,15.5,12,30,0.6,18,0.714,5,"November 28, 2019",50.0,11,6.7,2,119.1,57.1,16,0.464,56,0.393,22,0.089,5,0.8,4,5,200,82.4,10.3,3,18,56,,7.4,5,0.286,16,0.5,8,33.3,19,0.48,20.5,15,40,0.35,14,0.286,2,"Imperial Arena at Atlantis Resort, Paradise Island",SOUTHERN-MISSISSIPPI,Southern Miss,68.4,Away,SETON-HALL,Seton Hall,Seton Hall,big-east
2019-11-29-19-iowa-state,41.2,14,5.4,2,101.3,78.8,26,0.603,63,0.54,34,0.19,12,0.667,8,2,200,112.0,44.4,12,13,84,13,10.7,8,0.317,20,0.4,8,63.3,38,0.611,19.9,17,43,0.605,26,0.75,6,"November 29, 2019",31.0,9,4.7,2,112.0,55.6,15,0.523,64,0.453,29,0.188,12,0.75,9,3,200,101.3,21.2,7,12,76,,10.7,8,0.422,27,0.333,9,36.7,22,0.545,15.8,13,37,0.541,20,0.571,4,"Imperial Arena at Atlantis Resort, Paradise Island",IOWA-STATE,Iowa State,74.7,Away,SETON-HALL,Seton Hall,Seton Hall,big-east
2019-12-08-21-iowa-state,48.0,12,4.9,2,91.6,70.3,26,0.426,68,0.368,25,0.176,12,0.667,8,3,200,79.5,23.7,9,27,66,16,12.0,10,0.441,30,0.267,8,46.7,35,0.448,21.4,20,38,0.447,17,0.667,6,"December 8, 2019",56.5,13,21.1,8,79.5,76.3,29,0.417,60,0.383,23,0.55,33,0.788,26,3,200,91.6,29.7,11,17,76,,10.8,9,0.317,19,0.211,4,53.3,40,0.502,17.7,16,41,0.463,19,0.667,6,"James H. Hilton Coliseum , Ames, Iowa",SETON-HALL,Seton Hall,82.7,Home,IOWA-STATE,Iowa State,Seton Hall,big-east
2019-12-14-16-rutgers,47.4,9,17.9,7,95.8,71.0,22,0.39,59,0.322,19,0.136,8,0.25,2,4,200,67.6,14.6,6,17,48,22,14.1,10,0.458,27,0.296,8,38.9,28,0.382,18.3,14,32,0.344,11,0.6,6,"December 14, 2019",70.4,19,25.0,8,67.6,85.4,35,0.534,58,0.466,27,0.155,9,0.667,6,3,200,95.8,29.0,9,13,68,,12.7,9,0.328,19,0.421,8,61.1,44,0.546,22.5,18,39,0.487,19,0.727,8,"Rutgers Athletic Center, New Brunswick, New Jersey",SETON-HALL,Seton Hall,71.0,Home,RUTGERS,Rutgers,Seton Hall,big-east
