,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-09-14-miami-oh,22.9,8,9.8,4,101.3,81.1,30,0.507,75,0.467,35,0.267,20,0.6,12,0,200,110.0,40.5,17,18,88,,10.0,8,0.24,18,0.333,6,59.5,47,0.521,13.4,13,57,0.509,29,1.0,2,"November 9, 2019",40.0,12,14.0,8,110.0,59.5,25,0.538,65,0.462,30,0.231,15,0.733,11,1,200,101.3,18.9,7,23,81,,7.5,6,0.369,24,0.417,10,40.5,32,0.562,16.4,14,41,0.488,20,0.0,0,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),79.8,Away,WRIGHT-STATE,Wright State,Miami (OH),mac
2019-11-13-19-ipfw,51.6,16,10.7,3,106.7,73.1,19,0.547,64,0.484,31,0.281,18,0.778,14,1,200,112.0,28.1,9,18,84,,9.3,7,0.406,26,0.308,8,48.3,28,0.579,14.3,12,38,0.605,23,0.5,1,"November 13, 2019",50.0,13,2.6,1,112.0,71.9,23,0.608,51,0.51,26,0.471,24,0.75,18,3,200,106.7,26.9,7,18,80,,5.3,4,0.451,23,0.435,10,51.7,30,0.641,23.6,19,28,0.571,16,0.25,1,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",IPFW,Purdue-Fort Wayne,75.0,Away,MIAMI-OH,Miami (OH),Miami (OH),mac
2019-11-16-12-miami-oh,43.5,10,6.5,2,116.2,65.0,26,0.466,58,0.397,23,0.172,10,0.9,9,4,200,92.6,8.8,3,16,63,,5.9,4,0.379,22,0.364,8,39.2,29,0.502,12.6,9,36,0.417,15,0.0,0,"November 16, 2019",69.0,20,13.9,5,92.6,91.2,31,0.537,68,0.426,29,0.147,10,0.6,6,1,200,116.2,35.0,14,14,79,,7.4,5,0.544,37,0.405,15,60.8,45,0.543,11.1,9,31,0.452,14,0.667,2,"Millett Hall, Oxford, Ohio",ALABAMA-AM,Alabama A&M,68.3,Home,MIAMI-OH,Miami (OH),Miami (OH),mac
2019-11-20-12-miami-oh,43.8,7,12.5,5,102.6,71.1,27,0.306,62,0.258,16,0.194,12,0.583,7,0,200,57.7,17.8,8,17,45,,9.0,7,0.419,26,0.231,6,42.2,35,0.332,20.2,17,36,0.278,10,0.0,0,"November 20, 2019",69.0,20,11.1,4,57.7,82.2,37,0.486,69,0.42,29,0.217,15,0.867,13,1,200,102.6,28.9,11,15,80,,12.8,10,0.42,29,0.31,9,57.8,48,0.525,16.6,15,40,0.5,20,0.75,3,"Millett Hall, Oxford, Ohio","Central State (OH)
			","Central State (OH)
			",78.4,Home,MIAMI-OH,Miami (OH),Miami (OH),mac
2019-11-25-13-drake,17.4,4,9.1,3,78.7,70.7,29,0.51,51,0.451,23,0.412,21,0.714,15,1,200,89.3,14.3,4,20,67,,10.7,8,0.412,21,0.286,6,47.8,33,0.549,24.0,19,30,0.567,17,0.8,4,"November 25, 2019",57.9,11,6.7,2,89.3,85.7,24,0.426,54,0.352,19,0.463,25,0.52,13,2,200,78.7,29.3,12,23,59,,12.0,9,0.389,21,0.381,8,52.2,36,0.448,23.5,20,33,0.333,11,0.667,4,"Germain Arena, Estero, Florida",DRAKE,Drake,74.9,Away,MIAMI-OH,Miami (OH),Miami (OH),mac
2019-11-26-17-south-alabama,34.6,9,0.0,0,124.2,68.2,15,0.544,57,0.456,26,0.175,10,0.9,9,2,200,107.6,14.3,4,20,71,,3.0,2,0.421,24,0.417,10,38.0,19,0.575,14.0,10,33,0.485,16,0.667,4,"November 26, 2019",29.0,9,12.1,4,107.6,85.7,24,0.654,52,0.596,31,0.404,21,0.667,14,2,200,124.2,31.8,7,11,82,,10.6,7,0.25,13,0.462,6,62.0,31,0.662,14.0,10,39,0.641,25,0.714,5,"Germain Arena, Estero, Florida",MIAMI-OH,Miami (OH),66.4,Home,SOUTH-ALABAMA,South Alabama,Miami (OH),mac
2019-11-27-17-wright-state,20.8,5,5.3,2,98.6,76.3,29,0.41,67,0.358,24,0.299,20,0.55,11,3,200,91.7,31.8,14,21,66,,2.8,2,0.388,26,0.269,7,52.4,43,0.431,12.7,11,41,0.415,17,0.571,4,"November 27, 2019",37.5,9,4.9,2,91.7,68.2,30,0.465,57,0.421,24,0.526,30,0.6,18,2,200,98.6,23.7,9,16,71,,6.9,5,0.333,19,0.263,5,47.6,39,0.498,10.2,8,38,0.5,19,0.75,6,"Germain Arena, Estero, Florida",MIAMI-OH,Miami (OH),71.9,Home,WRIGHT-STATE,Wright State,Miami (OH),mac
2019-12-03-19-miami-oh,42.9,12,0.0,0,78.3,74.4,29,0.563,56,0.5,28,0.393,22,0.591,13,3,200,110.1,28.1,9,18,76,,8.7,6,0.518,29,0.241,7,53.5,38,0.572,16.5,13,27,0.778,21,0.667,6,"December 3, 2019",55.6,10,3.7,1,110.1,71.9,23,0.364,55,0.327,18,0.291,16,0.875,14,4,200,78.3,25.6,10,20,54,,8.7,6,0.436,24,0.167,4,46.5,33,0.431,19.5,15,31,0.452,14,0.5,4,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),69.0,Away,NORTHERN-KENTUCKY,Northern Kentucky,Miami (OH),mac
2019-12-07-14-evansville,36.4,12,3.4,1,140.3,63.6,14,0.579,63,0.524,33,0.238,15,0.933,14,5,200,120.8,14.3,4,19,87,,2.8,2,0.302,19,0.368,7,36.0,18,0.62,9.1,7,44,0.591,26,0.444,4,"December 7, 2019",64.7,22,9.1,4,120.8,85.7,24,0.755,53,0.642,34,0.566,30,0.7,21,3,200,140.3,36.4,8,16,101,,2.8,2,0.453,24,0.5,12,64.0,32,0.751,14.2,11,29,0.759,22,0.7,7,"Ford Center, Evansville, Indiana",MIAMI-OH,Miami (OH),71.7,Home,EVANSVILLE,Evansville,Miami (OH),mac
2019-12-15-14-miami-oh,46.4,13,13.9,5,109.7,63.2,24,0.442,69,0.406,28,0.203,14,0.429,6,9,200,93.1,31.7,13,15,67,,11.1,8,0.377,26,0.192,5,46.8,37,0.443,9.6,8,43,0.535,23,0.0,0,"December 15, 2019",66.7,20,9.3,4,93.1,68.3,28,0.493,72,0.417,30,0.153,11,0.727,8,5,200,109.7,36.8,14,10,79,,2.8,2,0.5,36,0.306,11,53.2,42,0.511,11.5,10,36,0.528,19,0.5,5,"Millett Hall, Oxford, Ohio",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,71.9,Home,MIAMI-OH,Miami (OH),Miami (OH),mac
