,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-boston-university,35.7,10,3.4,1,97.1,76.7,23,0.555,55,0.509,28,0.255,14,0.786,11,0,200,104.3,17.9,5,18,72,,14.5,10,0.291,16,0.313,5,48.3,28,0.584,16.4,12,39,0.59,23,1.0,1,"November 5, 2019",40.7,11,10.3,4,104.3,82.1,23,0.564,55,0.491,27,0.218,12,0.417,5,1,200,97.1,23.3,7,15,67,,7.2,5,0.473,26,0.308,8,51.7,30,0.552,19.9,15,29,0.655,19,0.0,0,"Case Gym, Boston, Massachusetts",BOSTON-UNIVERSITY,Boston University,68.7,Away,NORTHEASTERN,Northeastern,Boston University,patriot
2019-11-09-13-boston-university,30.4,7,9.1,4,124.7,69.7,23,0.429,56,0.411,23,0.321,18,0.833,15,0,200,86.3,22.6,7,17,63,,8.2,6,0.179,10,0.2,2,46.9,30,0.488,18.0,14,46,0.457,21,0.0,0,"November 9, 2019",51.4,18,2.2,1,86.3,77.4,24,0.587,69,0.507,35,0.203,14,0.714,10,1,200,124.7,30.3,10,16,91,,9.6,7,0.362,25,0.44,11,53.1,34,0.601,9.6,8,44,0.545,24,0.5,1,"Case Gym, Boston, Massachusetts","SUNY-Polytechnic
			","SUNY-Polytechnic
			",72.6,Home,BOSTON-UNIVERSITY,Boston University,Boston University,patriot
2019-11-13-19-vermont,41.2,7,3.0,1,89.9,80.6,25,0.333,57,0.298,17,0.263,15,0.6,9,2,200,68.1,21.6,8,19,47,,14.5,10,0.281,16,0.25,4,48.5,33,0.366,17.0,13,41,0.317,13,0.333,1,"November 13, 2019",47.8,11,12.2,5,68.1,78.4,29,0.481,53,0.434,23,0.34,18,0.611,11,0,200,89.9,19.4,6,16,62,,10.1,7,0.377,20,0.25,5,51.5,35,0.504,18.7,14,33,0.545,18,1.0,3,"Roy L. Patrick Gymnasium, Burlington, Vermont",BOSTON-UNIVERSITY,Boston University,69.3,Home,VERMONT,Vermont,Boston University,patriot
2019-11-16-16-boston-university,70.8,17,2.8,1,118.3,77.4,24,0.547,53,0.453,24,0.302,16,0.75,12,2,200,98.6,17.9,5,20,70,,2.8,2,0.415,22,0.455,10,49.2,29,0.578,21.0,16,31,0.452,14,0.5,2,"November 16, 2019",41.9,13,3.2,1,98.6,82.1,23,0.596,57,0.544,31,0.421,24,0.667,16,2,200,118.3,22.6,7,16,84,,9.9,7,0.368,21,0.286,6,50.8,30,0.614,11.8,9,36,0.694,25,0.5,2,"Case Gym, Boston, Massachusetts",NEW-HAMPSHIRE,New Hampshire,71.0,Home,BOSTON-UNIVERSITY,Boston University,Boston University,patriot
2019-11-19-19-south-carolina,55.6,15,4.4,2,94.6,62.5,25,0.492,64,0.422,27,0.344,22,0.682,15,2,200,105.4,30.6,11,17,78,,9.5,7,0.391,25,0.36,9,47.4,36,0.524,12.0,10,39,0.462,18,0.6,3,"November 19, 2019",51.9,14,12.8,5,105.4,69.4,25,0.433,67,0.403,27,0.313,21,0.571,12,1,200,94.6,37.5,15,16,70,,8.1,6,0.328,22,0.182,4,52.6,40,0.455,13.6,12,45,0.511,23,0.75,3,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA,South Carolina,73.7,Away,BOSTON-UNIVERSITY,Boston University,Boston University,patriot
2019-11-22-19-west-virginia,47.1,8,0.0,0,101.5,65.7,23,0.385,52,0.327,17,0.115,6,0.667,4,3,200,64.7,26.5,9,16,44,,7.4,5,0.385,20,0.3,6,46.4,32,0.401,28.7,22,32,0.344,11,0.5,3,"November 22, 2019",48.1,13,18.8,6,64.7,73.5,25,0.459,61,0.443,27,0.344,21,0.619,13,0,200,101.5,34.3,12,10,69,,19.1,13,0.295,18,0.111,2,53.6,37,0.486,12.5,10,43,0.581,25,1.0,4,"WVU Coliseum, Morgantown, West Virginia",BOSTON-UNIVERSITY,Boston University,68.4,Home,WEST-VIRGINIA,West Virginia,Boston University,patriot
2019-11-26-15-northern-colorado,18.2,4,8.6,3,116.4,69.6,16,0.412,57,0.386,22,0.211,12,0.667,8,4,200,82.1,18.2,6,13,55,,10.4,7,0.228,13,0.231,3,39.3,22,0.439,12.6,9,44,0.432,19,0.429,3,"November 26, 2019",30.0,9,6.8,3,82.1,81.8,27,0.634,56,0.536,30,0.232,13,0.538,7,3,200,116.4,30.4,7,15,78,,6.0,4,0.375,21,0.524,11,60.7,34,0.627,17.4,13,35,0.543,19,0.5,3,"Hard Rock Hotel Riviera Maya, Cancun",BOSTON-UNIVERSITY,Boston University,66.9,Home,NORTHERN-COLORADO,Northern Colorado,Boston University,patriot
2019-11-27-12-boston-university,36.7,11,7.7,2,114.1,65.5,19,0.549,61,0.492,30,0.197,12,0.75,9,4,200,118.8,25.8,8,16,76,,6.3,4,0.361,22,0.318,7,45.0,27,0.57,8.3,6,39,0.59,23,0.429,3,"November 27, 2019",53.8,14,2.6,1,118.8,74.2,23,0.554,56,0.464,26,0.25,14,0.786,11,5,200,114.1,34.5,10,11,73,,3.1,2,0.536,30,0.333,10,55.0,33,0.583,15.0,11,26,0.615,16,0.375,3,"Hard Rock Hotel Riviera Maya, Cancun",BOSTON-UNIVERSITY,Boston University,64.2,Away,TENNESSEE-MARTIN,UT-Martin,Boston University,patriot
2019-12-04-19-george-washington,57.7,15,8.3,3,94.1,70.6,24,0.491,57,0.456,26,0.211,12,0.583,7,6,200,92.6,32.3,10,16,63,,10.3,7,0.263,15,0.267,4,52.3,34,0.502,18.4,14,42,0.524,22,0.333,3,"December 4, 2019",30.4,7,7.1,3,92.6,67.7,21,0.449,59,0.39,23,0.22,13,0.846,11,5,200,94.1,29.4,10,13,64,,13.2,9,0.39,23,0.304,7,47.7,31,0.491,18.8,15,36,0.444,16,0.444,4,"Charles E. Smith Center, Washington, District of Columbia",BOSTON-UNIVERSITY,Boston University,68.4,Home,GEORGE-WASHINGTON,George Washington,Boston University,patriot
2019-12-07-14-binghamton,28.1,9,2.9,1,113.5,68.8,22,0.415,82,0.39,32,0.195,16,0.688,11,7,225,106.8,44.2,23,15,79,,6.8,5,0.354,29,0.138,4,53.6,45,0.441,8.2,8,53,0.528,28,0.3,3,"December 7, 2019",30.0,9,3.8,2,106.8,55.8,29,0.581,62,0.484,30,0.258,16,0.75,12,5,225,113.5,31.3,10,16,84,,5.4,4,0.452,28,0.429,12,46.4,39,0.603,15.8,13,34,0.529,18,0.5,5,"Binghamton University Events Center, Vestal, New York",BOSTON-UNIVERSITY,Boston University,65.4,Home,BINGHAMTON,Binghamton,Boston University,patriot
