,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-06-19-hofstra,51.6,16,7.7,3,100.0,82.1,32,0.523,66,0.47,31,0.212,14,0.714,10,0,200,111.3,36.8,14,14,79,,8.5,6,0.333,22,0.318,7,59.7,46,0.544,13.2,11,44,0.545,24,1.0,1,"November 6, 2019",41.4,12,0.0,0,111.3,63.2,24,0.485,68,0.426,29,0.103,7,0.714,5,1,200,100.0,17.9,7,17,71,,8.5,6,0.426,29,0.276,8,40.3,31,0.498,10.1,8,39,0.538,21,0.0,0,"Mack Sports Complex, Hempstead, New York",HOFSTRA,Hofstra,71.0,Away,SAN-JOSE-STATE,San Jose State,San Jose State,mwc
2019-11-10-17-san-jose-state,73.1,19,6.3,2,79.2,80.6,25,0.565,54,0.481,26,0.278,15,0.733,11,1,200,100.0,11.1,3,18,72,,8.3,6,0.37,20,0.45,9,48.3,28,0.589,18.8,14,34,0.5,17,0.667,2,"November 10, 2019",56.5,13,8.8,3,100.0,88.9,24,0.448,58,0.397,23,0.276,16,0.313,5,1,200,79.2,19.4,6,14,57,,8.3,6,0.448,26,0.231,6,51.7,30,0.434,16.7,13,32,0.531,17,0.5,1,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,72.4,Away,PORTLAND,Portland,San Jose State,mwc
2019-11-14-20-arizona,35.7,5,2.3,1,119.2,63.6,21,0.246,61,0.23,14,0.295,18,0.5,9,2,200,53.4,23.9,11,22,39,,5.5,4,0.295,18,0.111,2,40.5,32,0.28,18.8,16,43,0.279,12,0.333,1,"November 14, 2019",80.0,24,9.3,4,53.4,76.1,35,0.548,62,0.484,30,0.452,28,0.679,19,0,200,119.2,36.4,12,16,87,19,8.2,6,0.29,18,0.444,8,59.5,47,0.578,9.7,8,44,0.5,22,1.0,3,"McKale Center, Tucson, Arizona",SAN-JOSE-STATE,San Jose State,72.9,Home,ARIZONA,Arizona,San Jose State,mwc
2019-11-17-19-san-jose-state,88.0,22,2.7,1,110.4,75.9,22,0.444,63,0.397,25,0.159,10,0.4,4,0,200,77.9,18.9,7,16,60,,13.0,10,0.492,31,0.194,6,43.9,29,0.443,20.1,17,32,0.594,19,0.0,0,"November 17, 2019",72.7,24,6.3,2,77.9,81.1,30,0.625,60,0.55,33,0.267,16,0.625,10,2,200,110.4,24.1,7,10,85,,9.1,7,0.383,23,0.391,9,56.1,37,0.629,19.3,16,37,0.649,24,0.5,2,"San Jose State Event Center, San Jose, California","Simpson (CA)
			","Simpson (CA)
			",77.2,Home,SAN-JOSE-STATE,San Jose State,San Jose State,mwc
2019-11-20-22-san-jose-state,41.4,12,3.3,1,102.5,58.8,20,0.454,65,0.446,29,0.462,30,0.567,17,1,200,93.8,27.3,9,28,76,,11.1,9,0.154,10,0.1,1,43.3,29,0.479,14.3,13,55,0.509,28,0.75,3,"November 20, 2019",61.5,16,12.7,7,93.8,72.7,24,0.527,56,0.464,26,0.625,35,0.686,24,2,200,102.5,41.2,14,24,83,,8.6,7,0.464,26,0.269,7,56.7,38,0.571,21.9,20,30,0.633,19,0.6,3,"San Jose State Event Center, San Jose, California",GRAMBLING,Grambling,80.9,Home,SAN-JOSE-STATE,San Jose State,San Jose State,mwc
2019-11-23-22-san-jose-state,68.6,24,7.9,3,90.5,63.9,23,0.481,79,0.443,35,0.291,23,0.652,15,3,200,108.3,39.0,16,21,91,,17.9,15,0.215,17,0.353,6,50.6,39,0.506,11.9,12,62,0.468,29,0.4,2,"November 23, 2019",60.0,15,6.5,4,108.3,61.0,25,0.452,63,0.397,25,0.397,25,0.76,19,3,200,90.5,36.1,13,21,76,,3.6,3,0.397,25,0.28,7,49.4,38,0.508,21.3,20,38,0.474,18,0.5,3,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,83.9,Away,PORTLAND-STATE,Portland State,San Jose State,mwc
2019-11-27-23-san-jose-state,57.6,19,17.6,6,69.6,65.8,25,0.642,60,0.55,33,0.2,12,0.5,6,1,200,120.3,29.0,9,10,83,,14.5,10,0.35,21,0.524,11,49.3,34,0.632,15.5,12,39,0.564,22,0.857,6,"November 27, 2019",50.0,9,7.7,3,120.3,71.0,22,0.333,60,0.3,18,0.167,10,0.8,8,4,200,69.6,34.2,13,12,48,,8.7,6,0.433,26,0.154,4,50.7,35,0.371,21.8,18,34,0.412,14,0.429,3,"Orleans Arena, Paradise, Nevada",SAN-JOSE-STATE,San Jose State,69.2,Away,OREGON-STATE,Oregon State,San Jose State,mwc
2019-12-01-20-ucla,42.1,8,1.9,1,116.3,69.7,23,0.389,54,0.352,19,0.537,29,0.759,22,5,200,80.0,26.3,10,18,64,,8.8,7,0.241,13,0.308,4,46.5,33,0.472,23.1,20,41,0.366,15,0.375,3,"December 1, 2019",61.8,21,0.0,0,80.0,73.7,28,0.554,65,0.523,34,0.415,27,0.778,21,3,200,116.3,30.3,10,22,93,,11.3,9,0.2,13,0.308,4,53.5,38,0.597,15.4,14,52,0.577,30,0.667,6,"Pauley Pavilion, Los Angeles, California",SAN-JOSE-STATE,San Jose State,79.8,Home,UCLA,UCLA,San Jose State,mwc
2019-12-04-23-san-jose-state,32.1,9,10.7,3,85.5,88.9,24,0.455,66,0.424,28,0.303,20,0.55,11,1,200,102.9,28.9,11,17,71,25,14.5,10,0.258,17,0.235,4,53.8,35,0.47,7.4,6,49,0.49,24,0.889,8,"December 4, 2019",66.7,14,18.4,9,102.9,71.1,27,0.51,49,0.429,21,0.306,15,0.6,9,6,200,85.5,11.1,3,16,59,,2.9,2,0.429,21,0.381,8,46.2,30,0.526,20.1,14,28,0.464,13,0.333,3,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,68.8,Away,UTAH-STATE,Utah State,San Jose State,mwc
2019-12-08-15-san-diego-state,61.9,13,8.5,4,92.2,61.5,24,0.455,55,0.382,21,0.2,11,0.636,7,7,200,89.1,25.8,8,18,57,,9.4,6,0.473,26,0.308,8,45.7,32,0.473,14.3,10,29,0.448,13,0.3,3,"December 8, 2019",40.0,8,17.2,5,89.1,74.2,23,0.357,63,0.317,20,0.317,20,0.7,14,0,200,92.2,38.5,15,17,59,,7.8,5,0.254,16,0.313,5,54.3,38,0.407,10.0,8,47,0.319,15,1.0,10,"Viejas Arena, San Diego, California",SAN-JOSE-STATE,San Jose State,63.9,Home,SAN-DIEGO-STATE,San Diego State,San Jose State,mwc
