,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-marquette,60.0,12,5.7,2,112.8,70.4,19,0.338,65,0.308,20,0.338,22,0.409,9,1,200,67.9,18.6,8,18,53,,14.1,11,0.277,18,0.222,4,38.6,27,0.351,10.8,9,47,0.34,16,0.0,0,"November 5, 2019",60.0,18,23.4,11,67.9,81.4,35,0.638,58,0.517,30,0.345,20,0.7,14,0,200,112.8,29.6,8,21,88,,5.1,4,0.397,23,0.609,14,61.4,43,0.652,23.9,21,35,0.457,16,1.0,1,"Fiserv Forum, Milwaukee, Wisconsin",LOYOLA-MD,Loyola (MD),78.5,Home,MARQUETTE,Marquette,Loyola (MD),patriot
2019-11-09-15-chicago-state,68.8,22,5.0,2,104.9,80.0,24,0.595,63,0.508,32,0.46,29,0.793,23,1,200,121.0,22.6,7,24,98,,7.4,6,0.492,31,0.355,11,50.8,31,0.638,11.7,10,32,0.656,21,0.5,1,"November 9, 2019",44.4,12,6.3,2,121.0,77.4,24,0.536,56,0.482,27,0.625,35,0.714,25,1,200,104.9,20.0,6,23,85,,7.4,6,0.286,16,0.375,6,49.2,30,0.585,18.3,16,40,0.525,21,0.5,1,"Emil and Patricia Jones Convocation Center, Chicago, Illinois",CHICAGO-STATE,Chicago State,81.2,Away,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot
2019-11-13-19-old-dominion,57.1,12,17.4,8,91.2,62.2,23,0.47,50,0.42,21,0.2,10,0.6,6,2,200,77.9,21.4,6,15,53,,10.3,7,0.38,19,0.263,5,44.6,29,0.484,27.9,21,31,0.516,16,0.333,1,"November 13, 2019",56.0,14,19.4,6,77.9,78.6,22,0.435,62,0.403,25,0.177,11,0.727,8,1,200,91.2,37.8,14,13,62,,17.6,12,0.258,16,0.25,4,55.4,36,0.461,16.3,13,46,0.457,21,0.667,2,"Ted Constant Convocation Ctr., Norfolk, Virginia",LOYOLA-MD,Loyola (MD),68.0,Home,OLD-DOMINION,Old Dominion,Loyola (MD),patriot
2019-11-17-18-loyola-md,50.0,14,6.7,2,107.7,92.0,23,0.526,57,0.491,28,0.298,17,0.882,15,3,225,96.2,25.0,6,23,75,,11.5,9,0.298,17,0.235,4,59.2,29,0.576,22.8,19,40,0.6,24,0.25,1,"November 17, 2019",79.3,23,0.0,0,96.2,75.0,18,0.637,51,0.569,29,0.588,30,0.633,19,2,225,107.7,8.0,2,17,84,,12.8,10,0.412,21,0.333,7,40.8,20,0.644,18.9,15,30,0.733,22,0.5,2,"Reitz Arena, Baltimore, Maryland",FAIRFIELD,Fairfield,69.5,Home,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot
2019-11-19-19-george-mason,56.0,14,10.5,4,103.2,50.0,21,0.509,54,0.463,25,0.37,20,0.3,6,3,200,96.8,22.9,8,27,61,,4.8,3,0.407,22,0.227,5,37.7,29,0.48,8.7,6,32,0.625,20,0.4,2,"November 19, 2019",62.5,10,3.1,1,96.8,77.1,27,0.336,58,0.276,16,0.621,36,0.722,26,0,200,103.2,50.0,21,19,65,,3.2,2,0.345,20,0.35,7,62.3,48,0.433,11.9,10,38,0.237,9,1.0,5,"EagleBank Arena, Fairfax, Virginia",LOYOLA-MD,Loyola (MD),62.8,Home,GEORGE-MASON,George Mason,Loyola (MD),patriot
2019-11-25-17-loyola-md,55.2,16,0.0,0,105.2,86.2,25,0.558,60,0.483,29,0.317,19,0.526,10,4,200,100.0,28.1,9,23,77,,14.3,11,0.367,22,0.409,9,55.7,34,0.558,20.8,18,38,0.526,20,0.333,2,"November 25, 2019",71.4,20,5.3,2,100.0,71.9,23,0.639,54,0.519,28,0.352,19,0.632,12,3,200,105.2,13.8,4,16,81,,14.3,11,0.537,29,0.448,13,44.3,27,0.643,21.4,17,25,0.6,15,0.5,3,"Baxter Arena, Omaha, Nebraska",IUPUI,IUPUI,77.0,Home,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot
2019-11-26-20-nebraska-omaha,75.0,18,7.1,3,101.4,72.4,21,0.538,52,0.462,24,0.269,14,0.643,9,4,200,94.2,14.3,4,15,65,,11.6,8,0.5,26,0.308,8,43.9,25,0.554,19.4,14,26,0.615,16,0.429,3,"November 26, 2019",61.5,16,7.7,2,94.2,85.7,24,0.518,55,0.473,26,0.309,17,0.765,13,3,200,101.4,27.6,8,15,70,,10.1,7,0.236,13,0.385,5,56.1,32,0.555,19.4,15,42,0.5,21,0.625,5,"Baxter Arena, Omaha, Nebraska",LOYOLA-MD,Loyola (MD),69.4,Home,NEBRASKA-OMAHA,Omaha,Loyola (MD),patriot
2019-12-01-18-loyola-md,56.0,14,4.9,2,111.6,79.3,23,0.431,72,0.347,25,0.056,4,0.75,3,4,200,94.2,37.5,18,19,65,,5.8,4,0.528,38,0.316,12,53.2,41,0.44,14.0,12,34,0.382,13,0.5,4,"December 1, 2019",57.1,16,2.9,1,94.2,62.5,30,0.554,56,0.5,28,0.446,25,0.6,15,4,200,111.6,20.7,6,9,77,,8.7,6,0.268,15,0.4,6,46.8,36,0.567,10.7,8,41,0.537,22,0.5,4,"Reitz Arena, Baltimore, Maryland",BINGHAMTON,Binghamton,68.9,Home,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot
2019-12-04-19-delaware-state,65.4,17,8.8,3,101.3,74.2,23,0.554,56,0.464,26,0.518,29,0.759,22,4,200,112.0,31.0,9,24,84,,6.7,5,0.446,25,0.4,10,53.3,32,0.602,17.9,15,31,0.516,16,0.556,5,"December 4, 2019",34.8,8,9.7,3,112.0,69.0,20,0.491,54,0.426,23,0.537,29,0.793,23,9,200,101.3,25.8,8,24,76,,8.0,6,0.37,20,0.35,7,46.7,28,0.561,17.3,14,34,0.471,16,0.1,1,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,74.8,Away,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot
2019-12-07-16-mount-st-marys,60.9,14,8.1,3,77.4,65.7,23,0.472,54,0.426,23,0.333,18,0.722,13,4,200,103.2,20.7,6,18,64,,8.1,5,0.259,14,0.357,5,45.3,29,0.512,7.5,5,40,0.45,18,0.6,6,"December 7, 2019",27.8,5,10.0,4,103.2,79.3,23,0.352,54,0.333,18,0.296,16,0.625,10,7,200,77.4,34.3,12,17,48,,3.2,2,0.315,17,0.118,2,54.7,35,0.39,17.6,13,37,0.432,16,0.3,3,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,62.1,Away,LOYOLA-MD,Loyola (MD),Loyola (MD),patriot
