,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-13-tulsa,37.5,9,4.2,2,105.3,72.7,24,0.425,67,0.358,24,0.269,18,0.833,15,1,200,94.7,37.2,16,20,72,,9.2,7,0.433,29,0.31,9,52.6,40,0.477,17.6,16,38,0.395,15,0.0,0,"November 5, 2019",42.9,12,5.3,2,94.7,62.8,27,0.476,62,0.452,28,0.435,27,0.778,21,0,200,105.3,27.3,9,16,80,,15.8,12,0.226,14,0.214,3,47.4,36,0.535,13.0,11,48,0.521,25,1.0,1,"Donald W. Reynolds Center, Tulsa, Oklahoma",HOUSTON-BAPTIST,Houston Baptist,76.2,Home,TULSA,Tulsa,Tulsa,aac
2019-11-09-20-texas-arlington,47.4,9,7.7,2,107.4,66.7,22,0.347,62,0.306,19,0.371,23,0.696,16,1,200,86.8,32.5,13,18,59,,1.5,1,0.355,22,0.227,5,47.9,35,0.405,12.2,10,40,0.35,14,0.5,1,"November 9, 2019",66.7,16,12.5,5,86.8,67.5,27,0.475,60,0.4,24,0.283,17,0.941,16,0,200,107.4,33.3,11,19,73,,5.9,4,0.567,34,0.265,9,52.1,38,0.536,11.8,9,26,0.577,15,1.0,2,"College Park Center, Arlington, Texas",TULSA,Tulsa,68.0,Home,TEXAS-ARLINGTON,Texas-Arlington,Tulsa,aac
2019-11-12-20-tulsa,59.1,13,2.5,1,100.0,74.2,23,0.403,67,0.328,22,0.284,19,0.684,13,2,200,90.5,25.5,12,24,67,,13.5,10,0.522,35,0.286,10,44.9,35,0.441,12.7,11,32,0.375,12,0.333,1,"November 12, 2019",59.3,16,12.5,4,90.5,74.5,35,0.547,53,0.509,27,0.509,27,0.593,16,1,200,100.0,25.8,8,16,74,,9.5,7,0.245,13,0.308,4,55.1,43,0.562,19.8,16,40,0.575,23,0.667,2,"Donald W. Reynolds Center, Tulsa, Oklahoma",ORAL-ROBERTS,Oral Roberts,74.4,Home,TULSA,Tulsa,Tulsa,aac
2019-11-16-15-tulsa,50.0,10,7.9,3,102.9,78.1,25,0.471,51,0.392,20,0.412,21,0.81,17,2,200,92.9,24.2,8,17,65,,12.9,9,0.49,25,0.32,8,50.8,33,0.533,22.0,17,26,0.462,12,0.333,1,"November 16, 2019",73.1,19,7.7,2,92.9,75.8,25,0.509,56,0.464,26,0.375,21,0.714,15,1,200,102.9,21.9,7,16,72,,17.1,12,0.321,18,0.278,5,49.2,32,0.546,15.5,12,38,0.553,21,0.75,3,"Donald W. Reynolds Center, Tulsa, Oklahoma",AUSTIN-PEAY,Austin Peay,70.5,Home,TULSA,Tulsa,Tulsa,aac
2019-11-20-20-tulsa,40.7,11,5.6,2,98.6,71.0,22,0.448,67,0.403,27,0.179,12,0.5,6,3,200,89.2,31.0,13,24,66,,12.2,9,0.313,21,0.286,6,47.9,35,0.454,15.2,13,46,0.457,21,0.4,2,"November 20, 2019",64.0,16,10.9,5,89.2,69.0,29,0.482,55,0.455,25,0.509,28,0.714,20,1,200,98.6,29.0,9,15,73,,10.8,8,0.345,19,0.158,3,52.1,38,0.534,19.2,16,36,0.611,22,0.8,4,"Donald W. Reynolds Center, Tulsa, Oklahoma",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,74.0,Home,TULSA,Tulsa,Tulsa,aac
2019-11-27-14-tulsa,66.7,12,3.4,1,130.0,72.0,18,0.38,54,0.333,18,0.148,8,0.75,6,5,200,78.3,32.4,11,12,47,,6.7,4,0.389,21,0.238,5,49.2,29,0.407,17.3,12,33,0.394,13,0.286,2,"November 27, 2019",71.4,20,6.1,2,78.3,67.6,23,0.618,55,0.509,28,0.218,12,0.833,10,1,200,130.0,28.0,7,10,78,,13.3,8,0.473,26,0.462,12,50.8,30,0.643,11.7,8,29,0.552,16,0.833,5,"Donald W. Reynolds Center, Tulsa, Oklahoma",SOUTH-CAROLINA-STATE,South Carolina State,60.3,Home,TULSA,Tulsa,Tulsa,aac
2019-11-30-20-vanderbilt,52.2,12,9.4,3,82.9,69.0,20,0.5,51,0.451,23,0.392,20,0.8,16,1,200,95.7,28.0,7,18,67,,12.9,9,0.255,13,0.385,5,50.0,27,0.554,21.1,16,38,0.474,18,0.857,6,"November 30, 2019",60.0,12,21.1,8,95.7,72.0,18,0.429,56,0.357,20,0.286,16,0.625,10,2,200,82.9,31.0,9,16,58,,14.3,10,0.429,24,0.333,8,50.0,27,0.456,19.2,15,32,0.375,12,0.714,5,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,69.6,Away,TULSA,Tulsa,Tulsa,aac
2019-12-04-20-tulsa,35.7,5,17.1,6,107.5,58.6,17,0.36,43,0.326,14,0.326,14,0.571,8,6,200,58.2,20.7,6,10,39,,13.4,9,0.302,13,0.231,3,39.7,23,0.393,32.8,24,30,0.367,11,0.143,1,"December 4, 2019",69.2,18,6.7,2,58.2,79.3,23,0.554,56,0.464,26,0.214,12,0.833,10,1,200,107.5,41.4,12,14,72,,17.9,12,0.375,21,0.476,10,60.3,35,0.583,21.7,17,35,0.457,16,0.875,7,"Donald W. Reynolds Center, Tulsa, Oklahoma",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,67.2,Home,TULSA,Tulsa,Tulsa,aac
2019-12-07-15-tulsa,43.5,10,3.1,1,110.5,65.2,15,0.578,45,0.511,23,0.378,17,0.824,14,2,200,115.8,18.2,4,16,66,,8.8,5,0.311,14,0.429,6,42.2,19,0.622,16.0,10,31,0.548,17,0.778,7,"December 7, 2019",50.0,12,3.2,1,115.8,81.8,18,0.585,47,0.511,24,0.234,11,0.727,8,2,200,110.5,34.8,8,14,63,,7.0,4,0.319,15,0.467,7,57.8,26,0.603,17.5,11,32,0.531,17,0.778,7,"Donald W. Reynolds Center, Tulsa, Oklahoma",TULSA,Tulsa,57.2,Away,ARKANSAS-STATE,Arkansas State,Tulsa,aac
2019-12-11-20-tulsa,52.6,10,2.3,1,103.0,70.0,21,0.44,50,0.38,19,0.36,18,0.667,12,4,200,83.6,17.6,6,14,56,,7.5,5,0.58,29,0.207,6,42.2,27,0.478,19.5,14,21,0.619,13,0.556,5,"December 11, 2019",40.0,12,19.0,4,83.6,82.4,28,0.542,59,0.508,30,0.186,11,0.455,5,2,200,103.0,30.0,9,18,69,,13.4,9,0.254,15,0.267,4,57.8,37,0.537,16.9,13,44,0.591,26,0.8,8,"Donald W. Reynolds Center, Tulsa, Oklahoma",BOISE-STATE,Boise State,67.4,Home,TULSA,Tulsa,Tulsa,aac
