,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-maryland,50.0,15,0.0,0,120.3,57.5,23,0.5,67,0.448,30,0.075,5,0.8,4,1,200,89.9,9.7,3,19,71,,3.8,3,0.403,27,0.259,7,36.6,26,0.512,16.8,14,40,0.575,23,0.0,0,"November 5, 2019",40.5,15,20.0,8,89.9,90.3,28,0.52,76,0.487,37,0.316,24,0.667,16,0,200,120.3,42.5,17,6,95,7,10.1,8,0.355,27,0.185,5,63.4,45,0.543,8.5,8,49,0.653,32,1.0,1,"Xfinity Center, College Park, Maryland",HOLY-CROSS,Holy Cross,79.4,Home,MARYLAND,Maryland,Holy Cross,patriot
2019-11-09-13-new-hampshire,57.7,15,2.7,1,116.0,71.1,27,0.554,56,0.464,26,0.464,26,0.808,21,2,200,110.7,16.1,5,23,83,,2.7,2,0.393,22,0.455,10,46.4,32,0.607,15.1,12,34,0.471,16,0.0,0,"November 9, 2019",53.3,16,5.9,2,110.7,83.9,26,0.546,65,0.462,30,0.385,25,0.64,16,0,200,116.0,28.9,11,18,87,,9.3,7,0.431,28,0.393,11,53.6,37,0.566,10.6,9,37,0.514,19,1.0,2,"Lundholm Gymnasium, Durham, New Hampshire",HOLY-CROSS,Holy Cross,75.1,Home,NEW-HAMPSHIRE,New Hampshire,Holy Cross,patriot
2019-11-12-19-holy-cross,32.0,8,21.2,7,91.3,69.4,25,0.509,54,0.463,25,0.352,19,0.684,13,2,225,98.6,25.0,7,10,68,,13.0,9,0.315,17,0.294,5,50.0,32,0.539,16.1,12,37,0.541,20,0.333,1,"November 12, 2019",60.9,14,13.5,5,98.6,75.0,21,0.459,61,0.377,23,0.164,10,0.7,7,3,225,91.3,30.6,11,17,63,,8.7,6,0.459,28,0.357,10,50.0,32,0.479,18.7,15,33,0.394,13,0.0,0,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,61.2,Away,FAIRFIELD,Fairfield,Holy Cross,patriot
2019-11-19-19-holy-cross,59.0,23,10.0,3,59.5,75.7,28,0.723,65,0.6,39,0.138,9,0.778,7,2,200,136.5,30.0,6,11,101,,17.6,13,0.446,29,0.552,16,59.6,34,0.729,16.9,14,36,0.639,23,0.6,3,"November 19, 2019",41.2,7,16.7,6,136.5,70.0,14,0.316,57,0.298,17,0.211,12,0.667,8,4,200,59.5,24.3,9,14,44,,9.5,7,0.474,27,0.074,2,40.4,23,0.351,21.4,17,30,0.5,15,0.0,0,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,74.0,Away,NORTHEASTERN,Northeastern,Holy Cross,patriot
2019-11-22-19-holy-cross,57.1,16,13.2,5,107.2,77.4,24,0.549,61,0.459,28,0.344,21,0.714,15,2,200,118.8,31.3,10,12,82,,10.1,7,0.377,23,0.478,11,54.0,34,0.578,10.2,8,38,0.447,17,0.667,4,"November 22, 2019",56.7,17,10.5,4,118.8,68.8,22,0.573,62,0.484,30,0.097,6,0.5,3,5,200,107.2,22.6,7,20,74,,1.4,1,0.387,24,0.458,11,46.0,29,0.571,14.5,11,38,0.5,19,0.0,0,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,68.9,Away,HARVARD,Harvard,Holy Cross,patriot
2019-11-29-19-florida-atlantic,52.0,13,2.7,1,126.1,61.3,19,0.565,54,0.463,25,0.296,16,0.5,8,6,200,100.0,25.0,8,24,69,,7.2,5,0.407,22,0.5,11,42.9,27,0.56,17.6,13,32,0.438,14,0.0,0,"November 29, 2019",42.9,12,3.1,1,100.0,75.0,24,0.568,59,0.475,28,0.475,28,0.714,20,3,200,126.1,38.7,12,16,87,,5.8,4,0.373,22,0.5,11,57.1,36,0.602,14.4,12,37,0.459,17,0.5,3,"FAU Arena, Boca Raton, Florida",HOLY-CROSS,Holy Cross,69.5,Home,FLORIDA-ATLANTIC,Florida Atlantic,Holy Cross,patriot
2019-12-01-15-holy-cross,40.7,11,0.0,0,87.3,77.8,21,0.526,57,0.474,27,0.614,35,0.886,31,3,200,115.2,32.1,9,17,91,,16.5,13,0.281,16,0.375,6,54.5,30,0.618,19.0,17,41,0.512,21,0.625,5,"December 1, 2019",62.1,18,4.9,2,115.2,67.9,19,0.574,54,0.537,29,0.222,12,0.583,7,7,200,87.3,22.2,6,24,69,,10.1,8,0.333,18,0.222,4,45.5,25,0.578,28.0,23,36,0.694,25,0.0,0,"FAU Arena, Boca Raton, Florida",HOLY-CROSS,Holy Cross,79.2,Away,HOFSTRA,Hofstra,Holy Cross,patriot
2019-12-02-11-holy-cross,44.4,12,0.0,0,119.1,71.4,20,0.492,60,0.45,27,0.217,13,0.615,8,5,200,98.5,21.9,7,13,67,,5.9,4,0.317,19,0.263,5,45.0,27,0.506,13.2,10,41,0.537,22,0.444,4,"December 2, 2019",38.7,12,2.4,1,98.5,78.1,25,0.593,59,0.525,31,0.237,14,0.786,11,7,200,119.1,28.6,8,14,81,,5.9,4,0.39,23,0.348,8,55.0,33,0.617,13.3,10,36,0.639,23,0.125,1,"FAU Arena, Boca Raton, Florida",MERCER,Mercer,68.4,Home,HOLY-CROSS,Holy Cross,Holy Cross,patriot
2019-12-07-22-san-diego,45.5,10,2.7,1,95.8,69.7,23,0.405,58,0.379,22,0.224,13,0.308,4,8,200,71.8,30.6,11,24,51,,9.9,7,0.172,10,0.3,3,49.3,34,0.397,23.0,19,48,0.396,19,0.111,1,"December 7, 2019",53.8,14,6.3,3,71.8,69.4,25,0.528,54,0.481,26,0.407,22,0.5,11,7,200,95.8,30.3,10,13,68,,9.9,7,0.315,17,0.294,5,50.7,35,0.528,20.1,16,37,0.568,21,0.364,4,"Jenny Craig Pavillion, San Diego, California",HOLY-CROSS,Holy Cross,71.3,Home,SAN-DIEGO,San Diego,Holy Cross,patriot
2019-12-10-19-holy-cross,37.5,9,9.1,4,81.5,78.9,30,0.467,60,0.4,24,0.367,22,0.591,13,0,225,85.2,13.5,5,24,69,,14.8,12,0.467,28,0.286,8,46.7,35,0.49,15.7,13,32,0.5,16,0.0,0,"December 10, 2019",54.2,13,3.1,1,85.2,86.5,32,0.44,58,0.414,24,0.448,26,0.577,15,9,225,81.5,21.1,8,21,66,,7.4,6,0.241,14,0.214,3,53.3,40,0.469,23.2,21,44,0.477,21,0.1,1,"Hart Recreation Center, Worcester, Massachusetts",HOLY-CROSS,Holy Cross,71.9,Away,"Massachusetts-Boston
			","Massachusetts-Boston
			",Holy Cross,patriot
