,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-09-20-murray-state,31.6,6,25.0,8,94.5,66.7,18,0.336,61,0.311,19,0.18,11,0.727,8,1,200,67.1,19.5,8,28,49,,12.3,9,0.361,22,0.136,3,38.2,26,0.37,16.5,13,39,0.41,16,0.5,1,"November 9, 2019",59.1,13,12.8,5,67.1,80.5,33,0.49,48,0.458,22,0.667,32,0.688,22,0,200,94.5,33.3,9,16,69,,6.8,5,0.333,16,0.188,3,61.8,42,0.546,25.3,21,32,0.594,19,1.0,1,"CFSB Center, Murray, Kentucky",SOUTHERN,Southern,73.2,Home,MURRAY-STATE,Murray State,Murray State,ovc
2019-11-12-21-tennessee,73.9,17,11.1,4,126.2,71.9,23,0.491,56,0.411,23,0.196,11,0.727,8,1,200,96.9,24.2,8,19,63,,6.2,4,0.411,23,0.391,9,47.7,31,0.514,16.5,12,33,0.424,14,0.5,1,"November 12, 2019",72.4,21,18.2,6,96.9,75.8,25,0.603,58,0.5,29,0.31,18,0.667,12,0,200,126.2,28.1,9,15,82,,6.2,4,0.379,22,0.545,12,52.3,34,0.616,10.8,8,36,0.472,17,1.0,2,"Thompson-Boling Arena, Knoxville, Tennessee",MURRAY-STATE,Murray State,65.4,Home,TENNESSEE,Tennessee,Murray State,ovc
2019-11-16-20-murray-state,41.2,7,10.2,5,140.7,68.0,17,0.317,63,0.27,17,0.222,14,0.571,8,0,200,59.3,8.3,4,19,48,,3.7,3,0.381,24,0.25,6,28.8,21,0.345,15.8,13,39,0.282,11,0.0,0,"November 16, 2019",69.0,29,17.9,7,59.3,91.7,44,0.682,66,0.636,42,0.47,31,0.774,24,1,200,140.7,32.0,8,15,114,,8.6,7,0.258,17,0.353,6,71.2,52,0.706,11.2,10,49,0.735,36,0.667,2,"CFSB Center, Murray, Kentucky","Brescia
			","Brescia
			",80.7,Home,MURRAY-STATE,Murray State,Murray State,ovc
2019-11-19-20-murray-state,40.9,9,10.5,4,116.2,67.9,19,0.447,57,0.386,22,0.421,24,0.625,15,4,200,97.1,25.0,10,23,66,,8.8,6,0.368,21,0.333,7,42.6,29,0.482,12.9,10,36,0.417,15,0.333,2,"November 19, 2019",45.5,10,8.3,3,97.1,75.0,30,0.5,49,0.449,22,0.796,39,0.769,30,1,200,116.2,32.1,9,18,79,,11.8,8,0.224,11,0.455,5,57.4,39,0.585,12.0,9,38,0.447,17,0.75,3,"CFSB Center, Murray, Kentucky",SOUTHERN-ILLINOIS,Southern Illinois,68.0,Home,MURRAY-STATE,Murray State,Murray State,ovc
2019-11-25-19-murray-state,54.2,13,12.5,5,92.8,85.7,24,0.649,47,0.511,24,0.489,23,0.609,14,2,200,108.7,22.2,6,16,75,,7.2,5,0.596,28,0.464,13,54.5,30,0.647,20.8,15,19,0.579,11,0.5,2,"November 25, 2019",42.3,11,5.3,1,108.7,77.8,21,0.467,60,0.433,26,0.217,13,0.615,8,2,200,92.8,14.3,4,18,64,,10.1,7,0.333,20,0.2,4,45.5,25,0.484,12.0,9,40,0.55,22,0.6,3,"Germain Arena, Estero, Florida",MURRAY-STATE,Murray State,69.1,Away,LA-SALLE,La Salle,Murray State,ovc
2019-11-26-13-weber-state,46.4,13,6.1,2,104.6,73.1,19,0.685,46,0.609,28,0.196,9,0.667,6,2,200,106.2,13.3,2,13,69,,9.2,6,0.283,13,0.538,7,51.2,21,0.686,26.5,18,33,0.636,21,0.667,4,"November 26, 2019",45.8,11,12.1,4,106.2,86.7,13,0.536,55,0.436,24,0.218,12,0.75,9,4,200,104.6,26.9,7,16,68,,6.2,4,0.4,22,0.5,11,48.8,20,0.56,15.4,11,33,0.394,13,0.2,1,"Germain Arena, Estero, Florida",WEBER-STATE,Weber State,65.5,Away,MURRAY-STATE,Murray State,Murray State,ovc
2019-11-27-13-murray-state,69.6,16,3.0,1,77.9,67.6,23,0.51,52,0.442,23,0.308,16,0.625,10,2,200,92.6,27.3,9,22,63,,7.4,5,0.346,18,0.389,7,47.8,32,0.529,21.3,16,34,0.471,16,0.75,6,"November 27, 2019",41.2,7,2.9,1,92.6,72.7,24,0.358,53,0.321,17,0.434,23,0.652,15,3,200,77.9,32.4,11,18,53,,11.8,8,0.377,20,0.2,4,52.2,35,0.415,20.2,16,33,0.394,13,0.571,4,"Germain Arena, Estero, Florida",MURRAY-STATE,Murray State,67.8,Away,DRAKE,Drake,Murray State,ovc
2019-12-03-20-missouri-state,22.7,5,8.1,3,100.0,80.6,25,0.415,59,0.373,22,0.492,29,0.69,20,4,200,97.2,28.2,11,18,69,,4.2,3,0.271,16,0.313,5,51.4,36,0.474,12.2,10,43,0.395,17,0.5,4,"December 3, 2019",56.0,14,7.0,3,97.2,71.8,28,0.518,55,0.455,25,0.309,17,0.824,14,5,200,100.0,19.4,6,23,71,,4.2,3,0.327,18,0.389,7,48.6,34,0.563,18.3,14,37,0.486,18,0.444,4,"JQH Arena, Springfield, Missouri",MURRAY-STATE,Murray State,71.4,Home,MISSOURI-STATE,Missouri State,Murray State,ovc
2019-12-07-20-murray-state,35.0,7,18.2,8,116.4,66.7,16,0.371,58,0.345,20,0.31,18,0.5,9,6,200,71.2,26.3,10,19,52,,12.3,9,0.379,22,0.136,3,41.9,26,0.391,17.5,14,36,0.472,17,0.4,4,"December 7, 2019",71.9,23,11.1,4,71.2,73.7,28,0.616,56,0.571,32,0.393,22,0.727,16,4,200,116.4,33.3,8,16,85,,5.5,4,0.214,12,0.417,5,58.1,36,0.64,19.6,16,44,0.614,27,0.556,5,"CFSB Center, Murray, Kentucky",MIDDLE-TENNESSEE,Middle Tennessee,72.5,Home,MURRAY-STATE,Murray State,Murray State,ovc
2019-12-16-20-murray-state,27.3,3,2.9,1,105.7,78.4,29,0.267,45,0.244,11,0.467,21,0.667,14,9,200,54.3,8.3,3,16,38,,1.4,1,0.333,15,0.133,2,43.8,32,0.346,23.9,17,30,0.3,9,0.1,1,"December 16, 2019",65.4,17,20.0,6,54.3,91.7,33,0.484,62,0.419,26,0.371,23,0.609,14,4,200,105.7,21.6,8,21,74,,11.4,8,0.452,28,0.286,8,56.2,41,0.507,7.7,6,34,0.529,18,0.6,6,"CFSB Center, Murray, Kentucky",KENNESAW-STATE,Kennesaw State,70.0,Home,MURRAY-STATE,Murray State,Murray State,ovc
