,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-temple,70.8,17,12.0,6,94.6,77.1,27,0.391,69,0.348,24,0.159,11,0.727,8,1,200,83.8,32.6,15,14,62,,12.2,9,0.435,30,0.2,6,51.9,42,0.418,15.9,14,39,0.462,18,0.0,0,"November 5, 2019",50.0,14,12.8,5,83.8,67.4,31,0.469,65,0.431,28,0.2,13,0.692,9,0,200,94.6,22.9,8,14,70,,14.9,11,0.231,15,0.333,5,48.1,39,0.492,13.5,11,50,0.46,23,1.0,1,"Liacouras Center, Philadelphia, Pennsylvania",DREXEL,Drexel,73.7,Home,TEMPLE,Temple,Temple,aac
2019-11-09-14-temple,55.0,11,18.2,6,102.7,70.5,31,0.42,56,0.357,20,0.286,16,0.625,10,1,210,78.1,27.8,10,25,57,,2.7,2,0.446,25,0.28,7,51.3,41,0.448,23.2,19,31,0.419,13,0.5,1,"November 9, 2019",45.8,11,12.9,4,78.1,72.2,26,0.423,65,0.369,24,0.492,32,0.625,20,0,210,102.7,29.5,13,16,75,,19.2,14,0.492,32,0.219,7,48.8,39,0.468,7.1,6,33,0.515,17,1.0,2,"Liacouras Center, Philadelphia, Pennsylvania",MORGAN-STATE,Morgan State,69.4,Home,TEMPLE,Temple,Temple,aac
2019-11-16-14-la-salle,57.1,12,23.1,6,90.3,65.6,21,0.438,56,0.375,21,0.518,29,0.724,21,0,200,97.2,40.0,14,13,70,,16.7,12,0.375,21,0.333,7,52.2,35,0.502,16.9,14,35,0.4,14,1.0,3,"November 16, 2019",73.9,17,14.3,5,97.2,60.0,21,0.484,63,0.365,23,0.143,9,0.444,4,2,200,90.3,34.4,11,23,65,,11.1,8,0.587,37,0.405,15,47.8,32,0.483,20.2,17,26,0.308,8,0.333,1,"Tom Gola Arena, Philadelphia, Pennsylvania",LA-SALLE,La Salle,71.5,Away,TEMPLE,Temple,Temple,aac
2019-11-22-23-southern-california,65.4,17,2.9,1,82.4,86.5,32,0.463,67,0.388,26,0.179,12,0.667,8,0,200,94.6,20.5,8,22,70,,10.8,8,0.448,30,0.333,10,52.6,40,0.481,10.0,8,37,0.432,16,1.0,4,"November 22, 2019",72.7,16,21.6,8,94.6,79.5,31,0.439,57,0.386,22,0.351,20,0.55,11,1,200,82.4,13.5,5,14,61,,5.4,4,0.386,22,0.273,6,47.4,36,0.459,16.5,13,35,0.457,16,0.833,5,"Galen Center, Los Angeles, California",SOUTHERN-CALIFORNIA,USC,73.6,Away,TEMPLE,Temple,Temple,aac
2019-11-28-11-temple,50.0,12,18.2,6,95.8,61.1,22,0.518,56,0.429,24,0.411,23,0.783,18,0,200,105.6,28.6,10,20,76,5,5.6,4,0.464,26,0.385,10,45.1,32,0.568,17.5,14,30,0.467,14,1.0,6,"November 28, 2019",68.2,15,6.7,2,105.6,71.4,25,0.43,64,0.344,22,0.297,19,0.737,14,1,200,95.8,38.9,14,20,69,,9.7,7,0.484,31,0.355,11,54.9,39,0.472,16.2,14,33,0.333,11,0.8,4,"HP Field House, Orlando, Florida",TEMPLE,Temple,72.0,Away,MARYLAND,Maryland,Temple,aac
2019-11-29-14-texas-am,50.0,11,12.0,3,63.6,76.7,33,0.54,50,0.44,22,0.34,17,0.647,11,1,200,98.5,17.9,5,13,65,,10.6,7,0.54,27,0.37,10,53.5,38,0.56,16.1,11,23,0.522,12,0.833,5,"November 29, 2019",61.5,8,0.0,0,98.5,82.1,23,0.276,58,0.224,13,0.224,13,0.769,10,3,200,63.6,23.3,10,15,42,,10.6,7,0.569,33,0.182,6,46.5,33,0.327,16.9,13,25,0.28,7,0.5,3,"HP Field House, Orlando, Florida",TEXAS-AM,Texas A&M,65.6,Away,TEMPLE,Temple,Temple,aac
2019-12-01-16-davidson,73.1,19,11.8,2,75.7,90.9,30,0.439,66,0.394,26,0.136,9,0.889,8,1,200,94.3,25.0,8,17,66,,10.0,7,0.303,20,0.3,6,58.5,38,0.47,14.6,12,46,0.435,20,0.857,6,"December 1, 2019",55.6,10,10.9,5,94.3,75.0,24,0.44,50,0.36,18,0.22,11,0.818,9,5,200,75.7,9.1,3,12,53,,4.3,3,0.66,33,0.242,8,41.5,27,0.48,20.3,14,17,0.588,10,0.375,3,"HP Field House, Orlando, Florida",DAVIDSON,Davidson,70.3,Away,TEMPLE,Temple,Temple,aac
2019-12-07-19-temple,47.6,10,3.6,1,75.0,83.3,25,0.463,54,0.389,21,0.407,22,0.636,14,4,200,88.9,24.2,8,21,64,,11.1,8,0.537,29,0.276,8,52.4,33,0.497,17.0,13,25,0.52,13,0.556,5,"December 7, 2019",70.6,12,4.0,1,88.9,75.8,25,0.367,49,0.347,17,0.531,26,0.692,18,2,200,75.0,16.7,5,22,54,,8.3,6,0.429,21,0.095,2,47.6,30,0.44,23.9,19,28,0.536,15,0.75,6,"Liacouras Center, Philadelphia, Pennsylvania",TEMPLE,Temple,72.4,Away,MISSOURI,Missouri,Temple,aac
2019-12-10-19-temple,38.1,8,0.0,0,131.7,79.2,19,0.403,67,0.313,21,0.149,10,0.7,7,9,200,74.4,10.9,5,16,61,,4.9,4,0.627,42,0.286,12,34.3,24,0.425,14.4,12,25,0.36,9,0.182,2,"December 10, 2019",45.2,19,16.0,4,74.4,89.1,41,0.687,67,0.627,42,0.373,25,0.64,16,2,200,131.7,20.8,5,11,108,,9.8,8,0.224,15,0.533,8,65.7,46,0.685,12.4,11,52,0.654,34,0.778,7,"Liacouras Center, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,81.8,Home,TEMPLE,Temple,Temple,aac
2019-12-17-21-temple,30.0,9,10.8,4,97.5,80.0,32,0.533,60,0.5,30,0.367,22,0.636,14,3,200,98.7,13.9,5,13,78,,11.4,9,0.3,18,0.222,4,48.7,37,0.554,13.6,11,42,0.619,26,0.7,7,"December 17, 2019",67.9,19,2.4,1,98.7,86.1,31,0.5,69,0.406,28,0.174,12,0.667,8,3,200,97.5,20.0,8,18,77,,8.9,7,0.464,32,0.406,13,51.3,39,0.515,15.9,14,37,0.405,15,0.7,7,"Barclays Center, Brooklyn, New York",TEMPLE,Temple,78.6,Away,MIAMI-FL,Miami (FL),Temple,aac
