,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-08-22-santa-clara,52.2,12,0.0,0,104.1,85.2,23,0.44,58,0.397,23,0.31,18,0.667,12,1,200,85.1,23.5,8,26,63,,4.1,3,0.224,13,0.385,5,50.8,31,0.473,18.5,15,45,0.4,18,0.0,0,"November 8, 2019",60.9,14,8.9,4,85.1,76.5,26,0.5,49,0.469,23,0.755,37,0.757,28,0,200,104.1,14.8,4,20,77,,10.8,8,0.204,10,0.3,3,49.2,30,0.578,15.5,12,39,0.513,20,1.0,2,"Leavey Center, Santa Clara, California",CAL-POLY,Cal Poly,74.1,Home,SANTA-CLARA,Santa Clara,Cal Poly,big-west
2019-11-11-14-north-dakota-state,33.3,9,0.0,0,113.8,78.6,22,0.587,52,0.519,27,0.212,11,0.545,6,2,200,103.1,11.5,3,22,67,,7.7,5,0.269,14,0.5,7,46.3,25,0.585,15.0,10,38,0.526,20,0.0,0,"November 11, 2019",36.4,8,0.0,0,103.1,88.5,23,0.51,48,0.458,22,0.646,31,0.806,25,1,200,113.8,21.4,6,16,74,,6.2,4,0.417,20,0.25,5,53.7,29,0.59,12.7,9,28,0.607,17,0.667,2,"Scheels Center, Fargo, North Dakota",CAL-POLY,Cal Poly,65.0,Home,NORTH-DAKOTA-STATE,North Dakota State,Cal Poly,big-west
2019-11-15-22-cal-poly,25.0,4,6.8,3,114.1,76.7,23,0.382,51,0.314,16,0.216,11,0.545,6,0,200,57.7,11.4,4,16,45,,9.0,7,0.412,21,0.333,7,41.5,27,0.4,30.1,24,30,0.3,9,0.0,0,"November 15, 2019",58.8,20,6.7,2,57.7,88.6,31,0.617,64,0.531,34,0.234,15,0.667,10,2,200,114.1,23.3,7,19,89,,12.8,10,0.313,20,0.55,11,58.5,38,0.626,17.5,15,44,0.523,23,0.333,1,"Robert A. Mott Gymnasium, San Luis Obispo, California","Simpson (CA)
			","Simpson (CA)
			",77.7,Home,CAL-POLY,Cal Poly,Cal Poly,big-west
2019-11-17-20-saint-marys-ca,33.3,7,3.3,1,121.5,69.6,16,0.423,52,0.404,21,0.231,12,0.333,4,3,200,73.8,23.3,7,15,48,,9.2,6,0.173,9,0.222,2,43.4,23,0.416,20.8,15,43,0.442,19,0.25,1,"November 17, 2019",60.7,17,4.7,2,73.8,76.7,23,0.635,52,0.538,28,0.308,16,0.813,13,1,200,121.5,30.4,7,15,79,18,10.8,7,0.423,22,0.455,10,56.6,30,0.663,16.9,12,30,0.6,18,0.75,3,"McKeon Pavilion, Moraga, California",CAL-POLY,Cal Poly,65.2,Home,SAINT-MARYS-CA,Saint Mary's,Cal Poly,big-west
2019-11-22-21-creighton,42.9,12,0.0,0,121.1,80.8,21,0.602,54,0.519,28,0.185,10,0.5,5,4,200,98.6,23.1,6,20,70,,5.6,4,0.352,19,0.474,9,51.9,27,0.596,23.6,18,35,0.543,19,0.2,1,"November 22, 2019",55.2,16,2.9,1,98.6,76.9,20,0.598,56,0.518,29,0.411,23,0.826,19,1,200,121.1,19.2,5,16,86,,15.5,11,0.393,22,0.409,9,48.1,25,0.643,12.0,9,34,0.588,20,0.75,3,"CenturyLink Center, Omaha, Nebraska",CAL-POLY,Cal Poly,70.8,Home,CREIGHTON,Creighton,Cal Poly,big-west
2019-11-24-17-iowa,45.8,11,4.9,2,116.4,66.7,22,0.392,65,0.369,24,0.138,9,0.889,8,5,200,80.8,22.2,8,21,59,,9.6,7,0.338,22,0.136,3,43.5,30,0.426,15.9,13,43,0.488,21,0.167,1,"November 24, 2019",70.0,21,14.0,6,80.8,77.8,28,0.588,57,0.526,30,0.509,29,0.621,18,1,200,116.4,33.3,11,9,85,,11.0,8,0.281,16,0.438,7,56.5,39,0.6,13.6,11,41,0.561,23,0.8,4,"Carver-Hawkeye Arena, Iowa City, Iowa",CAL-POLY,Cal Poly,72.5,Home,IOWA,Iowa,Cal Poly,big-west
2019-11-28-14-cal-poly,55.6,15,9.7,3,94.7,80.6,25,0.58,56,0.482,27,0.411,23,0.739,17,3,200,107.9,37.0,10,26,82,,7.9,6,0.339,19,0.579,11,60.3,35,0.613,22.3,19,37,0.432,16,0.571,4,"November 28, 2019",33.3,8,2.7,1,107.9,63.0,17,0.538,52,0.462,24,0.538,28,0.571,16,6,200,94.7,19.4,6,24,72,,11.8,9,0.404,21,0.381,8,39.7,23,0.551,20.9,17,31,0.516,16,0.143,1,"Orleans Arena, Paradise, Nevada",CAL-POLY,Cal Poly,76.1,Away,TENNESSEE-STATE,Tennessee State,Cal Poly,big-west
2019-11-29-14-long-island-university,56.5,13,4.8,1,113.9,90.9,20,0.452,62,0.371,23,0.242,15,0.867,13,7,200,95.8,33.3,12,20,69,,8.3,6,0.419,26,0.385,10,55.2,32,0.499,16.9,14,36,0.361,13,0.125,1,"November 29, 2019",57.7,15,11.1,4,95.8,66.7,24,0.667,48,0.542,26,0.438,21,0.857,18,6,200,113.9,9.1,2,17,82,,11.1,8,0.563,27,0.444,12,44.8,26,0.707,21.8,16,21,0.667,14,0.25,2,"Orleans Arena, Paradise, Nevada",CAL-POLY,Cal Poly,71.6,Home,LONG-ISLAND-UNIVERSITY,LIU,Cal Poly,big-west
2019-12-07-22-cal-poly,37.0,10,5.9,2,107.7,88.5,23,0.477,65,0.415,27,0.185,12,0.333,4,5,200,101.5,39.0,16,20,66,,10.8,7,0.323,21,0.381,8,58.2,39,0.467,11.4,9,44,0.432,19,0.286,2,"December 7, 2019",36.0,9,11.4,5,101.5,61.0,25,0.57,50,0.5,25,0.38,19,0.684,13,7,200,107.7,11.5,3,17,70,,4.6,3,0.32,16,0.438,7,41.8,28,0.593,14.6,10,34,0.529,18,0.222,2,"Robert A. Mott Gymnasium, San Luis Obispo, California",SIENA,Siena,64.9,Home,CAL-POLY,Cal Poly,Cal Poly,big-west
2019-12-14-22-cal-poly,56.5,13,9.1,3,57.8,83.8,31,0.5,53,0.434,23,0.226,12,0.75,9,7,200,96.9,45.2,14,16,62,,15.6,10,0.453,24,0.292,7,66.2,45,0.528,24.6,19,29,0.552,16,0.3,3,"December 14, 2019",25.0,3,3.4,1,96.9,54.8,17,0.255,49,0.245,12,0.306,15,0.8,12,8,200,57.8,16.2,6,12,37,,14.1,9,0.327,16,0.063,1,33.8,23,0.33,20.1,14,33,0.333,11,0.2,2,"Robert A. Mott Gymnasium, San Luis Obispo, California",CAL-POLY,Cal Poly,63.9,Away,FRESNO-STATE,Fresno State,Cal Poly,big-west
