,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-21-wyoming,60.0,9,3.7,1,91.5,85.0,17,0.362,47,0.319,15,0.383,18,0.333,6,1,200,67.8,21.9,7,22,40,,11.9,7,0.511,24,0.167,4,46.2,24,0.36,20.3,14,23,0.478,11,0.0,0,"November 5, 2019",21.1,4,8.7,2,67.8,78.1,25,0.527,37,0.514,19,0.622,23,0.652,15,0,200,91.5,15.0,3,20,54,,10.2,6,0.27,10,0.1,1,53.8,28,0.563,17.5,10,27,0.667,18,1.0,1,"Arena-Auditorium, Laramie, Wyoming",IDAHO-STATE,Idaho State,58.7,Home,WYOMING,Wyoming,Idaho State,big-sky
2019-11-07-21-air-force,46.4,13,4.9,2,111.3,73.1,19,0.607,56,0.5,28,0.446,25,0.84,21,1,200,125.4,29.6,8,23,89,,9.9,7,0.518,29,0.414,12,50.9,27,0.656,14.1,11,27,0.593,16,0.5,1,"November 7, 2019",18.5,5,11.1,3,125.4,70.4,19,0.529,52,0.519,27,0.519,27,0.889,24,1,200,111.3,26.9,7,24,79,,7.0,5,0.212,11,0.091,1,49.1,26,0.609,16.9,13,41,0.634,26,0.0,0,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,70.9,Away,IDAHO-STATE,Idaho State,Idaho State,big-sky
2019-11-14-21-idaho-state,38.9,7,10.3,4,119.4,64.3,18,0.353,51,0.353,18,0.294,15,0.8,12,0,200,71.6,11.4,4,18,48,,1.5,1,0.216,11,0.0,0,34.9,22,0.413,19.6,14,40,0.45,18,0.0,0,"November 14, 2019",50.0,16,5.0,2,71.6,88.6,31,0.629,58,0.552,32,0.259,15,0.467,7,1,200,119.4,35.7,10,14,80,,7.5,5,0.328,19,0.474,9,65.1,41,0.614,13.4,10,39,0.59,23,0.667,2,"Reed Gym, Pocatello, Idaho","Montana Western
			","Montana Western
			",66.6,Home,IDAHO-STATE,Idaho State,Idaho State,big-sky
2019-11-17-16-washington-state,43.5,10,8.5,4,107.5,64.7,22,0.491,53,0.434,23,0.226,12,0.75,9,2,200,91.0,42.3,11,14,61,,6.0,4,0.396,21,0.286,6,55.0,33,0.52,24.6,19,32,0.531,17,0.5,2,"November 17, 2019",35.7,10,9.4,3,91.0,57.7,15,0.461,64,0.438,28,0.25,16,0.813,13,1,200,107.5,35.3,12,15,72,,13.4,9,0.266,17,0.176,3,45.0,27,0.503,9.0,7,47,0.532,25,0.667,2,"Beasley Coliseum, Pullman, Washington",IDAHO-STATE,Idaho State,66.7,Home,WASHINGTON-STATE,Washington State,Idaho State,big-sky
2019-11-22-22-santa-clara,68.4,13,0.0,0,101.3,87.0,20,0.441,51,0.373,19,0.588,30,0.667,20,3,200,84.4,26.7,8,13,65,,10.4,8,0.333,17,0.412,7,52.8,28,0.498,24.6,21,34,0.353,12,0.4,2,"November 22, 2019",77.4,24,17.6,6,84.4,73.3,22,0.654,52,0.596,31,0.231,12,0.833,10,1,200,101.3,13.0,3,23,78,,13.0,10,0.269,14,0.429,6,47.2,25,0.676,26.8,21,38,0.658,25,0.833,5,"Leavey Center, Santa Clara, California",IDAHO-STATE,Idaho State,77.0,Home,SANTA-CLARA,Santa Clara,Idaho State,big-sky
2019-11-27-21-idaho-state,23.5,4,0.0,0,147.8,57.9,11,0.357,56,0.304,17,0.161,9,0.333,3,0,200,62.3,10.8,4,14,43,,0.0,0,0.304,17,0.353,6,26.8,15,0.357,18.9,14,39,0.282,11,0.0,0,"November 27, 2019",59.1,26,5.1,2,62.3,89.2,33,0.77,61,0.721,44,0.23,14,0.571,8,3,200,147.8,42.1,8,15,102,,13.0,9,0.213,13,0.462,6,73.2,41,0.754,11.8,9,48,0.792,38,0.5,3,"Reed Gym, Pocatello, Idaho","West Coast Baptist
			","West Coast Baptist
			",69.5,Home,IDAHO-STATE,Idaho State,Idaho State,big-sky
2019-12-06-21-pepperdine,45.5,10,8.3,4,101.3,58.6,17,0.472,53,0.415,22,0.453,24,0.625,15,4,200,85.5,19.4,6,21,65,,9.2,7,0.377,20,0.3,6,38.3,23,0.505,23.0,19,33,0.485,16,0.429,3,"December 6, 2019",50.0,15,6.1,2,85.5,80.6,25,0.469,65,0.462,30,0.262,17,0.941,16,6,200,101.3,41.4,12,21,77,,13.2,10,0.262,17,0.059,1,61.7,37,0.527,15.2,13,48,0.604,29,0.4,4,"Firestone Fieldhouse, Malibu, California",IDAHO-STATE,Idaho State,75.7,Home,PEPPERDINE,Pepperdine,Idaho State,big-sky
2019-12-16-21-idaho-state,30.8,8,3.7,1,97.1,79.4,27,0.5,61,0.426,26,0.295,18,0.722,13,4,225,105.7,34.2,13,22,74,,7.1,5,0.328,20,0.45,9,55.6,40,0.532,15.9,13,41,0.415,17,0.636,7,"December 16, 2019",33.3,8,9.8,4,105.7,65.8,25,0.548,52,0.462,24,0.423,22,0.5,11,5,225,97.1,20.6,7,19,68,,10.0,7,0.481,25,0.36,9,44.4,32,0.544,19.6,15,27,0.556,15,0.375,3,"Reed Gym, Pocatello, Idaho",IDAHO-STATE,Idaho State,62.2,Away,CALIFORNIA-SANTA-BARBARA,UCSB,Idaho State,big-sky
2019-12-21-22-pacific,60.9,14,3.8,2,118.5,58.6,17,0.571,49,0.469,23,0.347,17,0.588,10,6,200,101.5,18.5,5,15,66,,6.2,4,0.469,23,0.435,10,39.3,22,0.578,17.5,12,26,0.5,13,0.333,3,"December 21, 2019",54.8,17,11.5,3,101.5,81.5,22,0.559,59,0.525,31,0.288,17,0.647,11,3,200,118.5,41.4,12,17,77,,15.4,10,0.119,7,0.571,4,60.7,34,0.574,13.1,10,52,0.519,27,0.8,12,"A.G. Spanos Center, Stockton, California",IDAHO-STATE,Idaho State,64.6,Home,PACIFIC,Pacific,Idaho State,big-sky
2019-12-28-21-idaho-state,50.0,12,6.3,2,95.4,67.7,21,0.5,53,0.453,24,0.245,13,0.538,7,8,200,92.3,32.1,9,23,60,,12.3,8,0.245,13,0.385,5,50.8,30,0.507,20.3,15,40,0.475,19,0.333,4,"December 28, 2019",59.1,13,2.5,1,92.3,67.9,19,0.454,54,0.407,22,0.333,18,0.722,13,6,200,95.4,32.3,10,13,62,,7.7,5,0.407,22,0.227,5,49.2,29,0.496,17.4,13,32,0.531,17,0.4,4,"Reed Gym, Pocatello, Idaho",IDAHO,Idaho,65.4,Home,IDAHO-STATE,Idaho State,Idaho State,big-sky
