,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-06-19-james-madison,50.0,14,0.0,0,103.9,78.9,30,0.471,69,0.406,28,0.188,13,0.692,9,1,200,97.4,23.1,9,23,74,,3.9,3,0.478,33,0.273,9,50.6,39,0.492,12.8,11,36,0.528,19,0.0,0,"November 6, 2019",44.8,13,11.1,4,97.4,76.9,30,0.568,59,0.492,29,0.475,28,0.429,12,0,200,103.9,21.1,8,20,79,,5.3,4,0.441,26,0.346,9,49.4,38,0.546,13.4,11,33,0.606,20,1.0,1,"JMU Convocation Center, Harrisonburg, Virginia",CHARLOTTE,Charlotte,76.2,Home,JAMES-MADISON,James Madison,Charlotte,cusa
2019-11-12-19-charlotte,36.0,9,0.0,0,110.9,71.4,20,0.528,54,0.463,25,0.037,2,0.5,1,2,200,90.6,7.4,2,17,58,,12.5,8,0.407,22,0.318,7,40.0,22,0.528,16.7,11,32,0.563,18,0.0,0,"November 12, 2019",42.3,11,12.5,4,90.6,92.6,25,0.538,52,0.5,26,0.385,20,0.75,15,1,200,110.9,28.6,8,10,71,,12.5,8,0.231,12,0.333,4,60.0,33,0.577,15.3,11,40,0.55,22,0.5,1,"Dale F. Halton Arena, Charlotte, North Carolina",DAVIDSON,Davidson,64.2,Home,CHARLOTTE,Charlotte,Charlotte,cusa
2019-11-17-18-charlotte,54.2,13,22.7,10,90.5,79.4,27,0.453,64,0.375,24,0.188,12,0.583,7,2,225,87.8,26.8,11,14,65,,10.8,8,0.391,25,0.4,10,50.7,38,0.466,17.8,15,39,0.359,14,0.5,2,"November 17, 2019",72.7,16,10.3,4,87.8,73.2,30,0.438,56,0.393,22,0.393,22,0.818,18,1,225,90.5,20.6,7,16,67,,13.5,10,0.214,12,0.417,5,49.3,37,0.504,17.6,14,44,0.386,17,0.667,2,"Dale F. Halton Arena, Charlotte, North Carolina",WAKE-FOREST,Wake Forest,65.4,Home,CHARLOTTE,Charlotte,Charlotte,cusa
2019-11-21-19-appalachian-state,55.6,10,3.8,1,91.4,77.1,27,0.408,49,0.367,18,0.367,18,0.833,15,2,200,78.6,6.5,2,20,55,,8.6,6,0.429,21,0.19,4,43.9,29,0.478,21.9,16,28,0.5,14,0.5,2,"November 21, 2019",52.4,11,7.1,2,78.6,93.5,29,0.444,54,0.389,21,0.463,25,0.64,16,3,200,91.4,22.9,8,14,64,,14.3,10,0.519,28,0.214,6,56.1,37,0.486,14.5,11,26,0.577,15,0.571,4,"Holmes Convocation Center, Boone, North Carolina",CHARLOTTE,Charlotte,70.2,Home,APPALACHIAN-STATE,Appalachian State,Charlotte,cusa
2019-11-27-14-georgia-state,50.0,14,20.5,9,103.8,83.3,25,0.535,57,0.491,28,0.368,21,0.81,17,3,225,100.0,25.9,7,14,78,,9.0,7,0.386,22,0.227,5,56.1,32,0.582,22.3,19,35,0.657,23,0.4,2,"November 27, 2019",43.8,14,14.3,5,100.0,74.1,20,0.586,64,0.5,32,0.156,10,0.6,6,3,225,103.8,16.7,5,16,81,,14.1,11,0.313,20,0.55,11,43.9,25,0.589,16.0,13,44,0.477,21,0.571,4,"GSU Sports Arena, Atlanta, Georgia",CHARLOTTE,Charlotte,69.2,Home,GEORGIA-STATE,Georgia State,Charlotte,cusa
2019-11-30-16-charlotte,63.2,12,3.7,1,125.8,80.0,20,0.384,56,0.339,19,0.161,9,0.444,4,7,200,71.2,16.7,6,10,47,,7.6,5,0.429,24,0.208,5,42.6,26,0.39,18.9,14,32,0.438,14,0.125,1,"November 30, 2019",48.3,14,18.8,6,71.2,83.3,30,0.676,51,0.569,29,0.353,18,0.778,14,3,200,125.8,20.0,5,12,83,,15.2,10,0.471,24,0.458,11,57.4,35,0.697,13.3,9,27,0.667,18,0.5,3,"Dale F. Halton Arena, Charlotte, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,65.9,Home,CHARLOTTE,Charlotte,Charlotte,cusa
2019-12-03-19-charlotte,40.0,12,5.0,2,98.7,64.3,18,0.575,60,0.5,30,0.367,22,0.636,14,2,200,109.2,39.3,11,24,83,,14.5,11,0.4,24,0.375,9,51.8,29,0.589,19.6,17,36,0.583,21,0.667,4,"December 3, 2019",42.9,12,16.7,6,109.2,60.7,17,0.577,52,0.538,28,0.519,27,0.556,15,4,200,98.7,35.7,10,22,75,,10.5,8,0.231,12,0.333,4,48.2,27,0.578,24.7,21,40,0.6,24,0.429,3,"Dale F. Halton Arena, Charlotte, North Carolina",CHARLOTTE,Charlotte,76.1,Away,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,Charlotte,cusa
2019-12-07-14-north-carolina-wilmington,45.2,14,10.0,3,85.1,83.9,26,0.63,54,0.574,31,0.204,11,0.727,8,4,200,113.4,10.0,2,13,76,,16.4,11,0.241,13,0.462,6,54.9,28,0.642,15.8,11,41,0.61,25,0.5,4,"December 7, 2019",80.0,16,14.6,6,113.4,90.0,18,0.462,52,0.385,20,0.25,13,0.692,9,6,200,85.1,16.1,5,10,57,,7.5,5,0.423,22,0.364,8,45.1,23,0.49,18.4,13,30,0.4,12,0.455,5,"Trask Coliseum, Wilmington, North Carolina",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,67.2,Away,CHARLOTTE,Charlotte,Charlotte,cusa
2019-12-16-19-charlotte,70.8,17,14.3,5,101.5,83.3,20,0.528,53,0.453,24,0.075,4,0.25,1,5,200,86.4,26.7,8,20,57,,7.6,5,0.434,23,0.348,8,51.9,28,0.519,25.8,19,30,0.533,16,0.545,6,"December 16, 2019",27.3,6,13.3,4,86.4,73.3,22,0.545,44,0.5,22,0.614,27,0.704,19,4,200,101.5,16.7,4,9,67,,18.2,12,0.205,9,0.444,4,48.1,26,0.59,18.9,13,35,0.514,18,0.556,5,"Dale F. Halton Arena, Charlotte, North Carolina",VALPARAISO,Valparaiso,65.9,Home,CHARLOTTE,Charlotte,Charlotte,cusa
2019-12-19-19-charlotte,57.1,8,10.7,3,95.7,72.4,21,0.34,50,0.28,14,0.3,15,0.667,10,12,200,63.8,21.1,8,21,44,,14.5,10,0.56,28,0.214,6,43.3,29,0.385,27.1,21,22,0.364,8,0.077,1,"December 19, 2019",63.2,12,9.1,2,63.8,78.9,30,0.468,47,0.404,19,0.638,30,0.733,22,4,200,95.7,27.6,8,11,66,,20.3,14,0.404,19,0.316,6,56.7,38,0.539,19.9,15,28,0.464,13,0.6,6,"Dale F. Halton Arena, Charlotte, North Carolina",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,69.2,Home,CHARLOTTE,Charlotte,Charlotte,cusa
