,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-gonzaga,58.3,14,2.6,1,133.8,62.5,15,0.582,49,0.49,24,0.245,12,0.583,7,1,200,90.1,15.4,4,24,64,,4.2,3,0.327,16,0.563,9,38.0,19,0.585,26.9,20,33,0.455,15,0.0,0,"November 5, 2019",70.6,24,9.1,3,90.1,84.6,22,0.661,59,0.576,34,0.458,27,0.63,17,0,200,133.8,37.5,9,17,95,8,15.5,11,0.339,20,0.5,10,62.0,31,0.661,10.1,8,39,0.615,24,1.0,1,"McCarthey Athletic Center, Spokane, Washington",ALABAMA-STATE,Alabama State,70.8,Home,GONZAGA,Gonzaga,Alabama State,swac
2019-11-10-15-missouri-state,29.4,5,9.1,3,86.8,64.5,20,0.368,53,0.321,17,0.283,15,0.733,11,2,200,73.5,16.7,5,19,50,,13.2,9,0.377,20,0.25,5,41.0,25,0.416,21.2,16,33,0.364,12,0.0,0,"November 10, 2019",59.1,13,9.1,3,73.5,83.3,25,0.49,52,0.423,22,0.231,12,0.667,8,1,200,86.8,35.5,11,18,59,,7.4,5,0.365,19,0.368,7,59.0,36,0.511,23.9,18,33,0.455,15,0.5,1,"JQH Arena, Springfield, Missouri",ALABAMA-STATE,Alabama State,67.9,Home,MISSOURI-STATE,Missouri State,Alabama State,swac
2019-11-12-20-houston,41.2,7,0.0,0,116.7,57.7,15,0.418,49,0.347,17,0.469,23,0.652,15,3,200,77.8,3.3,1,16,56,,6.9,5,0.429,21,0.333,7,28.6,16,0.467,16.9,12,28,0.357,10,0.0,0,"November 12, 2019",45.5,15,7.1,2,77.8,96.7,29,0.586,64,0.516,33,0.219,14,0.643,9,0,200,116.7,42.3,11,20,84,,6.9,5,0.344,22,0.409,9,71.4,40,0.594,15.6,13,42,0.571,24,1.0,1,"Hofheinz Pavilion, Houston, Texas",ALABAMA-STATE,Alabama State,71.8,Home,HOUSTON,Houston,Alabama State,swac
2019-11-20-19-tennessee,28.6,4,0.0,0,105.6,66.7,22,0.32,50,0.28,14,0.26,13,0.692,9,4,200,56.9,8.3,3,22,41,,9.7,7,0.4,20,0.2,4,36.2,25,0.365,25.4,19,30,0.333,10,0.0,0,"November 20, 2019",66.7,18,26.7,8,56.9,91.7,33,0.508,59,0.458,27,0.424,25,0.64,16,0,200,105.6,33.3,11,14,76,20,12.5,9,0.356,21,0.286,6,63.8,44,0.536,14.6,12,38,0.553,21,1.0,4,"Thompson-Boling Arena, Knoxville, Tennessee",ALABAMA-STATE,Alabama State,72.0,Home,TENNESSEE,Tennessee,Alabama State,swac
2019-11-25-19-virginia-commonwealth,57.1,12,9.7,3,111.4,79.4,27,0.455,55,0.382,21,0.309,17,0.706,12,5,200,88.6,25.8,8,21,62,,5.7,4,0.4,22,0.364,8,53.8,35,0.491,20.4,16,33,0.394,13,0.0,0,"November 25, 2019",52.0,13,18.2,6,88.6,74.2,23,0.585,53,0.472,25,0.509,27,0.593,16,0,200,111.4,20.6,7,16,78,20,15.7,11,0.415,22,0.545,12,46.2,30,0.592,13.4,10,31,0.419,13,1.0,6,"Stuart Siegel Center, Richmond, Virginia",ALABAMA-STATE,Alabama State,70.0,Home,VIRGINIA-COMMONWEALTH,VCU,Alabama State,swac
2019-11-29-14-chattanooga,30.0,6,12.8,5,101.4,71.9,23,0.423,52,0.385,20,0.365,19,0.632,12,6,200,76.7,17.1,6,18,56,,9.6,7,0.365,19,0.211,4,43.3,29,0.459,22.0,17,33,0.485,16,0.0,0,"November 29, 2019",41.4,12,3.0,1,76.7,82.9,29,0.525,61,0.475,29,0.262,16,0.625,10,3,200,101.4,28.1,9,16,74,,5.5,4,0.361,22,0.273,6,56.7,38,0.539,18.1,15,39,0.59,23,0.571,4,"The Arena, Niceville, Florida",ALABAMA-STATE,Alabama State,73.3,Home,CHATTANOOGA,Chattanooga,Alabama State,swac
2019-11-30-11-alabama-state,35.3,6,16.7,6,83.8,75.8,25,0.394,47,0.362,17,0.447,21,0.81,17,6,200,67.5,16.0,4,23,54,,12.5,10,0.447,21,0.143,3,50.0,29,0.474,33.2,28,26,0.538,14,0.333,3,"November 30, 2019",47.6,10,15.4,4,67.5,84.0,21,0.412,57,0.368,21,0.439,25,0.8,20,6,200,83.8,24.2,8,20,67,,16.3,13,0.368,21,0.238,5,50.0,29,0.486,20.9,18,36,0.444,16,0.143,1,"The Arena, Niceville, Florida",CHICAGO-STATE,Chicago State,79.9,Home,ALABAMA-STATE,Alabama State,Alabama State,swac
2019-12-09-20-south-dakota,42.9,9,5.6,2,109.0,72.0,18,0.4,60,0.35,21,0.267,16,0.688,11,7,200,88.1,31.6,12,23,59,,9.0,6,0.4,24,0.25,6,47.6,30,0.436,15.2,12,36,0.417,15,0.125,1,"December 9, 2019",61.5,16,8.3,3,88.1,68.4,26,0.548,52,0.5,26,0.385,20,0.8,16,3,200,109.0,28.0,7,14,73,,6.0,4,0.308,16,0.313,5,52.4,33,0.593,16.5,12,36,0.583,21,0.727,8,"Sanford Coyote Sports Center, Vermillon, South Dakota",ALABAMA-STATE,Alabama State,67.1,Home,SOUTH-DAKOTA,South Dakota,Alabama State,swac
2019-12-11-20-kansas-state,53.3,8,2.9,1,126.5,81.0,17,0.327,55,0.273,15,0.182,10,0.5,5,8,200,60.3,15.8,6,8,41,,7.4,5,0.382,21,0.286,6,39.0,23,0.343,20.2,15,34,0.265,9,0.111,1,"December 11, 2019",82.9,29,14.7,5,60.3,84.2,32,0.732,56,0.625,35,0.107,6,0.667,4,3,200,126.5,19.0,4,13,86,,13.2,9,0.393,22,0.545,12,61.0,36,0.731,18.1,13,34,0.676,23,0.667,6,"Bramlage Coliseum, Manhattan, Kansas",ALABAMA-STATE,Alabama State,68.3,Home,KANSAS-STATE,Kansas State,Alabama State,swac
2019-12-14-18-boise-state,26.1,6,6.3,2,135.1,71.4,20,0.398,64,0.359,23,0.109,7,0.857,6,9,200,77.0,13.5,5,21,57,,10.8,8,0.438,28,0.179,5,38.5,25,0.423,15.2,12,36,0.5,18,0.1,1,"December 14, 2019",50.0,18,2.8,1,77.0,86.5,32,0.713,61,0.59,36,0.279,17,0.765,13,4,200,135.1,28.6,8,12,100,,6.8,5,0.475,29,0.517,15,61.5,40,0.724,14.9,12,32,0.656,21,0.6,6,"ExtraMile Arena, Boise, Idaho",ALABAMA-STATE,Alabama State,73.7,Home,BOISE-STATE,Boise State,Alabama State,swac
