,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-fairfield,63.6,14,10.6,5,90.1,72.2,26,0.491,55,0.4,22,0.309,17,0.824,14,0,199,95.8,12.9,4,20,68,,5.6,4,0.418,23,0.435,10,44.8,30,0.539,17.2,13,32,0.375,12,1.0,1,"November 5, 2019",37.5,9,9.4,3,95.8,87.1,27,0.424,59,0.407,24,0.339,20,0.7,14,1,199,90.1,27.8,10,16,64,,4.2,3,0.203,12,0.167,2,55.2,37,0.467,15.0,12,47,0.468,22,0.0,0,"Webster Bank Arena, Bridgeport, Connecticut",FAIRFIELD,Fairfield,71.6,Away,BUCKNELL,Bucknell,Bucknell,patriot
2019-11-10-14-bucknell,40.9,9,6.3,2,81.8,87.1,27,0.375,64,0.344,22,0.453,29,0.621,18,0,200,85.7,28.6,12,22,66,,9.1,7,0.391,25,0.16,4,53.4,39,0.424,14.5,13,39,0.462,18,1.0,2,"November 10, 2019",34.8,8,10.3,4,85.7,71.4,30,0.454,54,0.426,23,0.407,22,0.636,14,1,200,81.8,12.9,4,21,63,,2.6,2,0.407,22,0.136,3,46.6,34,0.489,19.1,15,32,0.625,20,0.5,1,"Sojka Pavilion, Lewisburg, Pennsylvania",BUCKNELL,Bucknell,77.1,Away,VERMONT,Vermont,Bucknell,patriot
2019-11-13-19-bucknell,37.5,9,12.8,5,114.7,62.5,20,0.429,63,0.381,24,0.429,27,0.63,17,2,200,94.7,25.0,10,16,71,,12.0,9,0.302,19,0.316,6,41.7,30,0.468,11.8,10,44,0.409,18,0.333,1,"November 13, 2019",61.3,19,15.9,7,94.7,75.0,30,0.575,67,0.463,31,0.164,11,0.818,9,1,200,114.7,37.5,12,22,86,,6.7,5,0.418,28,0.536,15,58.3,42,0.595,16.3,14,39,0.41,16,0.667,2,"Sojka Pavilion, Lewisburg, Pennsylvania",HOFSTRA,Hofstra,75.0,Home,BUCKNELL,Bucknell,Bucknell,patriot
2019-11-16-19-canisius,51.9,14,4.7,2,116.9,75.0,21,0.627,55,0.491,27,0.273,15,0.8,12,2,200,114.1,60.0,15,18,81,,9.9,7,0.545,30,0.5,15,67.9,36,0.652,27.2,23,25,0.48,12,0.5,2,"November 16, 2019",44.1,15,4.0,1,114.1,40.0,10,0.649,57,0.596,34,0.368,21,0.429,9,2,200,116.9,25.0,7,13,83,,14.1,10,0.246,14,0.429,6,32.1,17,0.62,15.3,12,43,0.651,28,0.333,1,"Koessler Athletic Center, Buffalo, New York",BUCKNELL,Bucknell,71.1,Home,CANISIUS,Canisius,Bucknell,patriot
2019-11-19-18-penn-state,43.3,13,2.0,1,130.7,62.1,18,0.479,70,0.429,30,0.071,5,0.6,3,3,200,93.3,28.6,10,19,70,,6.7,5,0.386,27,0.259,7,43.8,28,0.484,16.2,14,43,0.535,23,0.4,2,"November 19, 2019",38.5,15,14.0,6,93.3,71.4,25,0.638,65,0.6,39,0.354,23,0.652,15,0,200,130.7,37.9,11,9,98,,10.7,8,0.246,16,0.313,5,56.3,36,0.645,10.7,9,49,0.694,34,1.0,4,"Bryce Jordan Center, University Park, Pennsylvania",BUCKNELL,Bucknell,75.2,Home,PENN-STATE,Penn State,Bucknell,patriot
2019-11-23-12-syracuse,66.7,10,5.4,2,126.0,62.1,18,0.289,57,0.263,15,0.298,17,0.765,13,4,200,59.7,21.6,8,13,46,,7.8,6,0.421,24,0.125,3,39.4,26,0.353,26.3,23,33,0.364,12,0.333,2,"November 23, 2019",67.6,25,39.4,13,59.7,78.4,29,0.667,66,0.561,37,0.167,11,0.818,9,1,200,126.0,37.9,11,12,97,,18.2,14,0.439,29,0.483,14,60.6,40,0.681,16.5,14,37,0.622,23,0.8,4,"Carrier Dome, Syracuse, New York",BUCKNELL,Bucknell,77.2,Home,SYRACUSE,Syracuse,Bucknell,patriot
2019-11-25-14-bucknell,29.2,7,2.6,1,111.6,67.6,23,0.435,62,0.387,24,0.323,20,0.8,16,5,200,101.4,24.3,9,21,70,,5.8,4,0.274,17,0.353,6,45.1,32,0.49,10.2,8,45,0.4,18,0.286,2,"November 25, 2019",34.6,9,2.2,1,101.4,75.7,28,0.483,58,0.448,26,0.534,31,0.677,21,4,200,111.6,32.4,11,16,77,,5.8,4,0.328,19,0.211,4,54.9,39,0.529,7.7,6,39,0.564,22,0.429,3,"HP Field House, Orlando, Florida",SEATTLE,Seattle,69.1,Home,BUCKNELL,Bucknell,Bucknell,patriot
2019-11-26-14-bucknell,41.9,13,16.0,4,87.1,86.1,31,0.623,53,0.585,31,0.321,17,0.882,15,3,200,115.7,23.8,5,8,81,,14.3,10,0.302,16,0.25,4,63.2,36,0.663,17.7,13,37,0.73,27,0.625,5,"November 26, 2019",57.1,12,2.7,1,115.7,76.2,16,0.466,59,0.356,21,0.169,10,0.6,6,5,200,87.1,13.9,5,16,61,,7.1,5,0.576,34,0.382,13,36.8,21,0.478,17.0,13,25,0.32,8,0.375,3,"HP Field House, Orlando, Florida",BUCKNELL,Bucknell,70.4,Away,YALE,Yale,Bucknell,patriot
2019-11-30-14-bucknell,53.3,16,0.0,0,108.5,87.5,28,0.619,59,0.508,30,0.305,18,0.778,14,5,200,122.5,25.0,6,21,87,,4.2,3,0.424,25,0.52,13,60.7,34,0.644,11.9,9,34,0.5,17,0.167,1,"November 30, 2019",37.0,10,11.8,4,122.5,75.0,18,0.526,58,0.466,27,0.362,21,0.762,16,6,200,108.5,12.5,4,20,77,,7.0,5,0.328,19,0.368,7,39.3,22,0.566,9.4,7,39,0.513,20,0.333,3,"Sojka Pavilion, Lewisburg, Pennsylvania",BUCKNELL,Bucknell,70.8,Away,PRINCETON,Princeton,Bucknell,patriot
2019-12-03-19-rider,54.5,12,4.8,2,120.3,76.0,19,0.464,55,0.4,22,0.455,25,0.72,18,7,200,93.2,30.3,10,19,69,,9.5,7,0.364,20,0.35,7,50.0,29,0.516,17.5,14,35,0.429,15,0.3,3,"December 3, 2019",58.1,18,11.4,4,93.2,69.7,23,0.585,59,0.525,31,0.441,26,0.769,20,2,200,120.3,24.0,6,17,89,,5.4,4,0.288,17,0.412,7,50.0,29,0.624,14.6,12,42,0.571,24,0.714,5,"Alumni Gymnasium, Lawrenceville, New Jersey",BUCKNELL,Bucknell,74.1,Home,RIDER,Rider,Bucknell,patriot
