,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-21-wisconsin,41.7,10,6.1,2,90.0,78.6,22,0.459,61,0.393,24,0.213,13,0.692,9,0,225,92.9,35.5,11,20,65,20,8.6,6,0.295,18,0.444,8,55.9,33,0.484,17.3,14,43,0.372,16,1.0,1,"November 5, 2019",36.4,8,9.3,4,92.9,64.5,20,0.471,52,0.423,22,0.385,20,0.7,14,1,225,90.0,21.4,6,14,63,,1.4,1,0.365,19,0.263,5,44.1,26,0.512,18.7,14,33,0.515,17,0.0,0,"Sanford Pentagon, Sioux Falls, South Dakota",WISCONSIN,Wisconsin,62.1,Away,SAINT-MARYS-CA,Saint Mary's,Wisconsin,big-ten
2019-11-08-20-wisconsin,42.9,9,10.8,4,97.0,65.7,23,0.389,63,0.333,21,0.127,8,0.375,3,2,198,77.6,25.6,10,22,52,,9.0,6,0.302,19,0.368,7,44.6,33,0.389,14.2,11,44,0.318,14,0.0,0,"November 8, 2019",33.3,7,27.3,12,77.6,74.4,29,0.409,55,0.382,21,0.436,24,0.833,20,1,198,97.0,34.3,12,13,65,,9.0,6,0.327,18,0.167,3,55.4,41,0.489,14.4,11,37,0.486,18,0.5,1,"Kohl Center, Madison, Wisconsin",EASTERN-ILLINOIS,Eastern Illinois,67.3,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten
2019-11-13-19-wisconsin,61.9,13,7.4,2,123.9,73.9,17,0.556,45,0.467,21,0.378,17,0.765,13,3,200,94.0,18.2,4,21,63,,6.0,4,0.467,21,0.381,8,46.7,21,0.593,25.5,18,24,0.542,13,0.25,1,"November 13, 2019",65.5,19,12.5,3,94.0,81.8,18,0.618,55,0.527,29,0.327,18,0.833,15,1,200,123.9,26.1,6,15,83,,14.9,10,0.509,28,0.357,10,53.3,24,0.653,12.5,9,27,0.704,19,0.667,2,"Kohl Center, Madison, Wisconsin",MCNEESE-STATE,McNeese State,66.8,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten
2019-11-17-13-wisconsin,47.4,9,9.1,3,111.6,71.0,22,0.461,51,0.373,19,0.333,17,0.824,14,1,200,88.4,17.2,5,16,61,,2.9,2,0.373,19,0.474,9,45.0,27,0.516,20.4,15,32,0.313,10,0.667,2,"November 17, 2019",45.8,11,9.4,3,88.4,82.8,24,0.527,56,0.429,24,0.357,20,0.9,18,1,200,111.6,29.0,9,19,77,,8.7,6,0.411,23,0.478,11,55.0,33,0.588,15.6,12,33,0.394,13,0.75,3,"Kohl Center, Madison, Wisconsin",MARQUETTE,Marquette,68.8,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten
2019-11-21-21-wisconsin,55.2,16,9.7,3,122.2,71.4,20,0.508,61,0.475,29,0.18,11,0.727,8,3,200,97.2,9.1,3,16,70,,11.1,8,0.328,20,0.2,4,37.7,23,0.529,12.0,9,41,0.61,25,0.25,1,"November 21, 2019",75.0,24,2.4,1,97.2,90.9,30,0.637,62,0.516,32,0.161,10,0.9,9,1,200,122.2,28.6,8,15,88,,4.2,3,0.5,31,0.484,15,62.3,38,0.659,16.4,13,31,0.548,17,0.8,4,"Kohl Center, Madison, Wisconsin",GREEN-BAY,Green Bay,72.0,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten
2019-11-25-19-richmond,41.2,7,5.1,2,96.9,87.5,28,0.41,50,0.34,17,0.28,14,0.786,11,2,200,81.3,18.2,6,14,52,,9.4,6,0.54,27,0.259,7,52.3,34,0.459,18.8,13,23,0.435,10,0.667,4,"November 25, 2019",46.2,12,13.0,3,81.3,81.8,27,0.518,56,0.464,26,0.107,6,0.667,4,0,200,96.9,12.5,4,16,62,,10.9,7,0.304,17,0.353,6,47.7,31,0.527,14.6,10,39,0.513,20,1.0,5,"Barclays Center, Brooklyn, New York",WISCONSIN,Wisconsin,64.3,Home,RICHMOND,Richmond,Wisconsin,big-ten
2019-11-26-17-new-mexico,33.3,6,2.7,1,95.2,75.9,22,0.358,53,0.34,18,0.302,16,0.75,12,3,200,80.6,31.4,11,16,50,,8.1,5,0.491,26,0.077,2,51.6,33,0.413,16.7,12,27,0.593,16,0.571,4,"November 26, 2019",59.1,13,3.7,1,80.6,68.6,24,0.47,50,0.44,22,0.3,15,0.8,12,2,200,95.2,24.1,7,17,59,,4.8,3,0.26,13,0.231,3,48.4,31,0.516,18.7,13,37,0.514,19,0.75,6,"Barclays Center, Brooklyn, New York",WISCONSIN,Wisconsin,62.4,Home,NEW-MEXICO,New Mexico,Wisconsin,big-ten
2019-12-04-21-north-carolina-state,33.3,7,11.1,4,113.1,87.5,21,0.42,56,0.375,21,0.268,15,0.467,7,4,200,88.5,39.4,13,11,54,,4.9,3,0.411,23,0.217,5,59.6,34,0.428,12.6,9,33,0.485,16,0.5,4,"December 4, 2019",22.2,6,18.2,6,88.5,60.6,20,0.554,56,0.482,27,0.179,10,0.7,7,2,200,113.1,12.5,3,10,69,,11.5,7,0.357,20,0.4,8,40.4,23,0.568,7.6,5,36,0.528,19,0.75,6,"PNC Arena, Raleigh, North Carolina",WISCONSIN,Wisconsin,60.9,Home,NORTH-CAROLINA-STATE,NC State,Wisconsin,big-ten
2019-12-07-16-wisconsin,57.1,12,8.3,3,133.3,75.0,18,0.47,50,0.42,21,0.52,26,0.654,17,1,200,101.6,33.3,10,19,64,,4.8,3,0.28,14,0.357,5,51.9,28,0.513,16.3,12,36,0.444,16,0.889,8,"December 7, 2019",43.3,13,16.7,6,101.6,66.7,20,0.607,56,0.536,30,0.321,18,0.889,16,4,200,133.3,25.0,6,18,84,,7.9,5,0.357,20,0.4,8,48.1,26,0.651,5.9,4,36,0.611,22,0.556,5,"Kohl Center, Madison, Wisconsin",INDIANA,Indiana,63.5,Home,WISCONSIN,Wisconsin,Wisconsin,big-ten
2019-12-11-19-rutgers,39.1,9,9.1,4,105.9,63.3,19,0.563,48,0.479,23,0.333,16,0.688,11,5,200,95.6,11.5,3,17,65,,7.4,5,0.479,23,0.348,8,39.3,22,0.585,20.3,14,25,0.6,15,0.5,5,"December 11, 2019",34.5,10,12.0,3,95.6,88.5,23,0.5,63,0.46,29,0.206,13,0.692,9,3,200,105.9,36.7,11,19,72,,11.8,8,0.302,19,0.263,5,60.7,34,0.52,13.8,11,44,0.545,24,0.7,7,"Rutgers Athletic Center, New Brunswick, New Jersey",WISCONSIN,Wisconsin,67.9,Home,RUTGERS,Rutgers,Wisconsin,big-ten
