,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-rhode-island,68.2,15,2.3,1,101.3,65.1,28,0.419,68,0.324,22,0.176,12,0.667,8,1,200,86.7,17.8,8,16,65,,8.0,6,0.647,44,0.295,13,40.9,36,0.441,14.1,12,24,0.375,9,0.0,0,"November 5, 2019",66.7,18,8.3,2,86.7,82.2,37,0.45,70,0.386,27,0.243,17,0.765,13,0,200,101.3,34.9,15,14,76,,6.7,5,0.371,26,0.346,9,59.1,52,0.487,11.4,10,44,0.409,18,1.0,1,"Ryan Center, Kingston, Rhode Island",LONG-ISLAND-UNIVERSITY,LIU,75.4,Home,RHODE-ISLAND,Rhode Island,Rhode Island,atlantic-10
2019-11-09-21-maryland,55.0,11,2.7,1,97.3,68.8,22,0.351,67,0.299,20,0.239,16,0.5,8,1,200,73.3,35.4,17,21,55,,8.0,6,0.343,23,0.304,7,48.8,39,0.369,19.6,18,44,0.295,13,0.5,1,"November 9, 2019",56.0,14,11.4,5,73.3,64.6,31,0.5,56,0.446,25,0.429,24,0.708,17,0,200,97.3,31.3,10,21,73,7,9.3,7,0.339,19,0.316,6,51.3,41,0.542,19.4,16,37,0.514,19,1.0,2,"Xfinity Center, College Park, Maryland",RHODE-ISLAND,Rhode Island,74.5,Home,MARYLAND,Maryland,Rhode Island,atlantic-10
2019-11-15-19-rhode-island,51.6,16,10.6,5,109.4,87.5,28,0.508,66,0.47,31,0.242,16,0.75,12,2,200,92.9,25.0,8,22,79,,4.7,4,0.333,22,0.227,5,56.3,36,0.537,23.1,22,44,0.591,26,0.333,1,"November 15, 2019",45.5,15,13.6,6,92.9,75.0,24,0.571,63,0.524,33,0.413,26,0.808,21,1,200,109.4,12.5,4,18,93,,15.3,13,0.254,16,0.375,6,43.8,28,0.617,13.9,12,47,0.574,27,0.667,2,"Ryan Center, Kingston, Rhode Island",ALABAMA,Alabama,85.5,Home,RHODE-ISLAND,Rhode Island,Rhode Island,atlantic-10
2019-11-19-19-rhode-island,28.6,8,0.0,0,93.3,72.7,24,0.448,67,0.418,28,0.104,7,0.714,5,3,200,86.7,28.1,9,20,65,,12.0,9,0.284,19,0.211,4,50.8,33,0.462,17.6,15,48,0.5,24,0.4,2,"November 19, 2019",58.3,14,6.3,3,86.7,71.9,23,0.447,57,0.421,24,0.404,23,0.826,19,1,200,93.3,27.3,9,13,70,,12.0,9,0.281,16,0.188,3,49.2,32,0.515,18.3,15,41,0.512,21,0.75,3,"Ryan Center, Kingston, Rhode Island",NICHOLLS-STATE,Nicholls State,75.1,Home,RHODE-ISLAND,Rhode Island,Rhode Island,atlantic-10
2019-11-22-16-north-texas,34.8,8,8.3,2,75.8,80.0,24,0.448,58,0.397,23,0.241,14,0.571,8,1,200,96.8,33.3,12,12,60,,12.9,8,0.362,21,0.286,6,54.5,36,0.464,12.3,9,37,0.459,17,0.8,4,"November 22, 2019",47.1,8,2.7,1,96.8,66.7,24,0.394,52,0.327,17,0.135,7,0.857,6,4,200,75.8,20.0,6,14,47,,11.3,7,0.538,28,0.25,7,45.5,30,0.425,20.3,14,24,0.417,10,0.333,2,"Montego Bay Convention Centre, Montego Bay",NORTH-TEXAS,North Texas,62.5,Away,RHODE-ISLAND,Rhode Island,Rhode Island,atlantic-10
2019-11-24-14-rhode-island,50.0,19,2.0,1,106.4,79.4,27,0.6,70,0.543,38,0.214,15,0.8,12,2,200,123.1,34.5,10,11,96,,7.7,6,0.286,20,0.4,8,58.7,37,0.622,11.5,10,50,0.6,30,0.667,4,"November 24, 2019",38.2,13,6.0,3,123.1,65.5,19,0.529,69,0.493,34,0.232,16,0.625,10,2,200,106.4,20.6,7,17,83,,9.0,7,0.275,19,0.263,5,41.3,26,0.542,11.6,10,50,0.58,29,0.667,4,"Montego Bay Convention Centre, Montego Bay",RHODE-ISLAND,Rhode Island,78.4,Away,LOUISIANA-STATE,LSU,Rhode Island,atlantic-10
2019-11-27-16-rhode-island,68.0,17,12.2,5,101.4,46.7,14,0.468,63,0.397,25,0.159,10,0.5,5,2,200,88.9,32.4,12,28,64,,8.3,6,0.476,30,0.3,9,38.8,26,0.472,19.2,16,33,0.485,16,0.6,3,"November 27, 2019",31.8,7,9.1,3,88.9,67.6,25,0.45,50,0.44,22,0.78,39,0.718,28,2,200,101.4,53.3,16,15,73,,12.5,9,0.18,9,0.111,1,61.2,41,0.533,22.1,19,41,0.512,21,0.714,5,"Ryan Center, Kingston, Rhode Island",MANHATTAN,Manhattan,71.6,Home,RHODE-ISLAND,Rhode Island,Rhode Island,atlantic-10
2019-12-01-14-west-virginia,31.3,10,5.8,3,108.9,63.2,24,0.538,66,0.485,32,0.227,15,0.667,10,3,200,102.5,23.3,7,21,81,,12.7,10,0.152,10,0.7,7,45.6,31,0.554,15.2,13,56,0.446,25,0.625,5,"December 1, 2019",48.3,14,8.9,5,102.5,76.7,23,0.477,65,0.446,29,0.477,31,0.774,24,0,200,108.9,36.8,14,14,86,,6.3,5,0.2,13,0.308,4,54.4,37,0.539,14.2,13,52,0.481,25,1.0,7,"WVU Coliseum, Morgantown, West Virginia",RHODE-ISLAND,Rhode Island,78.9,Home,WEST-VIRGINIA,West Virginia,Rhode Island,atlantic-10
2019-12-06-19-rhode-island,56.0,14,9.3,4,93.8,71.4,30,0.423,65,0.385,25,0.185,12,0.5,6,5,200,76.3,31.0,13,21,61,,11.3,9,0.262,17,0.294,5,51.2,43,0.431,23.8,22,48,0.417,20,0.5,5,"December 6, 2019",57.7,15,12.5,6,76.3,69.0,29,0.468,63,0.413,26,0.429,27,0.593,16,3,200,93.8,28.6,12,16,75,,13.8,11,0.317,20,0.35,7,48.8,41,0.495,17.6,16,43,0.442,19,0.667,6,"Ryan Center, Kingston, Rhode Island",PROVIDENCE,Providence,79.8,Home,RHODE-ISLAND,Rhode Island,Rhode Island,atlantic-10
2019-12-21-14-rhode-island,39.3,11,10.2,6,103.6,60.4,32,0.492,66,0.424,28,0.303,20,0.85,17,4,225,98.8,25.0,10,14,82,,6.0,5,0.379,25,0.36,9,45.2,42,0.543,17.6,16,41,0.463,19,0.636,7,"December 21, 2019",65.6,21,12.2,5,98.8,75.0,30,0.413,86,0.372,32,0.221,19,0.789,15,3,225,103.6,39.6,21,19,86,,12.0,10,0.314,27,0.259,7,54.8,51,0.453,9.6,10,59,0.424,25,0.7,7,"Ryan Center, Kingston, Rhode Island",WESTERN-KENTUCKY,Western Kentucky,73.6,Home,RHODE-ISLAND,Rhode Island,Rhode Island,atlantic-10
