,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-08-19-st-bonaventure,88.2,15,8.8,3,83.1,70.0,28,0.385,48,0.354,17,0.708,34,0.706,24,0,200,85.9,18.4,7,20,61,,8.5,6,0.417,20,0.15,3,44.9,35,0.475,18.2,14,28,0.5,14,1.0,1,"November 8, 2019",57.9,11,7.1,2,85.9,81.6,31,0.344,61,0.311,19,0.361,22,0.773,17,2,200,83.1,30.0,12,25,59,,12.7,9,0.443,27,0.148,4,55.1,43,0.413,13.5,11,34,0.441,15,0.0,0,"Reilly Center, St. Bonaventure, New York",ST-BONAVENTURE,St. Bonaventure,70.8,Away,VERMONT,Vermont,Vermont,america-east
2019-11-10-14-bucknell,40.9,9,6.3,2,81.8,87.1,27,0.375,64,0.344,22,0.453,29,0.621,18,0,200,85.7,28.6,12,22,66,,9.1,7,0.391,25,0.16,4,53.4,39,0.424,14.5,13,39,0.462,18,1.0,2,"November 10, 2019",34.8,8,10.3,4,85.7,71.4,30,0.454,54,0.426,23,0.407,22,0.636,14,1,200,81.8,12.9,4,21,63,,2.6,2,0.407,22,0.136,3,46.6,34,0.489,19.1,15,32,0.625,20,0.5,1,"Sojka Pavilion, Lewisburg, Pennsylvania",BUCKNELL,Bucknell,77.1,Away,VERMONT,Vermont,Vermont,america-east
2019-11-13-19-vermont,41.2,7,3.0,1,89.9,80.6,25,0.333,57,0.298,17,0.263,15,0.6,9,2,200,68.1,21.6,8,19,47,,14.5,10,0.281,16,0.25,4,48.5,33,0.366,17.0,13,41,0.317,13,0.333,1,"November 13, 2019",47.8,11,12.2,5,68.1,78.4,29,0.481,53,0.434,23,0.34,18,0.611,11,0,200,89.9,19.4,6,16,62,,10.1,7,0.377,20,0.25,5,51.5,35,0.504,18.7,14,33,0.545,18,1.0,3,"Roy L. Patrick Gymnasium, Burlington, Vermont",BOSTON-UNIVERSITY,Boston University,69.3,Home,VERMONT,Vermont,Vermont,america-east
2019-11-16-16-st-johns-ny,51.9,14,7.7,3,93.2,59.5,25,0.463,67,0.403,27,0.179,12,0.667,8,0,200,95.9,26.8,11,25,70,,11.0,8,0.463,31,0.258,8,43.4,36,0.481,13.2,11,36,0.528,19,1.0,4,"November 16, 2019",30.0,6,16.7,6,95.9,73.2,30,0.388,58,0.345,20,0.603,35,0.657,23,1,200,93.2,40.5,17,16,68,,9.6,7,0.328,19,0.263,5,56.6,47,0.456,17.9,16,39,0.385,15,0.75,3,"Carnesecca Arena, Jamaica, New York",ST-JOHNS-NY,St. John's (NY),73.2,Away,VERMONT,Vermont,Vermont,america-east
2019-11-19-19-virginia,60.0,12,3.8,1,103.4,81.5,22,0.5,52,0.385,20,0.058,3,1.0,3,1,200,93.2,21.9,7,16,55,,8.5,5,0.654,34,0.353,12,49.2,29,0.515,19.6,13,18,0.444,8,0.8,4,"November 19, 2019",47.8,11,16.7,3,93.2,78.1,25,0.551,49,0.469,23,0.224,11,0.636,7,0,200,103.4,18.5,5,12,61,7,6.8,4,0.469,23,0.348,8,50.8,30,0.562,14.3,9,26,0.577,15,1.0,4,"John Paul Jones Arena, Charlottesville, Virginia",VERMONT,Vermont,58.8,Home,VIRGINIA,Virginia,Vermont,america-east
2019-11-23-19-central-connecticut-state,38.7,12,16.1,5,72.1,82.4,28,0.623,57,0.544,31,0.246,14,0.714,10,1,200,119.1,16.0,4,12,81,,11.8,8,0.421,24,0.375,9,54.2,32,0.636,12.5,9,33,0.667,22,0.833,5,"November 23, 2019",53.8,7,3.0,1,119.1,84.0,21,0.317,52,0.25,13,0.346,18,0.889,16,6,200,72.1,17.6,6,15,49,,8.8,6,0.404,21,0.333,7,45.8,27,0.405,17.8,13,31,0.194,6,0.0,0,"Mohegan Sun Arena, Uncasville, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,68.1,Away,VERMONT,Vermont,Vermont,america-east
2019-11-24-20-vermont,40.0,10,15.2,5,95.7,81.0,34,0.547,53,0.472,25,0.528,28,0.5,14,2,200,102.9,23.3,7,16,72,,10.0,7,0.358,19,0.421,8,56.9,41,0.543,10.9,8,34,0.5,17,0.667,4,"November 24, 2019",37.5,9,8.8,3,102.9,76.7,23,0.425,67,0.358,24,0.209,14,0.714,10,2,200,95.7,19.0,8,22,67,,4.3,3,0.507,34,0.265,9,43.1,31,0.455,8.7,7,33,0.455,15,0.714,5,"Mohegan Sun Arena, Uncasville, Connecticut",VERMONT,Vermont,70.0,Away,RIDER,Rider,Vermont,america-east
2019-11-27-19-vermont,76.5,13,4.5,2,136.8,48.3,14,0.356,59,0.288,17,0.034,2,1.0,2,0,200,64.7,20.0,7,13,44,,4.4,3,0.61,36,0.222,8,32.8,21,0.367,21.1,16,23,0.391,9,0.0,0,"November 27, 2019",69.2,27,17.4,4,64.7,80.0,28,0.597,72,0.542,39,0.139,10,0.7,7,2,200,136.8,51.7,15,4,93,,13.2,9,0.389,28,0.286,8,67.2,43,0.606,6.1,5,44,0.705,31,0.75,6,"Roy L. Patrick Gymnasium, Burlington, Vermont","Gallaudet
			","Gallaudet
			",67.9,Home,VERMONT,Vermont,Vermont,america-east
2019-12-01-15-yale,47.6,10,12.1,4,97.0,79.3,23,0.398,59,0.356,21,0.119,7,0.714,5,3,200,77.6,20.5,8,17,52,,13.4,9,0.475,28,0.179,5,45.6,31,0.417,16.2,12,31,0.516,16,0.667,6,"December 1, 2019",68.2,15,3.2,1,77.6,79.5,31,0.481,52,0.423,22,0.327,17,0.882,15,3,200,97.0,20.7,6,13,65,,11.9,8,0.365,19,0.316,6,54.4,37,0.541,17.9,13,33,0.485,16,0.667,6,"John J. Lee Ampitheater, New Haven, Connecticut",VERMONT,Vermont,66.7,Home,YALE,Yale,Vermont,america-east
2019-12-03-19-cincinnati,62.5,15,14.7,5,120.6,66.7,18,0.516,61,0.393,24,0.213,13,0.769,10,4,200,107.4,28.6,10,22,73,,7.4,5,0.459,28,0.536,15,45.2,28,0.543,15.2,12,33,0.273,9,0.6,6,"December 3, 2019",66.7,16,18.2,6,107.4,71.4,25,0.566,53,0.453,24,0.491,26,0.846,22,2,200,120.6,33.3,9,17,82,,8.8,6,0.358,19,0.632,12,54.8,34,0.627,14.6,11,34,0.353,12,0.75,6,"Fifth Third Arena, Cincinnati, Ohio",VERMONT,Vermont,68.3,Home,CINCINNATI,Cincinnati,Vermont,america-east
