,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-09-12-citadel,42.4,14,0.0,0,102.7,80.0,24,0.664,58,0.569,33,0.345,20,0.7,14,1,200,123.0,41.4,12,21,91,,8.1,6,0.397,23,0.478,11,61.0,36,0.674,19.3,16,35,0.629,22,0.5,1,"November 9, 2019",59.3,16,8.6,3,123.0,58.6,17,0.618,51,0.529,27,0.451,23,0.565,13,1,200,102.7,20.0,6,21,76,,8.1,6,0.294,15,0.6,9,39.0,23,0.614,24.7,20,36,0.5,18,0.0,0,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,73.7,Away,NORTH-CAROLINA-ASHEVILLE,UNC Asheville,The Citadel,southern
2019-11-12-19-georgia,66.7,20,2.3,1,109.2,81.0,34,0.607,61,0.492,30,0.295,18,0.667,12,2,200,98.9,16.1,5,23,86,,3.4,3,0.541,33,0.424,14,53.4,39,0.618,24.2,22,28,0.571,16,0.0,0,"November 12, 2019",54.5,18,10.7,3,98.9,83.9,26,0.507,72,0.458,33,0.431,31,0.71,22,0,200,109.2,19.0,8,17,95,,14.9,13,0.403,29,0.241,7,46.6,34,0.548,8.5,8,43,0.605,26,1.0,2,"Stegeman Coliseum, Athens, Georgia",CITADEL,Citadel,86.6,Home,GEORGIA,Georgia,The Citadel,southern
2019-11-16-13-citadel,52.9,18,5.1,2,97.3,73.5,25,0.629,62,0.548,34,0.21,13,0.692,9,1,200,116.0,23.1,6,18,87,,14.7,11,0.419,26,0.385,10,51.7,31,0.638,16.1,13,36,0.667,24,0.75,3,"November 16, 2019",38.5,10,2.8,1,116.0,76.9,20,0.474,57,0.456,26,0.509,29,0.655,19,3,200,97.3,26.5,9,12,73,,10.7,8,0.316,18,0.111,2,48.3,29,0.516,15.7,13,39,0.615,24,0.0,0,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,75.0,Away,CAMPBELL,Campbell,The Citadel,southern
2019-11-19-19-southeast-missouri-state,84.6,22,0.0,0,87.3,76.9,30,0.534,59,0.441,26,0.254,15,0.733,11,3,200,93.7,19.4,6,18,74,,6.3,5,0.424,25,0.44,11,51.4,36,0.56,21.5,18,34,0.441,15,0.25,1,"November 19, 2019",33.3,9,8.8,3,93.7,80.6,25,0.468,62,0.435,27,0.29,18,0.611,11,2,200,87.3,23.1,9,19,69,,10.1,8,0.339,21,0.19,4,48.6,34,0.489,21.4,19,41,0.561,23,0.333,1,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,79.3,Away,CITADEL,Citadel,The Citadel,southern
2019-11-20-21-illinois,47.6,10,4.0,2,118.1,36.4,12,0.351,74,0.284,21,0.095,7,0.714,5,4,200,79.2,31.9,15,19,57,,11.1,8,0.514,38,0.263,10,33.8,27,0.369,12.5,11,36,0.306,11,0.2,1,"November 20, 2019",51.5,17,11.1,4,79.2,68.1,32,0.507,68,0.485,33,0.309,21,0.762,16,1,200,118.1,63.6,21,13,85,,5.6,4,0.265,18,0.167,3,66.3,53,0.545,14.4,13,50,0.6,30,0.8,4,"State Farm Center, Champaign, Illinois",CITADEL,Citadel,71.7,Home,ILLINOIS,Illinois,The Citadel,southern
2019-11-23-19-marist,69.2,18,3.3,1,102.7,83.3,30,0.559,59,0.441,26,0.237,14,0.929,13,4,200,108.2,18.5,5,14,79,,5.5,4,0.508,30,0.467,14,55.6,35,0.602,16.6,13,29,0.414,12,0.333,2,"November 23, 2019",44.8,13,10.3,3,108.2,81.5,22,0.523,64,0.453,29,0.203,13,0.615,8,3,200,102.7,16.7,6,14,75,,6.8,5,0.531,34,0.265,9,44.4,28,0.534,11.4,9,30,0.667,20,0.25,1,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,73.4,Away,CITADEL,Citadel,The Citadel,southern
2019-11-26-19-citadel,76.5,13,4.3,2,104.7,57.9,22,0.297,69,0.246,17,0.116,8,0.75,6,0,200,54.7,19.6,9,15,47,,16.3,14,0.449,31,0.226,7,36.9,31,0.323,24.1,23,38,0.263,10,0.0,0,"November 26, 2019",55.6,20,21.1,8,54.7,80.4,37,0.541,73,0.493,36,0.274,20,0.55,11,4,200,104.7,42.1,16,9,90,,18.6,16,0.37,27,0.259,7,63.1,53,0.545,18.8,19,46,0.63,29,0.429,3,"McAlister Field House, Charleston, South Carolina","Brevard
			","Brevard
			",86.2,Home,CITADEL,Citadel,The Citadel,southern
2019-12-04-19-citadel,36.1,13,12.5,5,110.5,85.3,29,0.623,65,0.554,36,0.323,21,0.714,15,1,200,126.3,51.6,16,20,96,,7.9,6,0.354,23,0.391,9,69.2,45,0.64,17.7,16,42,0.643,27,0.889,8,"December 4, 2019",45.2,14,2.4,1,126.3,48.4,15,0.556,63,0.492,31,0.333,21,0.667,14,5,200,110.5,14.7,5,17,84,,10.5,8,0.365,23,0.348,8,30.8,20,0.576,11.1,9,40,0.575,23,0.375,3,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,76.0,Away,EAST-TENNESSEE-STATE,ETSU,The Citadel,southern
2019-12-07-13-citadel,73.3,11,2.5,1,133.3,38.7,12,0.258,66,0.227,15,0.167,11,0.545,6,0,200,49.4,19.1,9,15,40,,6.2,5,0.379,25,0.16,4,26.9,21,0.281,22.0,20,41,0.268,11,0.0,0,"December 7, 2019",60.0,24,9.8,4,49.4,80.9,38,0.612,76,0.526,40,0.224,17,0.882,15,5,200,133.3,61.3,19,15,108,,12.3,10,0.474,36,0.361,13,73.1,57,0.642,14.4,14,40,0.675,27,0.444,4,"McAlister Field House, Charleston, South Carolina","Carver College
			","Carver College
			",80.7,Home,CITADEL,Citadel,The Citadel,southern
2019-12-10-19-citadel,84.6,22,6.1,3,133.0,72.2,26,0.486,70,0.371,26,0.314,22,0.682,15,0,200,85.6,20.9,9,24,83,,8.2,8,0.514,36,0.444,16,44.3,35,0.516,23.1,24,34,0.294,10,0.0,0,"December 10, 2019",50.0,23,11.8,4,85.6,79.1,34,0.663,80,0.575,46,0.375,30,0.767,23,5,200,133.0,27.8,10,18,129,,15.5,15,0.388,31,0.452,14,55.7,44,0.684,13.1,14,49,0.653,32,0.5,5,"McAlister Field House, Charleston, South Carolina","Piedmont
			","Piedmont
			",96.9,Home,CITADEL,Citadel,The Citadel,southern
