,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-high-point,62.5,15,7.8,4,75.7,76.7,33,0.5,56,0.429,24,0.357,20,0.7,14,0,200,94.6,19.4,6,14,70,,5.4,4,0.429,24,0.333,8,52.7,39,0.534,18.8,15,32,0.5,16,1.0,1,"November 5, 2019",30.0,6,15.6,5,94.6,80.6,25,0.333,63,0.317,20,0.333,21,0.667,14,1,200,75.7,23.3,10,16,56,,6.8,5,0.19,12,0.167,2,47.3,35,0.384,13.2,11,51,0.353,18,0.0,0,"Millis Center, High Point, North Carolina",HIGH-POINT,High Point,74.2,Away,WILLIAM-MARY,William & Mary,William & Mary,colonial
2019-11-08-19-american,53.6,15,12.2,5,93.3,79.5,31,0.517,58,0.483,28,0.414,24,0.792,19,0,200,105.3,23.3,7,10,79,,9.3,7,0.224,13,0.308,4,55.1,38,0.569,13.8,11,45,0.533,24,1.0,2,"November 8, 2019",40.0,10,11.1,5,105.3,76.7,23,0.447,66,0.379,25,0.197,13,0.846,11,2,200,93.3,20.5,8,18,70,,5.3,4,0.379,25,0.36,9,44.9,31,0.485,14.3,12,41,0.39,16,0.0,0,"Bender Arena, Washington, District of Columbia",AMERICAN,American,74.8,Away,WILLIAM-MARY,William & Mary,William & Mary,colonial
2019-11-12-19-wofford,51.6,16,7.7,3,123.4,71.0,22,0.673,55,0.564,31,0.127,7,0.857,6,0,200,125.0,33.3,6,17,80,,6.3,4,0.473,26,0.462,12,57.1,28,0.686,14.7,10,29,0.655,19,1.0,3,"November 12, 2019",35.7,10,3.4,1,125.0,66.7,12,0.524,63,0.444,28,0.206,13,1.0,13,1,200,123.4,29.0,9,11,79,,4.7,3,0.381,24,0.417,10,42.9,21,0.571,8.0,6,39,0.462,18,0.667,2,"Richardson Indoor Stadium, Spartanburg, South Carolina",WOFFORD,Wofford,64.3,Away,WILLIAM-MARY,William & Mary,William & Mary,colonial
2019-11-15-19-william-mary,30.8,8,11.1,4,109.9,73.1,19,0.399,69,0.377,26,0.203,14,0.714,10,1,200,91.5,27.9,12,17,65,,9.9,7,0.188,13,0.231,3,44.9,31,0.43,9.6,8,56,0.411,23,0.667,2,"November 15, 2019",53.3,16,14.3,8,91.5,72.1,31,0.627,55,0.545,30,0.291,16,0.563,9,0,200,109.9,26.9,7,16,78,,4.2,3,0.345,19,0.474,9,55.1,38,0.623,19.5,15,36,0.583,21,1.0,4,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",HAMPTON,Hampton,71.1,Home,WILLIAM-MARY,William & Mary,William & Mary,colonial
2019-11-18-19-oklahoma,46.4,13,0.0,0,100.0,87.5,35,0.55,60,0.467,28,0.083,5,0.8,4,1,200,93.3,6.5,2,19,70,,2.7,2,0.5,30,0.333,10,52.1,37,0.561,18.4,14,30,0.6,18,0.8,4,"November 18, 2019",42.9,12,10.0,3,93.3,93.5,29,0.44,67,0.418,28,0.299,20,0.8,16,0,200,100.0,12.5,5,9,75,,9.3,7,0.269,18,0.167,3,47.9,34,0.49,5.0,4,49,0.51,25,1.0,4,"Lloyd Noble Center, Norman, Oklahoma",WILLIAM-MARY,William & Mary,74.9,Home,OKLAHOMA,Oklahoma,William & Mary,colonial
2019-11-21-22-stanford,44.4,8,3.2,1,114.1,80.0,16,0.42,50,0.36,18,0.32,16,0.5,8,2,200,70.4,11.4,4,21,50,,7.0,5,0.34,17,0.353,6,36.4,20,0.434,23.0,17,33,0.364,12,0.667,4,"November 21, 2019",42.3,11,18.2,6,70.4,88.6,31,0.638,47,0.553,26,0.638,30,0.7,21,0,200,114.1,20.0,4,19,81,,11.3,8,0.34,16,0.5,8,63.6,35,0.661,18.9,14,31,0.581,18,1.0,6,"Maples Pavilion, Stanford, California",WILLIAM-MARY,William & Mary,70.9,Home,STANFORD,Stanford,William & Mary,colonial
2019-11-26-19-william-mary,48.6,17,10.3,3,130.1,90.5,19,0.574,68,0.515,35,0.176,12,0.5,6,3,200,115.1,14.3,5,18,84,,9.6,7,0.324,22,0.364,8,42.9,24,0.57,5.2,4,46,0.587,27,0.571,4,"November 26, 2019",69.7,23,17.4,8,115.1,85.7,30,0.718,55,0.6,33,0.382,21,0.762,16,2,200,130.1,9.5,2,13,95,,1.4,1,0.473,26,0.5,13,57.1,32,0.731,13.5,10,29,0.69,20,0.714,5,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",MOREHEAD-STATE,Morehead State,72.8,Home,WILLIAM-MARY,William & Mary,William & Mary,colonial
2019-11-30-14-buffalo,53.6,15,5.1,2,111.4,78.1,25,0.571,56,0.5,28,0.304,17,0.765,13,3,200,97.5,10.7,3,19,77,,6.3,5,0.375,21,0.381,8,46.7,28,0.601,22.1,18,35,0.571,20,0.625,5,"November 30, 2019",64.7,22,11.4,4,97.5,89.3,25,0.629,62,0.548,34,0.323,20,0.5,10,2,200,111.4,21.9,7,18,88,,19.0,15,0.371,23,0.435,10,53.3,32,0.615,17.5,15,39,0.615,24,0.714,5,"Alumni Arena, Buffalo, New York",WILLIAM-MARY,William & Mary,79.3,Home,BUFFALO,Buffalo,William & Mary,colonial
2019-12-03-19-william-mary,33.3,6,21.4,6,90.0,79.4,27,0.302,63,0.286,18,0.159,10,0.8,8,6,200,65.7,25.6,11,16,46,,11.4,8,0.317,20,0.1,2,49.4,38,0.339,18.2,15,43,0.372,16,0.333,3,"December 3, 2019",45.0,9,11.6,5,65.7,74.4,32,0.443,53,0.377,20,0.377,20,0.8,16,3,200,90.0,20.6,7,10,63,,12.9,9,0.472,25,0.28,7,50.6,39,0.504,17.4,13,28,0.464,13,0.667,6,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",OLD-DOMINION,Old Dominion,70.1,Home,WILLIAM-MARY,William & Mary,William & Mary,colonial
2019-12-08-14-fairfield,45.5,10,2.5,1,87.9,81.5,22,0.463,54,0.407,22,0.278,15,0.8,12,3,200,93.9,25.9,7,15,62,,7.6,5,0.315,17,0.353,6,53.7,29,0.507,16.5,12,37,0.432,16,0.7,7,"December 8, 2019",39.1,9,2.7,1,93.9,74.1,20,0.472,54,0.426,23,0.222,12,0.583,7,7,200,87.9,18.5,5,15,58,,7.6,5,0.259,14,0.357,5,46.3,25,0.486,15.7,11,40,0.45,18,0.222,2,"George Bisacca Court at Alumni Hall, Fairfield, Connecticut",FAIRFIELD,Fairfield,65.9,Away,WILLIAM-MARY,William & Mary,William & Mary,colonial
