,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-12-middle-tennessee,50.0,10,3.9,2,133.7,54.5,18,0.395,57,0.351,20,0.456,26,0.615,16,0,200,68.5,21.1,8,24,61,,7.9,7,0.193,11,0.455,5,36.6,26,0.44,27.5,26,46,0.326,15,0.0,0,"November 5, 2019",42.2,19,13.0,6,68.5,78.9,30,0.66,75,0.6,45,0.427,32,0.625,20,0,200,133.7,45.5,15,23,119,,13.5,12,0.32,24,0.375,9,63.4,45,0.66,14.4,15,51,0.706,36,1.0,1,"Murphy Athletic Center, Murfreesboro, Tennessee","Maryville (TN)
			","Maryville (TN)
			",88.8,Home,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa
2019-11-09-16-lipscomb,60.9,14,12.5,4,88.6,73.7,28,0.518,57,0.404,23,0.298,17,0.824,14,0,200,92.4,17.6,6,18,73,,10.1,8,0.526,30,0.433,13,47.2,34,0.561,23.7,20,27,0.37,10,1.0,2,"November 9, 2019",50.0,12,22.2,6,92.4,82.4,28,0.445,64,0.375,24,0.25,16,0.813,13,1,200,88.6,26.3,10,16,70,,5.1,4,0.5,32,0.281,9,52.8,38,0.489,20.2,18,32,0.469,15,0.5,1,"Allen Arena, Nashville, Tennessee",LIPSCOMB,Lipscomb,79.3,Away,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa
2019-11-13-19-middle-tennessee,34.5,10,2.1,1,115.7,81.1,30,0.493,70,0.414,29,0.257,18,0.722,13,0,200,98.8,25.6,10,12,82,,2.4,2,0.357,25,0.44,11,52.6,40,0.522,18.8,18,45,0.4,18,0.0,0,"November 13, 2019",58.3,21,11.1,5,98.8,74.4,29,0.556,72,0.5,36,0.278,20,0.8,16,0,200,115.7,18.9,7,18,96,,9.6,8,0.333,24,0.333,8,47.4,36,0.589,4.7,4,48,0.583,28,1.0,3,"Murphy Athletic Center, Murfreesboro, Tennessee","Mars Hill
			","Mars Hill
			",82.5,Home,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa
2019-11-18-19-coastal-carolina,64.0,16,6.4,3,114.8,66.7,26,0.484,63,0.397,25,0.286,18,0.611,11,1,200,88.9,21.6,8,23,72,,8.6,7,0.413,26,0.423,11,44.7,34,0.503,20.2,18,37,0.378,14,0.75,3,"November 18, 2019",38.7,12,10.8,4,88.9,78.4,29,0.507,68,0.456,31,0.5,34,0.706,24,2,200,114.8,33.3,13,18,93,,14.8,12,0.309,21,0.333,7,55.3,42,0.553,9.8,9,47,0.511,24,0.5,2,"The HTC Center, Conway, South Carolina",MIDDLE-TENNESSEE,Middle Tennessee,80.9,Home,COASTAL-CAROLINA,Coastal Carolina,Middle Tennessee,cusa
2019-11-21-11-middle-tennessee,71.1,27,9.5,4,94.5,73.0,27,0.701,67,0.567,38,0.09,6,0.667,4,1,200,134.2,26.9,7,21,98,17,8.2,6,0.567,38,0.474,18,54.0,34,0.702,12.6,10,29,0.69,20,0.75,3,"November 21, 2019",46.2,12,3.4,1,134.2,73.1,19,0.467,60,0.433,26,0.35,21,0.619,13,2,200,94.5,27.0,10,13,69,,8.2,6,0.3,18,0.222,4,46.0,29,0.493,16.8,14,42,0.524,22,0.6,3,"The HTC Center, Conway, South Carolina",MIDDLE-TENNESSEE,Middle Tennessee,73.4,Away,VILLANOVA,Villanova,Middle Tennessee,cusa
2019-11-22-12-middle-tennessee,54.2,13,0.0,0,102.8,78.6,22,0.6,50,0.48,24,0.6,30,0.867,26,1,200,119.4,28.0,7,15,86,,13.9,10,0.48,24,0.5,12,54.7,29,0.669,18.1,14,26,0.462,12,0.8,4,"November 22, 2019",70.0,21,7.7,2,119.4,72.0,18,0.603,58,0.517,30,0.121,7,0.571,4,3,200,102.8,21.4,6,17,74,,6.9,5,0.448,26,0.385,10,45.3,24,0.603,21.8,17,32,0.625,20,0.5,3,"The HTC Center, Conway, South Carolina",MIDDLE-TENNESSEE,Middle Tennessee,71.8,Away,TULANE,Tulane,Middle Tennessee,cusa
2019-11-24-19-ohio,59.1,13,2.9,1,102.7,81.8,27,0.424,59,0.373,22,0.237,14,0.929,13,4,200,86.3,25.0,8,21,63,,4.1,3,0.356,21,0.286,6,53.8,35,0.48,18.7,15,38,0.421,16,0.429,3,"November 24, 2019",66.7,16,5.3,2,86.3,75.0,24,0.509,57,0.421,24,0.439,25,0.68,17,3,200,102.7,18.2,6,15,75,,15.1,11,0.404,23,0.435,10,46.2,30,0.544,13.9,11,34,0.412,14,0.571,4,"The HTC Center, Conway, South Carolina",MIDDLE-TENNESSEE,Middle Tennessee,73.3,Home,OHIO,Ohio,Middle Tennessee,cusa
2019-11-30-20-middle-tennessee,64.3,18,2.3,1,85.5,78.0,32,0.58,56,0.5,28,0.179,10,0.6,6,3,200,102.9,28.6,8,16,71,,8.7,6,0.429,24,0.375,9,58.0,40,0.584,18.8,14,32,0.594,19,0.625,5,"November 30, 2019",57.1,12,12.5,4,102.9,71.4,20,0.385,61,0.344,21,0.279,17,0.706,12,5,200,85.5,22.0,9,13,59,,14.5,10,0.279,17,0.294,5,42.0,29,0.427,13.8,11,44,0.364,16,0.375,3,"Murphy Athletic Center, Murfreesboro, Tennessee",MIDDLE-TENNESSEE,Middle Tennessee,68.9,Away,BELMONT,Belmont,Middle Tennessee,cusa
2019-12-03-19-middle-tennessee,38.5,5,0.0,0,134.4,51.4,18,0.314,51,0.255,13,0.137,7,0.857,6,0,200,59.4,8.6,3,16,38,,4.7,3,0.529,27,0.222,6,30.0,21,0.35,19.4,13,24,0.292,7,0.0,0,"December 3, 2019",61.3,19,8.3,2,59.4,91.4,32,0.563,63,0.492,31,0.349,22,0.682,15,5,200,134.4,48.6,17,12,86,,10.9,7,0.349,22,0.409,9,70.0,49,0.585,9.9,8,41,0.537,22,0.444,4,"Murphy Athletic Center, Murfreesboro, Tennessee","Columbia International
			","Columbia International
			",64.4,Home,MIDDLE-TENNESSEE,Middle Tennessee,Middle Tennessee,cusa
2019-12-07-20-murray-state,35.0,7,18.2,8,116.4,66.7,16,0.371,58,0.345,20,0.31,18,0.5,9,6,200,71.2,26.3,10,19,52,,12.3,9,0.379,22,0.136,3,41.9,26,0.391,17.5,14,36,0.472,17,0.4,4,"December 7, 2019",71.9,23,11.1,4,71.2,73.7,28,0.616,56,0.571,32,0.393,22,0.727,16,4,200,116.4,33.3,8,16,85,,5.5,4,0.214,12,0.417,5,58.1,36,0.64,19.6,16,44,0.614,27,0.556,5,"CFSB Center, Murray, Kentucky",MIDDLE-TENNESSEE,Middle Tennessee,72.5,Home,MURRAY-STATE,Murray State,Middle Tennessee,cusa
