,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-st-bonaventure,70.8,17,5.6,2,81.5,62.5,20,0.549,51,0.471,24,0.314,16,0.563,9,0,200,100.0,26.9,7,18,65,,15.4,10,0.431,22,0.364,8,46.6,27,0.555,17.1,12,29,0.552,16,1.0,1,"November 5, 2019",55.0,11,6.9,2,100.0,73.1,19,0.391,55,0.364,20,0.273,15,0.667,10,1,200,81.5,37.5,12,21,53,,6.2,4,0.345,19,0.158,3,53.4,31,0.427,20.6,16,36,0.472,17,0.0,0,"Reilly Center, St. Bonaventure, New York",ST-BONAVENTURE,St. Bonaventure,64.9,Away,OHIO,Ohio,Ohio,mac
2019-11-09-13-ohio,42.1,8,0.0,0,131.3,61.3,19,0.393,56,0.339,19,0.214,12,0.5,6,0,200,74.6,20.5,8,14,50,,7.5,5,0.339,19,0.316,6,38.6,27,0.405,16.4,12,37,0.351,13,0.0,0,"November 9, 2019",80.6,25,5.4,2,74.6,79.5,31,0.615,61,0.508,31,0.311,19,0.684,13,0,200,131.3,38.7,12,15,88,,7.5,5,0.443,27,0.481,13,61.4,43,0.628,13.7,11,34,0.529,18,1.0,2,"Convocation Center, Athens, Ohio","Heidelberg
			","Heidelberg
			",67.4,Home,OHIO,Ohio,Ohio,mac
2019-11-13-19-iona,51.7,15,12.5,4,96.0,79.3,23,0.683,52,0.558,29,0.269,14,0.714,10,0,200,108.0,17.4,4,17,81,,13.3,10,0.481,25,0.52,13,51.9,27,0.691,23.6,18,27,0.593,16,1.0,3,"November 13, 2019",50.0,12,18.5,5,108.0,82.6,19,0.491,57,0.421,24,0.316,18,0.889,16,2,200,96.0,20.7,6,18,72,,17.3,13,0.439,25,0.32,8,48.1,25,0.549,20.8,17,32,0.5,16,0.0,0,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,74.6,Away,OHIO,Ohio,Ohio,mac
2019-11-16-12-villanova,47.8,11,3.6,1,109.9,81.3,26,0.422,58,0.397,23,0.172,10,0.5,5,1,200,76.1,15.6,5,20,54,,2.8,2,0.345,20,0.15,3,48.4,31,0.43,19.4,15,38,0.526,20,0.75,3,"November 16, 2019",78.3,18,2.6,1,76.1,84.4,27,0.508,59,0.39,23,0.39,23,0.783,18,1,200,109.9,18.8,6,15,78,10,9.9,7,0.525,31,0.452,14,51.6,33,0.558,6.7,5,28,0.321,9,0.667,2,"Wells Fargo Center, Philadelphia, Pennsylvania",OHIO,Ohio,70.8,Home,VILLANOVA,Villanova,Ohio,mac
2019-11-21-16-baylor,63.2,12,4.5,2,108.6,56.7,17,0.443,53,0.358,19,0.226,12,0.5,6,2,200,75.7,20.0,6,20,53,,10.0,7,0.547,29,0.31,9,38.3,23,0.451,23.6,18,24,0.417,10,0.6,3,"November 21, 2019",40.0,10,20.8,5,75.7,80.0,24,0.458,59,0.424,25,0.475,28,0.786,22,1,200,108.6,43.3,13,15,76,24,15.7,11,0.254,15,0.267,4,61.7,37,0.526,12.3,10,44,0.477,21,0.75,3,"The HTC Center, Conway, South Carolina",OHIO,Ohio,70.0,Home,BAYLOR,Baylor,Ohio,mac
2019-11-22-19-ohio,47.8,11,3.1,1,97.1,78.6,22,0.564,47,0.489,23,0.596,28,0.964,27,1,200,117.6,25.0,6,17,80,,4.4,3,0.319,15,0.467,7,53.8,28,0.663,16.8,12,32,0.5,16,0.8,4,"November 22, 2019",37.5,9,6.3,2,117.6,75.0,18,0.482,56,0.429,24,0.268,15,0.8,12,3,200,97.1,21.4,6,25,66,,5.9,4,0.429,24,0.25,6,46.2,24,0.523,17.2,13,32,0.563,18,0.5,3,"The HTC Center, Conway, South Carolina",OHIO,Ohio,68.2,Away,UTAH,Utah,Ohio,mac
2019-11-24-19-ohio,59.1,13,2.9,1,102.7,81.8,27,0.424,59,0.373,22,0.237,14,0.929,13,4,200,86.3,25.0,8,21,63,,4.1,3,0.356,21,0.286,6,53.8,35,0.48,18.7,15,38,0.421,16,0.429,3,"November 24, 2019",66.7,16,5.3,2,86.3,75.0,24,0.509,57,0.421,24,0.439,25,0.68,17,3,200,102.7,18.2,6,15,75,,15.1,11,0.404,23,0.435,10,46.2,30,0.544,13.9,11,34,0.412,14,0.571,4,"The HTC Center, Conway, South Carolina",MIDDLE-TENNESSEE,Middle Tennessee,73.3,Home,OHIO,Ohio,Ohio,mac
2019-11-30-13-ohio,37.0,10,5.6,2,126.4,67.9,19,0.579,57,0.474,27,0.351,20,0.75,15,5,200,112.5,25.8,8,20,81,,8.3,6,0.614,35,0.343,12,45.8,27,0.609,17.5,14,22,0.682,15,0.167,1,"November 30, 2019",60.0,18,4.5,1,112.5,74.2,23,0.616,56,0.536,30,0.464,26,0.846,22,3,200,126.4,32.1,9,18,91,,8.3,6,0.357,20,0.45,9,54.2,32,0.666,15.1,12,36,0.583,21,0.625,5,"Convocation Center, Athens, Ohio",DETROIT-MERCY,Detroit,71.9,Home,OHIO,Ohio,Ohio,mac
2019-12-04-19-ohio,28.6,6,2.4,1,128.6,65.4,17,0.4,60,0.35,21,0.083,5,0.6,3,0,200,72.9,21.9,7,16,51,,4.3,3,0.433,26,0.231,6,41.4,24,0.409,21.5,17,34,0.441,15,0.0,0,"December 4, 2019",62.2,23,8.8,3,72.9,78.1,25,0.651,63,0.587,37,0.175,11,0.727,8,3,200,128.6,34.6,9,9,90,,11.4,8,0.333,21,0.381,8,58.6,34,0.66,11.7,9,42,0.69,29,0.667,6,"Convocation Center, Athens, Ohio","Rio Grande
			","Rio Grande
			",70.3,Home,OHIO,Ohio,Ohio,mac
2019-12-08-14-ohio,47.4,9,10.8,4,117.4,68.6,24,0.404,52,0.365,19,0.308,16,0.75,12,7,200,78.3,14.7,5,21,54,,8.7,6,0.404,21,0.19,4,42.0,29,0.453,20.3,15,31,0.484,15,0.3,3,"December 8, 2019",66.7,20,16.1,5,78.3,85.3,29,0.556,62,0.484,30,0.29,18,0.667,12,3,200,117.4,31.4,11,14,81,,14.5,10,0.403,25,0.36,9,58.0,40,0.574,11.4,9,37,0.568,21,0.7,7,"Convocation Center, Athens, Ohio",TENNESSEE-TECH,Tennessee Tech,69.1,Home,OHIO,Ohio,Ohio,mac
