,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-22-pacific,30.8,4,2.9,1,104.5,64.3,18,0.352,44,0.295,13,0.545,24,0.667,16,0,200,71.2,10.0,3,24,47,,6.1,4,0.432,19,0.263,5,36.2,21,0.424,21.6,15,25,0.32,8,0.0,0,"November 5, 2019",40.0,10,8.0,2,71.2,90.0,27,0.529,51,0.49,25,0.49,25,0.6,15,0,200,104.5,35.7,10,24,69,,10.6,7,0.314,16,0.25,4,63.8,37,0.549,15.1,11,35,0.6,21,1.0,1,"A.G. Spanos Center, Stockton, California","Cal State Stanislaus
			","Cal State Stanislaus
			",65.6,Home,PACIFIC,Pacific,Pacific,wcc
2019-11-08-21-pacific,63.6,14,2.8,1,98.4,66.7,14,0.574,47,0.468,22,0.426,20,0.9,18,0,200,114.3,33.3,8,16,72,,7.9,5,0.447,21,0.476,10,48.9,22,0.637,20.1,14,26,0.462,12,1.0,1,"November 8, 2019",50.0,11,3.8,1,114.3,66.7,16,0.49,51,0.431,22,0.314,16,0.75,12,1,200,98.4,33.3,7,17,62,,14.3,9,0.294,15,0.4,6,51.1,23,0.529,17.1,12,36,0.444,16,0.5,1,"Stan Sheriff Center, Honolulu, Hawaii",PACIFIC,Pacific,63.1,Away,SOUTH-DAKOTA,South Dakota,Pacific,wcc
2019-11-10-19-pacific,44.4,8,2.4,1,113.4,55.6,15,0.446,46,0.391,18,0.478,22,0.591,13,3,200,80.6,10.3,3,16,54,,4.5,3,0.37,17,0.294,5,32.1,18,0.478,21.2,15,29,0.448,13,0.0,0,"November 10, 2019",45.2,14,6.9,2,80.6,89.7,26,0.576,59,0.525,31,0.305,18,0.444,8,1,200,113.4,44.4,12,17,76,,13.4,9,0.305,18,0.333,6,67.9,38,0.563,11.9,9,41,0.61,25,0.667,2,"Stan Sheriff Center, Honolulu, Hawaii",FLORIDA-AM,Florida A&M,66.5,Home,PACIFIC,Pacific,Pacific,wcc
2019-11-11-23-hawaii,38.5,10,8.0,2,122.0,78.3,18,0.557,53,0.491,26,0.17,9,0.889,8,2,200,113.6,35.0,7,17,67,,6.8,4,0.358,19,0.368,7,58.1,25,0.585,13.6,9,34,0.559,19,0.5,2,"November 11, 2019",60.9,14,5.9,2,113.6,65.0,13,0.583,48,0.479,23,0.354,17,0.941,16,1,200,122.0,21.7,5,11,72,,10.2,6,0.479,23,0.435,10,41.9,18,0.642,11.2,7,25,0.52,13,0.667,2,"Stan Sheriff Center, Honolulu, Hawaii",PACIFIC,Pacific,58.7,Home,HAWAII,Hawaii,Pacific,wcc
2019-11-14-22-pacific,50.0,9,2.6,1,128.4,55.9,19,0.441,51,0.353,18,0.157,8,0.375,3,0,200,71.6,0.0,0,23,48,,3.0,2,0.588,30,0.3,9,28.4,19,0.438,16.8,11,21,0.429,9,0.0,0,"November 14, 2019",40.0,12,9.5,2,71.6,100.0,33,0.567,60,0.5,30,0.467,28,0.643,18,2,200,128.4,44.1,15,12,86,,10.4,7,0.35,21,0.381,8,71.6,48,0.587,11.1,9,39,0.564,22,0.6,3,"A.G. Spanos Center, Stockton, California","Pacific Union
			","Pacific Union
			",66.6,Home,PACIFIC,Pacific,Pacific,wcc
2019-11-17-18-pacific,47.4,9,9.8,4,95.1,80.6,25,0.426,54,0.352,19,0.167,9,0.556,5,2,200,83.6,14.7,5,16,51,,6.6,4,0.426,23,0.348,8,46.2,30,0.438,13.4,9,31,0.355,11,0.5,2,"November 17, 2019",59.1,13,12.9,4,83.6,85.3,29,0.471,51,0.431,22,0.333,17,0.588,10,2,200,95.1,19.4,6,13,58,,11.5,7,0.196,10,0.4,4,53.8,35,0.491,9.3,6,41,0.439,18,0.667,4,"A.G. Spanos Center, Stockton, California",CALIFORNIA-RIVERSIDE,UC-Riverside,60.7,Home,PACIFIC,Pacific,Pacific,wcc
2019-11-19-22-pacific,40.0,8,0.0,0,86.5,63.2,24,0.42,56,0.357,20,0.411,23,0.565,13,5,200,81.1,18.9,7,23,60,,9.5,7,0.464,26,0.269,7,41.3,31,0.448,16.4,13,30,0.433,13,0.167,1,"November 19, 2019",50.0,11,10.0,3,81.1,81.1,30,0.405,58,0.379,22,0.414,24,0.708,17,2,200,86.5,36.8,14,19,64,,2.7,2,0.397,23,0.13,3,58.7,44,0.461,21.7,19,35,0.543,19,0.714,5,"A.G. Spanos Center, Stockton, California",COPPIN-STATE,Coppin State,73.7,Home,PACIFIC,Pacific,Pacific,wcc
2019-11-23-19-pacific,40.0,10,0.0,0,89.4,64.1,25,0.477,64,0.391,25,0.438,28,0.75,21,2,275,96.5,19.0,8,25,82,,11.8,10,0.359,23,0.478,11,40.7,33,0.53,19.1,18,41,0.341,14,0.6,3,"November 23, 2019",28.0,7,17.1,7,96.5,81.0,34,0.449,59,0.424,25,0.593,35,0.657,23,3,275,89.4,35.9,14,25,76,,9.4,8,0.203,12,0.25,3,59.3,48,0.502,22.0,21,47,0.468,22,0.625,5,"A.G. Spanos Center, Stockton, California",PACIFIC,Pacific,61.8,Away,BOISE-STATE,Boise State,Pacific,wcc
2019-11-26-22-pacific,45.0,9,10.0,4,113.0,60.0,15,0.396,53,0.377,20,0.189,10,0.8,8,5,200,72.5,17.9,5,15,50,,11.6,8,0.396,21,0.095,2,37.7,20,0.433,23.9,18,32,0.563,18,0.286,2,"November 26, 2019",58.1,18,15.6,5,72.5,82.1,23,0.609,55,0.564,31,0.309,17,0.647,11,3,200,113.0,40.0,10,13,78,,14.5,10,0.273,15,0.333,5,62.3,33,0.618,19.4,15,40,0.65,26,0.667,6,"A.G. Spanos Center, Stockton, California",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,69.4,Home,PACIFIC,Pacific,Pacific,wcc
2019-11-29-22-pacific,53.3,8,12.5,4,107.8,67.7,21,0.406,48,0.313,15,0.313,15,0.8,12,4,200,79.7,13.3,4,19,51,,4.7,3,0.604,29,0.31,9,41.0,25,0.463,19.2,13,19,0.316,6,0.5,4,"November 29, 2019",48.0,12,21.1,4,79.7,86.7,26,0.544,57,0.439,25,0.246,14,0.5,7,3,200,107.8,32.3,10,16,69,,6.3,4,0.439,25,0.48,12,59.0,36,0.542,13.7,10,32,0.406,13,0.7,7,"A.G. Spanos Center, Stockton, California",LONGWOOD,Longwood,63.9,Home,PACIFIC,Pacific,Pacific,wcc
