,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-gardner-webb,48.0,12,12.1,4,92.6,67.6,23,0.519,54,0.463,25,0.333,18,0.778,14,0,200,102.9,23.3,7,14,70,,10.3,7,0.463,25,0.24,6,46.9,30,0.56,16.2,12,29,0.655,19,1.0,1,"November 5, 2019",81.8,18,24.1,7,102.9,76.7,23,0.474,57,0.386,22,0.246,14,0.643,9,1,200,92.6,32.4,11,18,63,,8.8,6,0.421,24,0.417,10,53.1,34,0.495,20.2,16,33,0.364,12,0.0,0,"Paul Porter Arena, Boiling Springs, North Carolina",GARDNER-WEBB,Gardner-Webb,68.1,Away,FURMAN,Furman,Gardner-Webb,big-south
2019-11-09-12-western-carolina,25.0,6,16.0,4,95.9,66.7,24,0.439,57,0.421,24,0.246,14,0.643,9,2,202,79.7,30.3,10,32,59,,6.8,5,0.193,11,0.182,2,49.3,34,0.463,25.8,22,46,0.478,22,0.0,0,"November 9, 2019",57.1,12,4.3,2,79.7,69.7,23,0.464,55,0.382,21,0.582,32,0.625,20,1,202,95.9,33.3,12,17,71,,9.5,7,0.545,30,0.3,9,50.7,35,0.506,16.9,14,25,0.48,12,0.5,1,"Ramsey Center, Cullowhee, North Carolina",GARDNER-WEBB,Gardner-Webb,73.2,Home,WESTERN-CAROLINA,Western Carolina,Gardner-Webb,big-south
2019-11-15-21-north-carolina,47.6,10,5.1,2,101.3,66.7,16,0.412,57,0.368,21,0.316,18,0.778,14,3,200,80.3,8.8,3,18,61,,11.8,9,0.404,23,0.217,5,32.8,19,0.465,16.7,13,34,0.471,16,0.0,0,"November 15, 2019",73.1,19,14.7,5,80.3,91.2,31,0.509,57,0.456,26,0.439,25,0.76,19,0,200,101.3,33.3,8,17,77,6,11.8,9,0.316,18,0.333,6,67.2,39,0.559,19.0,16,39,0.513,20,1.0,3,"Dean Smith Center, Chapel Hill, North Carolina",GARDNER-WEBB,Gardner-Webb,76.2,Home,NORTH-CAROLINA,UNC,Gardner-Webb,big-south
2019-11-19-20-wichita-state,93.8,15,3.6,1,115.6,63.0,17,0.478,45,0.356,16,0.333,15,0.6,9,4,200,81.3,14.8,4,14,52,,10.9,7,0.467,21,0.524,11,38.9,21,0.499,22.5,15,24,0.208,5,0.0,0,"November 19, 2019",59.3,16,8.3,2,81.3,85.2,23,0.553,57,0.474,27,0.263,15,0.733,11,0,200,115.6,37.0,10,15,74,,9.4,6,0.509,29,0.31,9,61.1,33,0.577,14.7,11,28,0.643,18,1.0,4,"Charles Koch Arena, Wichita, Kansas",GARDNER-WEBB,Gardner-Webb,64.1,Home,WICHITA-STATE,Wichita State,Gardner-Webb,big-south
2019-11-22-19-south-carolina,52.4,11,4.7,2,107.2,70.4,19,0.463,54,0.389,21,0.407,22,0.864,19,5,200,100.0,14.8,4,21,69,,5.8,4,0.352,19,0.421,8,42.6,23,0.535,11.2,8,35,0.371,13,0.0,0,"November 22, 2019",63.0,17,25.7,9,100.0,85.2,23,0.476,62,0.435,27,0.274,17,0.882,15,1,200,107.2,29.6,8,17,74,,8.7,6,0.306,19,0.263,5,57.4,31,0.528,9.2,7,43,0.512,22,0.8,4,"The Colonial Life Arena, Columbia, South Carolina",GARDNER-WEBB,Gardner-Webb,68.8,Home,SOUTH-CAROLINA,South Carolina,Gardner-Webb,big-south
2019-11-26-12-gardner-webb,38.1,8,3.3,1,119.1,72.7,16,0.424,59,0.356,21,0.322,19,0.737,14,4,200,94.1,23.3,7,12,64,,8.8,6,0.525,31,0.258,8,44.2,23,0.47,9.4,7,28,0.464,13,0.333,2,"November 26, 2019",69.0,20,17.9,5,94.1,76.7,23,0.683,52,0.558,29,0.308,16,0.625,10,5,200,119.1,27.3,6,17,81,,7.4,5,0.423,22,0.591,13,55.8,29,0.68,19.2,14,30,0.533,16,0.167,1,"Hard Rock Hotel Riviera Maya, Cancun",TENNESSEE-MARTIN,UT-Martin,67.8,Home,GARDNER-WEBB,Gardner-Webb,Gardner-Webb,big-south
2019-11-27-15-northern-colorado,35.7,10,27.6,8,92.5,76.7,33,0.517,58,0.483,28,0.207,12,0.583,7,5,200,100.0,24.1,7,10,67,,7.5,5,0.241,14,0.286,4,55.6,40,0.526,12.5,9,44,0.545,24,0.286,2,"November 27, 2019",81.0,17,2.3,1,100.0,75.9,22,0.43,64,0.328,21,0.219,14,0.5,7,4,200,92.5,23.3,10,15,62,,9.0,6,0.547,35,0.371,13,44.4,32,0.439,10.2,8,29,0.276,8,0.429,3,"Hard Rock Hotel Riviera Maya, Cancun",NORTHERN-COLORADO,Northern Colorado,67.2,Away,GARDNER-WEBB,Gardner-Webb,Gardner-Webb,big-south
2019-12-03-19-gardner-webb,54.5,12,8.1,3,97.3,74.2,23,0.415,65,0.338,22,0.092,6,0.833,5,0,200,78.7,23.1,9,21,59,,8.0,6,0.415,27,0.37,10,45.7,32,0.435,20.1,17,38,0.316,12,0.0,0,"December 3, 2019",59.1,13,21.1,8,78.7,76.9,30,0.427,55,0.4,22,0.6,33,0.788,26,5,200,97.3,25.8,8,10,73,,12.0,9,0.327,18,0.167,3,54.3,38,0.516,13.7,11,37,0.514,19,0.375,3,"Paul Porter Arena, Boiling Springs, North Carolina","Coker
			","Coker
			",74.8,Home,GARDNER-WEBB,Gardner-Webb,Gardner-Webb,big-south
2019-12-07-19-wofford,32.1,9,3.7,1,115.7,70.4,19,0.492,62,0.452,28,0.371,23,0.696,16,6,200,110.0,24.2,8,15,77,,7.1,5,0.387,24,0.208,5,45.0,27,0.528,8.8,7,38,0.605,23,0.333,3,"December 7, 2019",46.4,13,5.3,2,110.0,75.8,25,0.598,56,0.5,28,0.286,16,0.875,14,4,200,115.7,29.6,8,17,81,,1.4,1,0.518,29,0.379,11,55.0,33,0.637,16.0,12,27,0.63,17,0.556,5,"Richardson Indoor Stadium, Spartanburg, South Carolina",GARDNER-WEBB,Gardner-Webb,69.8,Home,WOFFORD,Wofford,Gardner-Webb,big-south
2019-12-13-19-kennesaw-state,27.3,6,9.1,3,125.0,72.4,21,0.41,61,0.361,22,0.295,18,0.611,11,7,200,89.7,20.5,8,18,61,,1.5,1,0.377,23,0.261,6,42.6,29,0.439,9.2,7,38,0.421,16,0.3,3,"December 13, 2019",62.1,18,2.6,1,89.7,79.5,31,0.574,61,0.475,29,0.311,19,0.789,15,8,200,125.0,27.6,8,15,85,,2.9,2,0.459,28,0.429,12,57.4,39,0.607,8.0,6,33,0.515,17,0.111,1,"KSU Convocation Center , Kennesaw, Georgia",GARDNER-WEBB,Gardner-Webb,68.3,Home,KENNESAW-STATE,Kennesaw State,Gardner-Webb,big-south
