,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-villanova,55.0,11,7.7,3,118.3,60.0,18,0.367,64,0.313,20,0.156,10,0.7,7,1,200,65.9,9.5,4,16,54,,11.0,9,0.469,30,0.233,7,30.6,22,0.393,19.9,17,34,0.382,13,0.0,0,"November 5, 2019",61.1,22,11.8,4,65.9,90.5,38,0.609,69,0.522,36,0.232,16,0.813,13,0,200,118.3,40.0,12,14,97,10,11.0,9,0.435,30,0.4,12,69.4,50,0.633,18.3,17,39,0.615,24,1.0,1,"Finneran Pavilion, Villanova, Pennsylvania",ARMY,Army,81.7,Home,VILLANOVA,Villanova,Army,patriot
2019-11-08-18-army,61.1,11,3.7,1,115.9,78.6,22,0.404,52,0.346,18,0.269,14,0.071,1,0,200,62.3,2.5,1,9,43,,8.7,6,0.481,25,0.24,6,33.8,23,0.367,17.1,12,27,0.444,12,0.0,0,"November 8, 2019",80.6,25,7.4,2,62.3,97.5,39,0.633,60,0.517,31,0.15,9,0.444,4,1,200,115.9,21.4,6,14,80,,13.0,9,0.55,33,0.424,14,66.2,45,0.622,14.7,11,27,0.63,17,0.5,1,"Christl Arena, West Point, New York","Merchant Marine Academy
			","Merchant Marine Academy
			",69.5,Home,ARMY,Army,Army,patriot
2019-11-12-19-army,69.6,16,9.7,3,77.0,91.4,32,0.491,56,0.411,23,0.321,18,0.778,14,1,200,93.2,12.5,4,10,69,,13.5,10,0.446,25,0.36,9,53.7,36,0.534,16.9,13,31,0.452,14,0.667,2,"November 12, 2019",62.5,15,3.2,1,93.2,87.5,28,0.457,58,0.414,24,0.172,10,0.4,4,2,200,77.0,8.6,3,18,57,,9.5,7,0.466,27,0.185,5,46.3,31,0.454,18.3,14,31,0.613,19,0.333,1,"Christl Arena, West Point, New York",ARMY,Army,73.7,Away,AIR-FORCE,Air Force,Army,patriot
2019-11-18-19-army,25.0,6,14.3,5,115.7,73.1,19,0.46,62,0.387,24,0.177,11,0.727,8,3,200,92.9,23.7,9,8,65,,10.0,7,0.468,29,0.31,9,43.8,28,0.483,14.1,11,33,0.455,15,0.25,1,"November 18, 2019",68.8,22,3.0,1,92.9,76.3,29,0.653,59,0.542,32,0.136,8,0.5,4,2,200,115.7,26.9,7,12,81,,8.6,6,0.407,24,0.542,13,56.3,36,0.645,18.3,14,35,0.543,19,0.5,2,"Christl Arena, West Point, New York",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,69.5,Home,ARMY,Army,Army,patriot
2019-11-23-16-binghamton,53.8,14,2.9,1,123.9,55.6,15,0.545,55,0.473,26,0.364,20,0.65,13,3,200,102.8,16.1,5,15,73,,12.7,9,0.4,22,0.364,8,34.5,20,0.566,14.7,11,33,0.545,18,0.4,2,"November 23, 2019",51.5,17,12.1,4,102.8,83.9,26,0.605,62,0.532,33,0.258,16,0.813,13,3,200,123.9,44.4,12,19,88,,2.8,2,0.435,27,0.333,9,65.5,38,0.632,15.8,13,35,0.686,24,0.5,3,"Binghamton University Events Center, Vestal, New York",ARMY,Army,70.6,Home,BINGHAMTON,Binghamton,Army,patriot
2019-11-30-19-marist,76.9,20,2.6,1,85.3,78.4,29,0.5,58,0.448,26,0.31,18,0.444,8,3,225,88.0,17.1,6,10,66,,6.7,5,0.448,26,0.231,6,48.6,35,0.496,17.5,14,32,0.625,20,0.5,3,"November 30, 2019",44.0,11,6.3,2,88.0,82.9,29,0.455,67,0.373,25,0.104,7,0.429,3,4,225,85.3,21.6,8,18,64,,14.7,11,0.418,28,0.393,11,51.4,37,0.455,15.6,13,39,0.359,14,0.2,1,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,66.6,Away,ARMY,Army,Army,patriot
2019-12-04-19-army,37.5,9,5.4,2,98.7,87.9,29,0.423,65,0.369,24,0.246,16,0.625,10,6,200,85.5,32.4,12,22,65,,10.5,8,0.4,26,0.269,7,58.6,41,0.448,18.2,16,39,0.436,17,0.25,2,"December 4, 2019",50.0,13,7.7,3,85.5,67.6,25,0.555,55,0.473,26,0.436,24,0.583,14,3,200,98.7,12.1,4,12,75,,13.2,10,0.327,18,0.5,9,41.4,29,0.565,15.5,12,37,0.459,17,0.571,4,"Christl Arena, West Point, New York",NJIT,NJIT,75.5,Home,ARMY,Army,Army,patriot
2019-12-07-13-army,42.3,11,10.8,4,92.3,73.5,25,0.556,63,0.413,26,0.429,27,0.556,15,6,200,109.0,11.6,5,23,85,,14.1,11,0.714,45,0.4,18,39.0,30,0.561,10.7,9,18,0.444,8,0.333,3,"December 7, 2019",46.4,13,5.6,1,109.0,88.4,38,0.5,60,0.467,28,0.367,22,0.545,12,4,200,92.3,26.5,9,23,72,,1.3,1,0.383,23,0.174,4,61.0,47,0.511,17.7,15,37,0.649,24,0.5,4,"Christl Arena, West Point, New York",ARMY,Army,78.1,Away,LONG-ISLAND-UNIVERSITY,LIU,Army,patriot
2019-12-11-19-merrimack,50.0,11,2.9,1,104.5,76.7,23,0.51,48,0.458,22,0.354,17,0.647,11,5,200,90.9,26.9,7,18,60,,4.5,3,0.354,17,0.294,5,53.6,30,0.535,22.4,16,31,0.548,17,0.444,4,"December 11, 2019",60.0,15,6.5,2,90.9,73.1,19,0.518,56,0.446,25,0.304,17,0.647,11,5,200,104.5,23.3,7,12,69,,12.1,8,0.393,22,0.364,8,46.4,26,0.538,13.6,10,34,0.5,17,0.545,6,"Hammel Court, North Andover, Massachusetts",ARMY,Army,66.1,Home,MERRIMACK,Merrimack,Army,patriot
2019-12-14-14-buffalo,80.0,28,0.0,0,95.0,71.4,25,0.625,64,0.547,35,0.234,15,0.6,9,5,200,111.3,33.3,10,18,89,,10.0,8,0.313,20,0.5,10,53.8,35,0.626,20.3,18,44,0.568,25,0.5,5,"December 14, 2019",63.3,19,11.4,5,111.3,66.7,20,0.524,62,0.484,30,0.323,20,0.55,11,4,200,95.0,28.6,10,19,76,,13.8,11,0.387,24,0.208,5,46.2,30,0.531,21.2,19,38,0.658,25,0.6,6,"Alumni Arena, Buffalo, New York",BUFFALO,Buffalo,79.8,Away,ARMY,Army,Army,patriot
