,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-09-19-dayton,37.0,10,3.0,1,116.2,76.3,29,0.526,57,0.474,27,0.474,27,0.778,21,1,200,109.5,24.1,7,24,81,,6.8,5,0.263,15,0.4,6,53.7,36,0.58,13.8,11,42,0.5,21,0.0,0,"November 9, 2019",62.1,18,11.9,5,109.5,75.9,22,0.542,60,0.483,29,0.5,30,0.7,21,0,200,116.2,23.7,9,19,86,,6.8,5,0.45,27,0.259,7,46.3,31,0.579,10.9,9,33,0.667,22,1.0,1,"University of Dayton Arena, Dayton, Ohio",INDIANA-STATE,Indiana State,74.0,Home,DAYTON,Dayton,Dayton,atlantic-10
2019-11-16-19-dayton,60.0,15,5.4,2,128.6,50.0,12,0.467,61,0.41,25,0.098,6,0.667,4,3,200,87.1,29.7,11,14,61,,11.4,8,0.262,16,0.438,7,37.7,23,0.478,21.1,17,45,0.4,18,0.25,1,"November 16, 2019",73.0,27,4.4,2,87.1,70.3,26,0.68,61,0.607,37,0.148,9,0.778,7,0,200,128.6,50.0,12,10,90,,8.6,6,0.393,24,0.375,9,62.3,38,0.689,20.7,17,37,0.757,28,1.0,2,"University of Dayton Arena, Dayton, Ohio",CHARLESTON-SOUTHERN,Charleston Southern,70.1,Home,DAYTON,Dayton,Dayton,atlantic-10
2019-11-19-19-dayton,37.0,10,2.7,1,134.8,64.5,20,0.525,59,0.458,27,0.186,11,0.545,6,3,200,98.6,31.0,9,13,68,,8.7,6,0.305,18,0.444,8,48.3,29,0.529,16.9,13,41,0.463,19,0.4,2,"November 19, 2019",56.8,21,12.2,5,98.6,69.0,20,0.656,64,0.578,37,0.234,15,0.6,9,0,200,134.8,35.5,11,11,93,,8.7,6,0.422,27,0.37,10,51.7,31,0.654,12.4,10,37,0.73,27,1.0,3,"University of Dayton Arena, Dayton, Ohio",NEBRASKA-OMAHA,Omaha,69.2,Home,DAYTON,Dayton,Dayton,atlantic-10
2019-11-25-14-dayton,33.3,8,7.1,2,109.6,76.0,19,0.531,49,0.49,24,0.347,17,0.529,9,1,200,83.6,26.1,6,24,61,,9.6,7,0.327,16,0.25,4,52.1,25,0.534,28.0,22,33,0.606,20,0.8,4,"November 25, 2019",37.0,10,21.2,7,83.6,73.9,17,0.582,55,0.491,27,0.345,19,0.842,16,0,200,109.6,24.0,6,17,80,,8.2,6,0.491,27,0.37,10,47.9,23,0.625,18.1,14,28,0.607,17,1.0,4,"Lahaina Civic Center, Lahaina, Hawaii",GEORGIA,Georgia,72.6,Home,DAYTON,Dayton,Dayton,atlantic-10
2019-11-26-20-virginia-tech,62.9,22,3.3,1,91.2,90.0,27,0.736,55,0.636,35,0.255,14,0.571,8,0,200,130.9,26.1,6,21,89,,2.9,2,0.436,24,0.458,11,62.3,33,0.722,18.6,14,31,0.774,24,1.0,5,"November 26, 2019",59.1,13,9.7,3,130.9,73.9,17,0.51,51,0.431,22,0.353,18,0.556,10,1,200,91.2,10.0,3,19,62,,10.3,7,0.412,21,0.381,8,37.7,20,0.521,13.3,9,30,0.467,14,0.857,6,"Lahaina Civic Center, Lahaina, Hawaii",VIRGINIA-TECH,Virginia Tech,67.6,Away,DAYTON,Dayton,Dayton,atlantic-10
2019-11-27-17-kansas,70.4,19,10.4,5,113.9,80.0,24,0.565,62,0.435,27,0.306,19,0.737,14,1,225,106.3,9.7,3,25,84,,7.6,6,0.532,33,0.485,16,44.3,27,0.591,14.6,12,29,0.379,11,0.833,5,"November 27, 2019",36.4,12,17.2,5,106.3,90.3,28,0.593,59,0.559,33,0.475,28,0.714,20,1,225,113.9,20.0,6,20,90,4,8.9,7,0.186,11,0.364,4,55.7,34,0.622,13.4,11,48,0.604,29,0.857,6,"Lahaina Civic Center, Lahaina, Hawaii",DAYTON,Dayton,69.9,Home,KANSAS,Kansas,Dayton,atlantic-10
2019-12-03-19-dayton,59.1,13,4.5,2,126.9,67.9,19,0.456,57,0.386,22,0.456,26,0.615,16,6,200,87.2,25.0,9,14,68,,3.8,3,0.368,21,0.381,8,43.8,28,0.49,19.9,17,36,0.389,14,0.0,0,"December 3, 2019",73.2,30,11.1,4,87.2,75.0,27,0.659,69,0.594,41,0.203,14,0.571,8,1,200,126.9,32.1,9,18,99,19,12.8,10,0.362,25,0.36,9,56.3,36,0.654,12.8,11,44,0.727,32,0.857,6,"University of Dayton Arena, Dayton, Ohio",HOUSTON-BAPTIST,Houston Baptist,77.5,Home,DAYTON,Dayton,Dayton,atlantic-10
2019-12-08-16-saint-marys-ca,53.6,15,5.7,2,106.3,76.7,23,0.663,52,0.538,28,0.231,12,0.75,9,1,200,121.9,37.5,9,16,78,19,7.8,5,0.462,24,0.542,13,59.3,32,0.676,20.8,15,28,0.536,15,0.875,7,"December 8, 2019",26.1,6,3.6,1,121.9,62.5,15,0.52,51,0.451,23,0.373,19,0.789,15,2,200,106.3,23.3,7,16,68,,10.9,7,0.314,16,0.438,7,40.7,22,0.566,15.6,11,35,0.457,16,0.818,9,"Talking Stick Resort Arena, Phoenix, Arizona",SAINT-MARYS-CA,Saint Mary's,63.9,Away,DAYTON,Dayton,Dayton,atlantic-10
2019-12-14-19-dayton,68.8,11,3.7,1,111.4,75.0,18,0.33,56,0.286,16,0.268,15,0.667,10,3,200,67.1,15.0,6,16,47,,2.9,2,0.411,23,0.217,5,37.5,24,0.372,17.2,13,33,0.333,11,0.727,8,"December 14, 2019",70.4,19,12.1,4,67.1,85.0,34,0.582,55,0.491,27,0.273,15,0.933,14,1,200,111.4,25.0,6,16,78,14,8.6,6,0.509,28,0.357,10,62.5,40,0.628,18.5,14,27,0.63,17,0.889,8,"University of Dayton Arena, Dayton, Ohio",DRAKE,Drake,70.1,Home,DAYTON,Dayton,Dayton,atlantic-10
2019-12-17-19-dayton,52.6,10,7.4,2,107.6,82.1,23,0.49,48,0.396,19,0.25,12,0.917,11,7,200,87.9,21.4,6,21,58,,6.1,4,0.396,19,0.474,9,51.8,29,0.54,24.2,17,29,0.345,10,0.364,4,"December 17, 2019",83.3,20,0.0,0,87.9,78.6,22,0.583,48,0.5,24,0.5,24,0.625,15,1,200,107.6,17.9,5,15,71,13,10.6,7,0.438,21,0.381,8,48.2,27,0.598,17.0,12,27,0.593,16,0.9,9,"University of Dayton Arena, Dayton, Ohio",NORTH-TEXAS,North Texas,65.6,Home,DAYTON,Dayton,Dayton,atlantic-10
