,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-valparaiso,61.5,16,6.0,3,102.6,58.3,21,0.594,53,0.491,26,0.321,17,0.824,14,1,200,100.0,23.1,6,19,77,,11.7,9,0.528,28,0.393,11,43.5,27,0.63,25.8,21,25,0.6,15,0.0,0,"November 5, 2019",67.7,21,12.0,3,100.0,76.9,20,0.479,71,0.437,31,0.197,14,0.786,11,0,200,102.6,41.7,15,19,79,,14.3,11,0.296,21,0.286,6,56.5,35,0.509,16.3,15,50,0.5,25,1.0,1,"Athletics-Recreation Center, Valparaiso, Indiana",TOLEDO,Toledo,76.9,Home,VALPARAISO,Valparaiso,Toledo,mac
2019-11-10-14-marshall,54.3,19,7.9,3,86.4,82.9,29,0.618,68,0.515,35,0.221,15,0.8,12,1,200,118.5,34.4,11,14,96,,13.6,11,0.368,25,0.56,14,59.7,40,0.639,19.4,18,43,0.488,21,0.5,1,"November 10, 2019",26.9,7,20.9,9,118.5,65.6,21,0.475,61,0.426,26,0.262,16,0.75,12,1,200,86.4,17.1,6,15,70,,13.6,11,0.377,23,0.261,6,40.3,27,0.51,20.0,17,38,0.526,20,0.5,1,"Henderson Center, Huntington, West Virginia",MARSHALL,Marshall,80.9,Away,TOLEDO,Toledo,Toledo,mac
2019-11-16-14-toledo,73.9,17,6.3,2,104.5,84.4,27,0.397,68,0.338,23,0.074,5,0.4,2,4,200,83.6,27.3,12,18,56,,10.4,7,0.382,26,0.308,8,51.3,39,0.398,11.4,9,42,0.357,15,0.2,1,"November 16, 2019",70.8,17,4.8,2,83.6,72.7,32,0.548,52,0.462,24,0.404,21,0.619,13,1,200,104.5,15.6,5,9,70,,7.5,5,0.385,20,0.45,9,48.7,37,0.565,14.0,10,32,0.469,15,0.667,2,"John F. Savage Hall, Toledo, Ohio",ROBERT-MORRIS,Robert Morris,67.2,Home,TOLEDO,Toledo,Toledo,mac
2019-11-17-14-toledo,40.0,10,5.1,2,149.3,51.7,15,0.445,64,0.391,25,0.234,15,0.733,11,5,200,90.7,31.6,12,33,68,,6.7,5,0.313,20,0.35,7,40.3,27,0.478,18.5,16,44,0.409,18,0.0,0,"November 17, 2019",50.0,17,11.4,5,90.7,68.4,26,0.675,57,0.596,34,0.772,44,0.795,35,1,200,149.3,48.3,14,15,112,,8.0,6,0.316,18,0.5,9,59.7,40,0.719,11.6,10,39,0.641,25,0.75,3,"John F. Savage Hall, Toledo, Ohio",HOWARD,Howard,74.5,Home,TOLEDO,Toledo,Toledo,mac
2019-11-21-20-notre-dame,50.0,12,5.3,2,77.1,84.0,42,0.391,69,0.348,24,0.188,13,0.615,8,2,225,74.7,24.4,11,22,62,,8.4,7,0.391,27,0.222,6,55.8,53,0.412,21.9,21,42,0.429,18,0.6,3,"November 21, 2019",56.5,13,14.3,6,74.7,75.6,34,0.37,73,0.315,23,0.233,17,0.588,10,1,225,77.1,16.0,8,16,64,,14.5,12,0.479,35,0.229,8,44.2,42,0.395,9.0,8,38,0.395,15,0.833,5,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",TOLEDO,Toledo,73.9,Home,NOTRE-DAME,Notre Dame,Toledo,mac
2019-11-23-14-toledo,53.3,8,7.5,3,126.6,58.3,21,0.313,56,0.268,15,0.143,8,0.75,6,0,200,51.9,15.8,6,18,41,,7.6,6,0.411,23,0.217,5,36.5,27,0.343,30.4,26,33,0.303,10,0.0,0,"November 23, 2019",67.6,25,24.2,8,51.9,84.2,32,0.567,75,0.493,37,0.253,19,0.789,15,2,200,126.6,41.7,15,7,100,,16.5,13,0.467,35,0.314,11,63.5,47,0.595,9.7,9,40,0.65,26,0.667,4,"John F. Savage Hall, Toledo, Ohio","Northwestern Ohio
			","Northwestern Ohio
			",78.9,Home,TOLEDO,Toledo,Toledo,mac
2019-11-30-19-toledo,64.0,16,9.5,2,101.6,63.0,17,0.509,56,0.446,25,0.25,14,0.429,6,4,200,98.4,32.4,11,18,63,,7.8,5,0.411,23,0.304,7,45.9,28,0.503,18.4,14,33,0.545,18,0.5,4,"November 30, 2019",68.2,15,9.1,3,98.4,67.6,23,0.519,53,0.415,22,0.283,15,0.667,10,2,200,101.6,37.0,10,16,65,,10.9,7,0.604,32,0.344,11,54.1,33,0.541,16.8,12,21,0.524,11,0.714,5,"John F. Savage Hall, Toledo, Ohio",OAKLAND,Oakland,63.9,Home,TOLEDO,Toledo,Toledo,mac
2019-12-04-19-cleveland-state,68.2,15,24.5,13,90.3,67.3,33,0.561,49,0.449,22,0.673,33,0.758,25,2,200,111.1,16.7,5,20,80,,11.1,8,0.49,24,0.458,11,48.1,38,0.618,14.8,11,25,0.44,11,0.75,6,"December 4, 2019",36.4,8,4.0,1,111.1,83.3,25,0.386,66,0.333,22,0.364,24,0.583,14,5,200,90.3,32.7,16,24,65,,8.3,6,0.197,13,0.538,7,51.9,41,0.42,12.6,11,53,0.283,15,0.444,4,"Wolstein Center, Cleveland, Ohio",CLEVELAND-STATE,Cleveland State,71.5,Away,TOLEDO,Toledo,Toledo,mac
2019-12-08-14-toledo,50.0,14,11.1,4,109.3,63.2,24,0.508,65,0.431,28,0.138,9,0.667,6,6,200,96.0,30.6,11,20,72,,10.7,8,0.477,31,0.323,10,47.3,35,0.52,19.8,17,34,0.529,18,0.25,2,"December 8, 2019",64.0,16,5.9,2,96.0,69.4,25,0.476,62,0.403,25,0.532,33,0.697,23,2,200,109.3,36.8,14,9,82,,14.7,11,0.419,26,0.346,9,52.7,39,0.528,12.6,11,36,0.444,16,0.778,7,"John F. Savage Hall, Toledo, Ohio",MARSHALL,Marshall,75.0,Home,TOLEDO,Toledo,Toledo,mac
2019-12-14-15-detroit-mercy,65.2,15,8.8,3,104.3,73.5,25,0.492,59,0.39,23,0.475,28,0.786,22,2,200,115.9,34.3,12,12,80,,5.8,4,0.424,25,0.48,12,53.6,37,0.553,11.2,9,34,0.324,11,0.8,8,"December 14, 2019",62.5,15,20.6,7,115.9,65.7,23,0.492,62,0.387,24,0.21,13,0.846,11,9,200,104.3,26.5,9,17,72,,5.8,4,0.452,28,0.464,13,46.4,32,0.528,12.9,10,34,0.324,11,0.1,1,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,69.2,Away,TOLEDO,Toledo,Toledo,mac
