,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-texas-tech,43.5,10,2.3,1,114.9,85.2,23,0.456,57,0.404,23,0.228,13,0.615,8,1,200,81.1,14.7,5,20,60,,6.8,5,0.281,16,0.375,6,45.9,28,0.475,18.2,14,41,0.415,17,0.0,0,"November 5, 2019",78.1,25,12.2,5,81.1,85.3,29,0.621,58,0.552,32,0.328,19,0.684,13,0,200,114.9,14.8,4,16,85,13,9.5,7,0.259,15,0.533,8,54.1,33,0.634,16.4,13,43,0.558,24,1.0,1,"United Supermarkets Arena, Lubbock, Texas",EASTERN-ILLINOIS,Eastern Illinois,74.1,Home,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2019-11-09-20-texas-tech,23.5,4,12.5,5,103.9,67.9,19,0.325,57,0.298,17,0.175,10,0.7,7,1,200,57.9,14.3,5,19,44,,6.6,5,0.298,17,0.176,3,38.1,24,0.356,24.6,20,40,0.35,14,0.5,1,"November 9, 2019",78.6,22,10.0,4,57.9,85.7,30,0.534,59,0.475,28,0.373,22,0.727,16,0,200,103.9,32.1,9,15,79,13,11.8,9,0.322,19,0.368,7,61.9,39,0.569,17.9,15,40,0.525,21,1.0,2,"United Supermarkets Arena, Lubbock, Texas",BETHUNE-COOKMAN,Bethune-Cookman,76.1,Home,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2019-11-13-20-houston-baptist,77.5,31,12.5,5,88.1,73.8,31,0.649,67,0.597,40,0.358,24,0.667,16,0,200,122.6,44.8,13,20,103,11,14.3,12,0.239,16,0.438,7,62.0,44,0.657,22.1,22,51,0.647,33,1.0,3,"November 13, 2019",46.2,12,3.9,2,122.6,55.2,16,0.47,66,0.394,26,0.273,18,0.667,12,3,200,88.1,26.2,11,20,74,,10.7,9,0.394,26,0.385,10,38.0,27,0.496,19.6,18,40,0.4,16,0.0,0,"Chaparral Center, Midland, Texas",HOUSTON-BAPTIST,Houston Baptist,84.5,Away,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2019-11-21-20-texas-tech,56.3,9,7.4,2,104.3,71.9,23,0.406,48,0.333,16,0.375,18,0.722,13,2,181,82.6,18.2,6,26,52,,7.2,5,0.563,27,0.259,7,44.6,29,0.504,23.3,17,21,0.429,9,0.6,3,"November 21, 2019",58.8,10,4.8,1,82.6,81.8,27,0.4,50,0.34,17,0.76,38,0.842,32,0,181,104.3,28.1,9,17,72,12,13.0,9,0.46,23,0.261,6,55.4,36,0.529,15.2,12,27,0.407,11,1.0,4,"United Supermarkets Arena, Lubbock, Texas",TENNESSEE-STATE,Tennessee State,76.6,Home,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2019-11-24-14-texas-tech,42.9,9,0.0,0,129.7,59.4,19,0.52,50,0.42,21,0.38,19,0.737,14,5,200,89.2,10.7,3,22,66,,6.8,5,0.48,24,0.417,10,36.7,22,0.559,24.6,19,26,0.423,11,0.167,1,"November 24, 2019",62.9,22,11.5,3,89.2,89.3,25,0.596,68,0.515,35,0.294,20,0.75,15,0,200,129.7,40.6,13,17,96,12,5.4,4,0.279,19,0.579,11,63.3,38,0.619,10.5,9,49,0.49,24,1.0,5,"United Supermarkets Arena, Lubbock, Texas",LONG-ISLAND-UNIVERSITY,LIU,74.3,Home,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2019-11-28-20-iowa,60.0,12,6.9,2,97.3,87.5,28,0.361,61,0.328,20,0.361,22,0.773,17,1,200,82.4,23.1,9,22,61,12,10.8,8,0.393,24,0.167,4,52.1,37,0.427,13.5,11,37,0.432,16,0.833,5,"November 28, 2019",87.0,20,8.1,3,82.4,76.9,30,0.509,56,0.411,23,0.339,19,0.789,15,1,200,97.3,12.5,4,21,72,,10.8,8,0.482,27,0.407,11,47.9,34,0.554,17.9,14,29,0.414,12,0.833,5,"Orleans Arena, Paradise, Nevada",TEXAS-TECH,Texas Tech,74.2,Home,IOWA,Iowa,Texas Tech,big-12
2019-11-29-22-creighton,65.5,19,5.9,2,116.9,72.4,21,0.493,67,0.433,29,0.179,12,0.833,10,2,225,107.0,25.0,9,21,76,12,8.5,6,0.448,30,0.267,8,46.2,30,0.523,8.8,7,37,0.568,21,0.714,5,"November 29, 2019",46.7,14,5.4,2,107.0,75.0,27,0.603,58,0.517,30,0.345,20,0.65,13,2,225,116.9,27.6,8,16,83,,5.6,4,0.414,24,0.417,10,53.8,35,0.615,15.2,12,34,0.588,20,0.714,5,"Orleans Arena, Paradise, Nevada",TEXAS-TECH,Texas Tech,63.2,Home,CREIGHTON,Creighton,Texas Tech,big-12
2019-12-04-20-depaul,42.9,9,7.1,3,90.3,71.1,27,0.453,53,0.396,21,0.283,15,0.8,12,3,225,83.3,29.0,9,20,60,,6.9,5,0.34,18,0.333,6,52.2,36,0.499,26.1,21,35,0.429,15,0.625,5,"December 4, 2019",68.0,17,17.1,6,83.3,71.0,22,0.437,63,0.397,25,0.286,18,0.556,10,0,225,90.3,28.9,11,17,65,,16.7,12,0.333,21,0.238,5,47.8,33,0.454,14.5,12,42,0.476,20,1.0,9,"Wintrust Arena, Chicago, Illinois",TEXAS-TECH,Texas Tech,64.3,Home,DEPAUL,DePaul,Texas Tech,big-12
2019-12-10-19-louisville,65.2,15,11.1,4,74.0,83.8,31,0.457,58,0.397,23,0.379,22,0.773,17,3,200,90.9,14.3,5,18,70,,10.4,8,0.466,27,0.259,7,50.0,36,0.511,16.1,13,31,0.516,16,0.667,6,"December 10, 2019",55.6,10,6.5,2,90.9,85.7,30,0.368,53,0.34,18,0.472,25,0.72,18,1,200,74.0,16.2,6,19,57,1,7.8,6,0.321,17,0.176,3,50.0,36,0.439,22.0,18,36,0.417,15,0.9,9,"Madison Square Garden (IV), New York, New York",LOUISVILLE,Louisville,76.7,Away,TEXAS-TECH,Texas Tech,Texas Tech,big-12
2019-12-16-19-texas-tech,42.3,11,8.8,3,100.0,72.4,21,0.518,55,0.473,26,0.218,12,0.667,8,9,200,91.5,23.1,6,19,65,,7.0,5,0.291,16,0.313,5,49.1,27,0.535,19.9,15,39,0.538,21,0.25,3,"December 16, 2019",47.6,10,7.7,3,91.5,76.9,20,0.42,56,0.375,21,0.482,27,0.889,24,3,200,100.0,27.6,8,9,71,24,9.9,7,0.393,22,0.227,5,50.9,28,0.516,13.9,11,34,0.471,16,0.7,7,"United Supermarkets Arena, Lubbock, Texas",SOUTHERN-MISSISSIPPI,Southern Miss,70.8,Home,TEXAS-TECH,Texas Tech,Texas Tech,big-12
