,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-texas-tech,43.5,10,2.3,1,114.9,85.2,23,0.456,57,0.404,23,0.228,13,0.615,8,1,200,81.1,14.7,5,20,60,,6.8,5,0.281,16,0.375,6,45.9,28,0.475,18.2,14,41,0.415,17,0.0,0,"November 5, 2019",78.1,25,12.2,5,81.1,85.3,29,0.621,58,0.552,32,0.328,19,0.684,13,0,200,114.9,14.8,4,16,85,13,9.5,7,0.259,15,0.533,8,54.1,33,0.634,16.4,13,43,0.558,24,1.0,1,"United Supermarkets Arena, Lubbock, Texas",EASTERN-ILLINOIS,Eastern Illinois,74.1,Home,TEXAS-TECH,Texas Tech,Eastern Illinois,ovc
2019-11-08-20-wisconsin,42.9,9,10.8,4,97.0,65.7,23,0.389,63,0.333,21,0.127,8,0.375,3,2,198,77.6,25.6,10,22,52,,9.0,6,0.302,19,0.368,7,44.6,33,0.389,14.2,11,44,0.318,14,0.0,0,"November 8, 2019",33.3,7,27.3,12,77.6,74.4,29,0.409,55,0.382,21,0.436,24,0.833,20,1,198,97.0,34.3,12,13,65,,9.0,6,0.327,18,0.167,3,55.4,41,0.489,14.4,11,37,0.486,18,0.5,1,"Kohl Center, Madison, Wisconsin",EASTERN-ILLINOIS,Eastern Illinois,67.3,Home,WISCONSIN,Wisconsin,Eastern Illinois,ovc
2019-11-12-20-eastern-illinois,36.4,4,8.2,4,122.5,67.5,27,0.245,47,0.234,11,0.383,18,0.611,11,2,200,42.5,5.9,2,18,34,,5.0,4,0.277,13,0.077,1,39.2,29,0.306,32.1,26,34,0.294,10,0.333,1,"November 12, 2019",82.9,29,8.8,3,42.5,94.1,32,0.549,72,0.486,35,0.319,23,0.826,19,2,200,122.5,32.5,13,18,98,,15.0,12,0.319,23,0.391,9,60.8,45,0.591,10.9,10,49,0.531,26,0.333,1,"Lantz Arena, Charleston, Illinois",CHICAGO-STATE,Chicago State,79.7,Home,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,ovc
2019-11-18-20-eastern-illinois,40.9,9,1.9,1,131.0,62.9,22,0.369,65,0.338,22,0.354,23,0.565,13,0,200,70.1,20.0,9,23,61,,5.7,5,0.323,21,0.19,4,38.8,31,0.402,20.2,19,44,0.409,18,0.0,0,"November 18, 2019",69.0,29,11.4,5,70.1,80.0,36,0.607,75,0.56,42,0.413,31,0.742,23,2,200,131.0,37.1,13,18,114,,16.1,14,0.307,23,0.304,7,61.3,49,0.635,11.0,11,52,0.673,35,0.5,2,"Lantz Arena, Charleston, Illinois","Indiana-Northwest
			","Indiana-Northwest
			",86.8,Home,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,ovc
2019-11-22-15-eastern-illinois,80.0,12,2.4,1,122.5,28.0,7,0.342,60,0.25,15,0.133,8,0.75,6,0,200,66.2,15.4,6,15,47,,8.5,6,0.55,33,0.333,11,20.3,13,0.368,19.1,15,27,0.148,4,0.0,0,"November 22, 2019",55.9,19,22.2,6,66.2,84.6,33,0.653,59,0.576,34,0.271,16,0.625,10,2,200,122.5,72.0,18,10,87,,8.5,6,0.305,18,0.5,9,79.7,51,0.653,23.2,20,41,0.61,25,0.6,3,"McDermott Center, San Antonio, Texas","St. Francis (IL)
			","St. Francis (IL)
			",70.7,Home,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,ovc
2019-11-23-13-eastern-illinois,60.0,15,2.9,1,94.0,78.8,26,0.53,50,0.5,25,0.36,18,0.722,13,2,200,98.5,34.8,8,16,66,,10.4,7,0.4,20,0.15,3,60.7,34,0.564,19.5,14,30,0.733,22,0.667,4,"November 23, 2019",58.3,14,0.0,0,98.5,65.2,15,0.474,58,0.414,24,0.224,13,0.615,8,3,200,94.0,21.2,7,18,63,,6.0,4,0.397,23,0.304,7,39.3,22,0.491,16.9,13,35,0.486,17,0.5,3,"McDermott Center, San Antonio, Texas",EASTERN-ILLINOIS,Eastern Illinois,67.4,Away,BETHUNE-COOKMAN,Bethune-Cookman,Eastern Illinois,ovc
2019-11-24-15-incarnate-word,56.5,13,9.4,3,90.0,78.3,18,0.422,58,0.397,23,0.552,32,0.719,23,3,200,102.9,37.8,14,13,72,,17.1,12,0.328,19,0.158,3,53.3,32,0.492,11.1,9,39,0.513,20,0.571,4,"November 24, 2019",58.3,14,7.7,3,102.9,62.2,23,0.538,52,0.462,24,0.192,10,0.7,7,5,200,90.0,21.7,5,25,63,,7.1,5,0.385,20,0.4,8,46.7,28,0.555,26.2,20,32,0.5,16,0.286,2,"McDermott Center, San Antonio, Texas",INCARNATE-WORD,Incarnate Word,70.0,Away,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,ovc
2019-12-04-19-ipfw,24.1,7,6.1,2,101.4,64.5,20,0.485,65,0.446,29,0.123,8,0.75,6,4,200,94.5,32.3,10,18,69,,11.0,8,0.262,17,0.294,5,48.4,30,0.501,18.0,15,48,0.5,24,0.5,4,"December 4, 2019",42.3,11,4.2,2,94.5,67.7,21,0.555,55,0.473,26,0.382,21,0.619,13,5,200,101.4,35.5,11,12,74,,11.0,8,0.4,22,0.409,9,51.6,32,0.569,22.8,19,33,0.515,17,0.545,6,"Allen County War Memorial Coliseum, Fort Wayne, Indiana",EASTERN-ILLINOIS,Eastern Illinois,73.4,Home,IPFW,Purdue-Fort Wayne,Eastern Illinois,ovc
2019-12-07-16-eastern-illinois,40.0,10,5.0,2,120.8,50.0,11,0.5,59,0.424,25,0.39,23,0.913,21,6,200,103.9,23.5,8,20,80,,14.3,11,0.424,25,0.36,9,33.9,19,0.572,17.8,15,34,0.471,16,0.333,3,"December 7, 2019",50.0,17,11.8,4,103.9,76.5,26,0.679,56,0.607,34,0.411,23,0.739,17,4,200,120.8,50.0,11,17,93,,6.5,5,0.286,16,0.5,8,66.1,37,0.695,24.1,21,40,0.65,26,0.556,5,"Lantz Arena, Charleston, Illinois",GREEN-BAY,Green Bay,76.9,Home,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,ovc
2019-12-14-20-milwaukee,42.9,12,17.0,8,89.5,68.8,33,0.553,57,0.491,28,0.281,16,0.75,12,4,200,98.7,41.9,13,17,75,,13.2,10,0.281,16,0.438,7,58.2,46,0.58,24.7,21,41,0.512,21,0.6,6,"December 14, 2019",38.1,8,12.2,5,98.7,58.1,18,0.37,69,0.304,21,0.333,23,0.739,17,6,200,89.5,31.3,15,20,68,,9.2,7,0.319,22,0.409,9,41.8,33,0.425,15.0,14,47,0.255,12,0.455,5,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,75.8,Away,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,ovc
2019-12-16-20-western-illinois,38.7,12,15.2,5,65.3,75.0,30,0.547,64,0.484,31,0.266,17,0.882,15,4,200,118.1,27.3,9,14,85,,18.1,13,0.375,24,0.333,8,53.4,39,0.59,11.2,9,40,0.575,23,0.636,7,"December 16, 2019",56.3,9,2.5,1,118.1,72.7,24,0.327,55,0.291,16,0.309,17,0.647,11,7,200,65.3,25.0,10,13,47,,2.8,2,0.4,22,0.182,4,46.6,34,0.373,23.3,19,33,0.364,12,0.222,2,"Western Hall, Macomb, Illinois",WESTERN-ILLINOIS,Western Illinois,72.1,Away,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,ovc
2019-12-21-20-grand-canyon,68.4,13,20.5,9,114.9,72.2,26,0.383,60,0.317,19,0.45,27,0.63,17,5,200,85.1,22.7,10,19,63,,6.8,5,0.5,30,0.267,8,45.0,36,0.433,13.3,11,30,0.367,11,0.583,7,"December 21, 2019",48.3,14,3.3,1,85.1,77.3,34,0.548,63,0.46,29,0.317,20,0.8,16,9,200,114.9,27.8,10,19,85,,5.4,4,0.302,19,0.579,11,55.0,44,0.586,13.3,11,44,0.409,18,0.357,5,"Grand Canyon University Arena, Phoenix, Arizona",EASTERN-ILLINOIS,Eastern Illinois,73.7,Home,GRAND-CANYON,Grand Canyon,Eastern Illinois,ovc
