,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-07-19-marshall,45.8,11,2.6,1,95.7,62.2,23,0.43,64,0.375,24,0.125,8,0.625,5,1,200,85.7,31.6,12,16,60,,11.4,8,0.344,22,0.318,7,46.7,35,0.442,17.2,14,42,0.405,17,0.0,0,"November 7, 2019",42.3,11,21.4,9,85.7,68.4,26,0.475,59,0.441,26,0.339,20,0.55,11,0,200,95.7,37.8,14,10,67,,12.9,9,0.339,20,0.2,4,53.3,40,0.489,19.1,16,39,0.564,22,1.0,1,"Henderson Center, Huntington, West Virginia",ROBERT-MORRIS,Robert Morris,70.2,Home,MARSHALL,Marshall,Marshall,cusa
2019-11-10-14-marshall,54.3,19,7.9,3,86.4,82.9,29,0.618,68,0.515,35,0.221,15,0.8,12,1,200,118.5,34.4,11,14,96,,13.6,11,0.368,25,0.56,14,59.7,40,0.639,19.4,18,43,0.488,21,0.5,1,"November 10, 2019",26.9,7,20.9,9,118.5,65.6,21,0.475,61,0.426,26,0.262,16,0.75,12,1,200,86.4,17.1,6,15,70,,13.6,11,0.377,23,0.261,6,40.3,27,0.51,20.0,17,38,0.526,20,0.5,1,"Henderson Center, Huntington, West Virginia",MARSHALL,Marshall,80.9,Away,TOLEDO,Toledo,Marshall,cusa
2019-11-15-19-notre-dame,42.3,11,10.4,5,96.1,58.8,30,0.431,65,0.4,26,0.2,13,0.615,8,2,200,83.1,25.6,10,17,64,,3.9,3,0.338,22,0.182,4,44.4,40,0.45,19.4,17,43,0.512,22,0.333,1,"November 15, 2019",50.0,12,2.3,1,83.1,74.4,29,0.362,76,0.316,24,0.342,26,0.731,19,1,200,96.1,41.2,21,10,74,,11.7,9,0.368,28,0.25,7,55.6,50,0.419,8.4,8,48,0.354,17,0.75,3,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",MARSHALL,Marshall,76.8,Home,NOTRE-DAME,Notre Dame,Marshall,cusa
2019-11-19-19-marshall,26.7,8,7.1,3,84.6,66.7,28,0.508,62,0.484,30,0.355,22,0.591,13,1,200,97.4,21.9,7,20,76,,11.5,9,0.226,14,0.214,3,47.3,35,0.524,15.4,13,48,0.563,27,0.75,3,"November 19, 2019",34.8,8,20.8,10,97.4,78.1,25,0.418,61,0.377,23,0.459,28,0.536,15,3,200,84.6,33.3,14,20,66,,9.0,7,0.311,19,0.263,5,52.7,39,0.444,19.7,18,42,0.429,18,0.25,1,"Henderson Center, Huntington, West Virginia",MARSHALL,Marshall,78.4,Away,COLLEGE-OF-CHARLESTON,College of Charleston,Marshall,cusa
2019-11-21-20-marshall,44.4,8,2.2,1,113.8,65.5,19,0.391,55,0.327,18,0.6,33,0.606,20,6,200,78.8,19.4,7,12,63,,11.3,9,0.418,23,0.304,7,40.0,26,0.446,18.7,16,32,0.344,11,0.0,0,"November 21, 2019",74.4,29,28.1,9,78.8,80.6,29,0.634,67,0.582,39,0.179,12,0.5,6,3,200,113.8,34.5,10,24,91,,13.8,11,0.328,22,0.318,7,60.0,39,0.626,19.0,17,45,0.711,32,0.4,2,"Henderson Center, Huntington, West Virginia",HOWARD,Howard,79.7,Home,MARSHALL,Marshall,Marshall,cusa
2019-11-29-21-florida,48.0,12,12.5,5,96.1,76.7,23,0.46,62,0.403,25,0.258,16,0.625,10,4,200,88.2,14.3,5,20,67,,13.2,10,0.403,25,0.28,7,43.1,28,0.481,13.7,11,37,0.486,18,0.333,2,"November 29, 2019",15.4,4,13.5,5,88.2,85.7,30,0.483,58,0.448,26,0.414,24,0.708,17,2,200,96.1,23.3,7,12,73,24,9.2,7,0.31,18,0.222,4,56.9,37,0.526,15.9,13,40,0.55,22,0.75,6,"Stephen C. O'Connell Center, Gainesville, Florida",MARSHALL,Marshall,75.5,Home,FLORIDA,Florida,Marshall,cusa
2019-12-04-19-marshall,53.6,15,6.8,3,94.8,87.1,27,0.558,60,0.467,28,0.433,26,0.692,18,2,200,110.4,41.7,15,18,85,,6.5,5,0.367,22,0.5,11,62.7,42,0.587,20.1,18,38,0.447,17,0.75,6,"December 4, 2019",42.9,12,10.5,4,110.4,58.3,21,0.5,61,0.459,28,0.262,16,0.75,12,5,200,94.8,12.9,4,24,73,,10.4,8,0.279,17,0.294,5,37.3,25,0.532,18.1,15,44,0.523,23,0.286,2,"Henderson Center, Huntington, West Virginia",MARSHALL,Marshall,77.5,Away,AKRON,Akron,Marshall,cusa
2019-12-08-14-toledo,50.0,14,11.1,4,109.3,63.2,24,0.508,65,0.431,28,0.138,9,0.667,6,6,200,96.0,30.6,11,20,72,,10.7,8,0.477,31,0.323,10,47.3,35,0.52,19.8,17,34,0.529,18,0.25,2,"December 8, 2019",64.0,16,5.9,2,96.0,69.4,25,0.476,62,0.403,25,0.532,33,0.697,23,2,200,109.3,36.8,14,9,82,,14.7,11,0.419,26,0.346,9,52.7,39,0.528,12.6,11,36,0.444,16,0.778,7,"John F. Savage Hall, Toledo, Ohio",MARSHALL,Marshall,75.0,Home,TOLEDO,Toledo,Marshall,cusa
2019-12-11-19-marshall,66.7,12,5.1,2,98.9,71.1,27,0.309,68,0.265,18,0.206,14,0.571,8,0,200,57.5,26.5,13,20,50,,8.0,7,0.412,28,0.214,6,46.0,40,0.335,26.0,26,40,0.3,12,0.0,0,"December 11, 2019",53.1,17,35.0,14,57.5,73.5,36,0.522,67,0.478,32,0.403,27,0.593,16,6,200,98.9,28.9,11,15,86,,18.4,16,0.418,28,0.214,6,54.0,47,0.539,18.6,18,39,0.667,26,0.333,3,"Henderson Center, Huntington, West Virginia","Bluefield State
			","Bluefield State
			",87.2,Home,MARSHALL,Marshall,Marshall,cusa
2019-12-16-19-morehead-state,56.7,17,12.1,4,82.7,76.5,26,0.53,66,0.455,30,0.364,24,0.792,19,6,200,118.7,37.8,14,22,89,,14.7,11,0.409,27,0.37,10,56.3,40,0.575,12.6,11,39,0.513,20,0.4,4,"December 16, 2019",68.4,13,17.9,7,118.7,62.2,23,0.42,50,0.38,19,0.66,33,0.606,20,6,200,82.7,23.5,8,17,62,,5.3,4,0.34,17,0.235,4,43.7,31,0.472,21.8,18,33,0.455,15,0.455,5,"Ellis T. Johnson Arena, Morehead, Kentucky",MOREHEAD-STATE,Morehead State,75.0,Away,MARSHALL,Marshall,Marshall,cusa
