,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-saint-louis,66.7,16,11.4,5,125.4,52.9,18,0.577,52,0.462,24,0.173,9,0.778,7,1,200,94.4,20.0,5,16,67,,5.6,4,0.519,27,0.444,12,39.0,23,0.595,24.3,18,25,0.48,12,0.0,0,"November 5, 2019",47.1,16,20.0,5,94.4,80.0,20,0.556,71,0.479,34,0.254,18,0.556,10,0,200,125.4,47.1,16,16,89,,14.1,10,0.38,27,0.407,11,61.0,36,0.559,10.2,9,44,0.523,23,1.0,1,"Chaifetz Arena, St. Louis, Missouri",FLORIDA-GULF-COAST,Florida Gulf Coast,70.9,Home,SAINT-LOUIS,Saint Louis,Florida Gulf Coast,atlantic-sun
2019-11-09-15-florida-gulf-coast,26.3,5,3.4,1,87.1,67.5,27,0.4,55,0.345,19,0.673,37,0.568,21,0,200,92.9,32.6,14,28,65,,4.3,3,0.382,21,0.286,6,49.4,41,0.448,12.3,10,34,0.382,13,1.0,2,"November 9, 2019",62.5,10,8.8,3,92.9,67.4,29,0.349,53,0.302,16,0.698,37,0.649,24,2,200,87.1,32.5,13,26,61,,5.7,4,0.453,24,0.208,5,50.6,42,0.432,15.8,13,29,0.379,11,0.0,0,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,69.6,Away,MARYLAND-BALTIMORE-COUNTY,UMBC,Florida Gulf Coast,atlantic-sun
2019-11-11-19-dartmouth,70.6,12,6.9,2,83.3,76.3,29,0.41,50,0.34,17,0.24,12,0.667,8,3,200,74.2,12.5,4,16,49,,7.6,5,0.52,26,0.269,7,47.1,33,0.44,20.2,14,24,0.417,10,0.0,0,"November 11, 2019",70.0,14,16.7,4,74.2,87.5,28,0.421,57,0.351,20,0.228,13,0.538,7,0,200,83.3,23.7,9,14,55,,9.1,6,0.491,28,0.286,8,52.9,37,0.435,16.1,12,29,0.414,12,1.0,2,"Leede Arena, Hanover, New Hampshire",FLORIDA-GULF-COAST,Florida Gulf Coast,65.9,Home,DARTMOUTH,Dartmouth,Florida Gulf Coast,atlantic-sun
2019-11-15-19-mercer,59.1,13,8.9,4,107.7,69.6,16,0.447,57,0.386,22,0.386,22,0.773,17,4,200,87.2,24.3,9,16,68,,12.8,10,0.368,21,0.333,7,41.7,25,0.504,24.0,21,36,0.417,15,0.0,0,"November 15, 2019",46.9,15,8.3,3,87.2,75.7,28,0.583,60,0.533,32,0.25,15,0.933,14,1,200,107.7,30.4,7,19,84,,11.5,9,0.25,15,0.4,6,58.3,35,0.626,20.3,17,45,0.578,26,0.75,3,"Hawkins Arena, Macon, Georgia",FLORIDA-GULF-COAST,Florida Gulf Coast,78.3,Home,MERCER,Mercer,Florida Gulf Coast,atlantic-sun
2019-11-20-19-florida-gulf-coast,39.1,9,4.4,2,90.0,71.9,23,0.49,52,0.442,23,0.577,30,0.633,19,3,225,87.5,27.6,8,17,70,,11.3,9,0.308,16,0.313,5,50.8,31,0.528,24.4,21,36,0.5,18,0.4,2,"November 20, 2019",40.0,12,11.1,4,87.5,72.4,21,0.516,64,0.469,30,0.156,10,0.6,6,4,225,90.0,28.1,9,25,72,,17.5,14,0.297,19,0.316,6,49.2,30,0.524,22.6,20,45,0.533,24,0.2,1,"Alico Arena, Fort Myers, Florida",FLORIDA-ATLANTIC,Florida Atlantic,70.7,Home,FLORIDA-GULF-COAST,Florida Gulf Coast,Florida Gulf Coast,atlantic-sun
2019-11-23-19-virginia-commonwealth,73.7,14,15.2,7,111.4,62.2,28,0.45,50,0.38,19,0.08,4,0.75,3,5,200,68.6,23.3,7,8,48,,7.1,5,0.34,17,0.412,7,46.7,35,0.462,27.9,20,33,0.364,12,0.167,1,"November 23, 2019",57.1,16,24.2,8,68.6,76.7,23,0.428,76,0.368,28,0.211,16,0.813,13,0,200,111.4,37.8,17,9,78,21,21.4,15,0.395,30,0.3,9,53.3,40,0.467,8.8,8,46,0.413,19,1.0,5,"Stuart Siegel Center, Richmond, Virginia",FLORIDA-GULF-COAST,Florida Gulf Coast,69.8,Home,VIRGINIA-COMMONWEALTH,VCU,Florida Gulf Coast,atlantic-sun
2019-11-26-19-florida-gulf-coast,31.8,7,6.4,3,101.4,65.9,27,0.463,54,0.407,22,0.315,17,0.529,9,0,200,81.9,21.2,7,13,59,,9.7,7,0.333,18,0.333,6,45.9,34,0.475,20.7,16,36,0.444,16,0.0,0,"November 26, 2019",69.0,20,16.7,6,81.9,78.8,26,0.479,73,0.397,29,0.082,6,0.5,3,5,200,101.4,34.1,14,17,73,,6.9,5,0.356,26,0.462,12,54.1,40,0.481,12.7,11,47,0.362,17,0.286,2,"Alico Arena, Fort Myers, Florida","Florida Tech
			","Florida Tech
			",72.0,Home,FLORIDA-GULF-COAST,Florida Gulf Coast,Florida Gulf Coast,atlantic-sun
2019-11-29-19-florida-gulf-coast,60.7,17,11.8,4,88.7,81.3,26,0.553,57,0.491,28,0.298,17,0.882,15,4,200,109.9,37.0,10,18,78,,5.6,4,0.333,19,0.368,7,61.0,36,0.599,20.9,17,38,0.553,21,0.429,3,"November 29, 2019",52.4,11,7.9,3,109.9,63.0,17,0.453,53,0.396,21,0.358,19,0.789,15,6,200,88.7,18.8,6,17,63,,15.5,11,0.358,19,0.316,6,39.0,23,0.508,17.5,13,34,0.441,15,0.25,2,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,70.6,Away,NORTH-DAKOTA,North Dakota,Florida Gulf Coast,atlantic-sun
2019-11-30-19-florida-gulf-coast,55.6,10,10.0,3,70.8,64.7,22,0.447,47,0.383,18,0.234,11,0.818,9,2,200,78.5,22.6,7,16,51,,12.3,8,0.383,18,0.333,6,44.6,29,0.488,22.4,15,29,0.414,12,0.714,5,"November 30, 2019",41.7,5,6.9,2,78.5,77.4,24,0.245,55,0.218,12,0.4,22,0.864,19,7,200,70.8,35.3,12,14,46,,12.3,8,0.455,25,0.12,3,55.4,36,0.351,19.8,16,30,0.3,9,0.222,2,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,64.8,Away,CAMPBELL,Campbell,Florida Gulf Coast,atlantic-sun
2019-12-01-17-florida-gulf-coast,34.6,9,10.3,3,77.0,78.8,26,0.483,60,0.433,26,0.333,20,0.7,14,3,200,97.3,32.3,10,15,72,,18.9,14,0.383,23,0.261,6,56.3,36,0.518,15.9,13,37,0.541,20,0.625,5,"December 1, 2019",57.1,12,18.9,7,97.3,67.7,21,0.431,58,0.362,21,0.19,11,0.636,7,8,200,77.0,21.2,7,18,57,,6.8,5,0.5,29,0.276,8,43.8,28,0.451,24.1,20,29,0.448,13,0.2,2,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,74.4,Away,GEORGIA-SOUTHERN,Georgia Southern,Florida Gulf Coast,atlantic-sun
