,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-new-orleans,34.8,8,3.8,2,135.7,75.0,21,0.389,63,0.365,23,0.238,15,0.6,9,0,200,69.0,26.3,10,25,58,,3.6,3,0.349,22,0.136,3,47.0,31,0.414,26.4,25,41,0.488,20,0.0,0,"November 5, 2019",68.3,28,7.3,3,69.0,73.7,28,0.662,65,0.631,41,0.523,34,0.824,28,0,200,135.7,25.0,7,14,114,,13.1,11,0.2,13,0.308,4,53.0,35,0.702,10.1,9,52,0.712,37,1.0,1,"Kiefer Lakefront Arena, New Orleans , Louisiana","Spring Hill
			","Spring Hill
			",84.1,Home,NEW-ORLEANS,New Orleans,New Orleans,southland
2019-11-09-19-butler,33.3,7,12.2,5,123.4,57.6,19,0.48,49,0.429,21,0.163,8,0.75,6,1,200,82.8,7.7,2,20,53,,3.1,2,0.224,11,0.455,5,35.6,21,0.502,23.4,16,38,0.421,16,0.5,1,"November 9, 2019",62.1,18,5.3,2,82.8,92.3,24,0.558,60,0.483,29,0.333,20,0.6,12,0,200,123.4,42.4,14,14,79,,9.4,6,0.317,19,0.474,9,64.4,38,0.568,6.8,5,41,0.488,20,1.0,2,"Hinkle Fieldhouse, Indianapolis, Indiana",NEW-ORLEANS,New Orleans,63.7,Home,BUTLER,Butler,New Orleans,southland
2019-11-12-20-southern-methodist,59.1,13,5.6,2,110.0,70.6,24,0.381,63,0.349,22,0.365,23,0.696,16,2,200,91.4,29.3,12,23,64,,4.3,3,0.381,24,0.167,4,48.0,36,0.433,9.9,8,39,0.462,18,0.333,1,"November 12, 2019",53.6,15,5.1,2,91.4,70.7,29,0.525,59,0.475,28,0.373,22,0.682,15,0,200,110.0,29.4,10,15,77,,5.7,4,0.39,23,0.261,6,52.0,39,0.554,12.7,10,36,0.611,22,1.0,2,"Moody Coliseum, Dallas, Texas",NEW-ORLEANS,New Orleans,69.7,Home,SOUTHERN-METHODIST,SMU,New Orleans,southland
2019-11-17-15-mississippi-state,45.5,10,7.3,3,118.8,52.9,18,0.397,58,0.379,22,0.259,15,0.867,13,3,200,85.5,25.0,9,21,59,,13.0,9,0.19,11,0.182,2,38.6,27,0.453,15.7,12,47,0.426,20,0.25,1,"November 17, 2019",64.5,20,8.5,4,85.5,75.0,27,0.549,61,0.508,31,0.393,24,0.625,15,0,200,118.8,47.1,16,14,82,,8.7,6,0.328,20,0.25,5,61.4,43,0.566,16.4,14,41,0.634,26,1.0,4,"Humphrey Coliseum, Starkville, Mississippi",NEW-ORLEANS,New Orleans,69.3,Home,MISSISSIPPI-STATE,Mississippi State,New Orleans,southland
2019-11-24-22-hawaii,40.7,11,4.2,1,106.8,85.0,17,0.455,66,0.409,27,0.197,13,0.846,11,4,200,95.9,22.2,8,25,71,,16.2,12,0.242,16,0.375,6,44.6,25,0.492,13.3,11,50,0.42,21,0.2,1,"November 24, 2019",60.9,14,12.0,6,95.9,77.8,28,0.643,42,0.548,23,0.738,31,0.806,25,2,200,106.8,15.0,3,16,79,,6.8,5,0.429,18,0.444,8,55.4,31,0.696,26.4,20,24,0.625,15,0.667,4,"Stan Sheriff Center, Honolulu, Hawaii",NEW-ORLEANS,New Orleans,74.5,Home,HAWAII,Hawaii,New Orleans,southland
2019-11-29-13-new-orleans,36.8,7,1.6,1,138.9,51.4,18,0.342,60,0.317,19,0.367,22,0.864,19,0,200,66.7,19.4,7,19,60,,6.7,6,0.383,23,0.13,3,35.2,25,0.426,28.7,28,37,0.432,16,0.0,0,"November 29, 2019",58.3,28,5.4,2,66.7,80.6,29,0.633,83,0.578,48,0.349,29,0.69,20,4,200,138.9,48.6,17,17,125,,21.1,19,0.229,19,0.474,9,64.8,46,0.646,8.6,9,64,0.609,39,0.333,2,"Kiefer Lakefront Arena, New Orleans , Louisiana","Eureka
			","Eureka
			",90.1,Home,NEW-ORLEANS,New Orleans,New Orleans,southland
2019-11-30-19-new-orleans,59.1,13,6.7,3,114.5,63.3,19,0.544,45,0.489,22,0.422,19,0.684,13,0,200,89.9,14.3,3,11,62,,7.2,5,0.333,15,0.333,5,43.1,22,0.574,26.3,19,30,0.567,17,0.0,0,"November 30, 2019",75.0,24,3.3,1,89.9,85.7,18,0.563,63,0.508,32,0.19,12,0.667,8,4,200,114.5,36.7,11,17,79,,10.1,7,0.286,18,0.389,7,56.9,29,0.575,12.8,10,45,0.556,25,0.429,3,"Kiefer Lakefront Arena, New Orleans , Louisiana","Xavier (LA)
			","Xavier (LA)
			",68.9,Home,NEW-ORLEANS,New Orleans,New Orleans,southland
2019-12-03-21-louisiana-state,43.5,10,0.0,0,123.3,71.4,20,0.397,63,0.365,23,0.095,6,0.667,4,5,200,74.0,20.0,8,15,54,,9.6,7,0.175,11,0.364,4,41.2,28,0.41,17.6,14,52,0.365,19,0.375,3,"December 3, 2019",67.6,23,13.5,7,74.0,80.0,32,0.589,62,0.548,34,0.339,21,0.81,17,2,200,123.3,28.6,8,8,90,,12.3,9,0.339,21,0.238,5,58.8,40,0.625,12.3,10,41,0.707,29,0.75,6,"Maravich Assembly Center, Baton Rouge, Louisiana",NEW-ORLEANS,New Orleans,72.9,Home,LOUISIANA-STATE,LSU,New Orleans,southland
2019-12-14-19-new-orleans,77.3,17,8.7,4,139.2,58.3,14,0.481,54,0.407,22,0.148,8,0.875,7,0,200,79.7,17.9,5,17,59,,6.8,5,0.426,23,0.348,8,36.5,19,0.51,25.8,20,31,0.452,14,0.0,0,"December 14, 2019",59.0,23,9.7,3,79.7,82.1,23,0.652,66,0.591,39,0.303,20,0.85,17,5,200,139.2,41.7,10,10,103,,14.9,11,0.303,20,0.4,8,63.5,33,0.682,11.8,10,46,0.674,31,0.444,4,"Kiefer Lakefront Arena, New Orleans , Louisiana","Williams Baptist
			","Williams Baptist
			",74.2,Home,NEW-ORLEANS,New Orleans,New Orleans,southland
2019-12-18-20-new-orleans,75.0,18,7.7,3,91.0,84.6,22,0.55,50,0.48,24,0.6,30,0.733,22,5,200,98.7,27.6,8,22,77,,14.1,11,0.3,15,0.467,7,54.5,30,0.599,24.9,21,35,0.486,17,0.545,6,"December 18, 2019",59.1,13,11.4,4,98.7,72.4,21,0.49,48,0.458,22,0.542,26,0.923,24,6,200,91.0,15.4,4,27,71,,12.8,10,0.188,9,0.333,3,45.5,25,0.588,27.0,22,39,0.487,19,0.4,4,"Kiefer Lakefront Arena, New Orleans , Louisiana",NEW-ORLEANS,New Orleans,77.8,Away,ABILENE-CHRISTIAN,Abilene Christian,New Orleans,southland
