,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-college-of-charleston,25.0,5,7.9,3,105.7,73.3,22,0.411,56,0.357,20,0.268,15,0.6,9,1,200,78.6,17.9,7,23,55,,4.3,3,0.357,20,0.3,6,42.0,29,0.436,16.1,12,36,0.389,14,0.0,0,"November 5, 2019",28.0,7,2.8,1,78.6,82.1,32,0.473,56,0.446,25,0.5,28,0.75,21,0,200,105.7,26.7,8,15,74,,8.6,6,0.321,18,0.167,3,58.0,40,0.534,12.8,10,38,0.579,22,1.0,1,"TD Arena, Charleston, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,69.7,Home,COLLEGE-OF-CHARLESTON,College of Charleston,South Carolina Upstate,big-south
2019-11-08-18-south-carolina-upstate,41.7,10,0.0,0,128.8,48.4,15,0.5,53,0.453,24,0.245,13,0.692,9,0,200,77.5,20.0,6,14,62,,5.0,4,0.415,22,0.227,5,34.4,21,0.524,31.5,27,31,0.613,19,0.0,0,"November 8, 2019",53.7,22,9.7,3,77.5,80.0,24,0.615,74,0.554,41,0.216,16,0.75,12,1,200,128.8,51.6,16,18,103,,23.8,19,0.365,27,0.333,9,65.6,40,0.631,15.6,15,47,0.681,32,0.5,1,"G.B. Hodge Center, Spartanburg, South Carolina","Truett-McConnell
			","Truett-McConnell
			",80.4,Home,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,big-south
2019-11-11-19-north-carolina-central,52.2,12,7.1,2,94.8,69.2,18,0.408,65,0.354,23,0.354,23,0.478,11,2,200,83.1,25.0,10,22,64,,6.5,5,0.446,29,0.241,7,42.4,28,0.421,14.8,13,36,0.444,16,0.333,1,"November 11, 2019",69.6,16,5.6,2,83.1,75.0,30,0.598,46,0.5,23,0.5,23,0.783,18,1,200,94.8,30.8,8,25,73,,7.8,6,0.391,18,0.5,9,57.6,38,0.641,31.7,26,28,0.5,14,0.5,1,"McLendon-McDougald Gym, Durham, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,76.9,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,South Carolina Upstate,big-south
2019-11-13-19-virginia-tech,40.0,8,6.5,2,121.2,85.2,23,0.406,53,0.377,20,0.34,18,0.778,14,3,200,86.4,24.1,7,10,57,,4.5,3,0.472,25,0.12,3,53.6,30,0.463,17.6,13,28,0.607,17,0.25,1,"November 13, 2019",61.3,19,21.4,6,86.4,75.9,22,0.647,58,0.534,31,0.121,7,0.714,5,0,200,121.2,14.8,4,11,80,,9.1,6,0.466,27,0.481,13,46.4,26,0.652,11.6,8,31,0.581,18,1.0,3,"Cassell Coliseum, Blacksburg, Virginia",SOUTH-CAROLINA-UPSTATE,USC Upstate,66.4,Home,VIRGINIA-TECH,Virginia Tech,South Carolina Upstate,big-south
2019-11-18-19-akron,16.7,3,8.6,3,107.0,66.7,20,0.306,67,0.269,18,0.194,13,0.308,4,4,200,63.4,25.6,11,26,45,,2.8,2,0.239,16,0.313,5,42.5,31,0.307,11.0,9,51,0.255,13,0.2,1,"November 18, 2019",47.8,11,11.8,6,63.4,74.4,32,0.481,54,0.426,23,0.63,34,0.706,24,1,200,107.0,33.3,10,14,76,,5.6,4,0.352,19,0.316,6,57.5,42,0.542,13.8,11,35,0.486,17,0.75,3,"James A. Rhodes Arena, Akron, Ohio",SOUTH-CAROLINA-UPSTATE,USC Upstate,71.2,Home,AKRON,Akron,South Carolina Upstate,big-south
2019-11-20-19-louisville,50.0,8,0.0,0,122.6,57.7,15,0.418,49,0.327,16,0.224,11,0.818,9,5,200,80.6,12.5,4,12,50,,11.3,7,0.49,24,0.375,9,32.8,19,0.461,18.2,12,25,0.28,7,0.167,1,"November 20, 2019",75.9,22,4.0,1,80.6,87.5,28,0.588,57,0.509,29,0.211,12,0.75,9,0,200,122.6,42.3,11,11,76,2,9.7,6,0.368,21,0.429,9,67.2,39,0.606,15.0,11,36,0.556,20,1.0,5,"KFC Yum! Center, Louisville, Kentucky",SOUTH-CAROLINA-UPSTATE,USC Upstate,62.5,Home,LOUISVILLE,Louisville,South Carolina Upstate,big-south
2019-11-23-14-south-carolina-upstate,44.4,8,15.2,5,82.4,86.7,26,0.41,50,0.36,18,0.64,32,0.781,25,3,200,89.2,19.4,6,14,66,,8.1,6,0.34,17,0.294,5,52.5,32,0.506,16.9,13,33,0.394,13,0.5,3,"November 23, 2019",65.0,13,6.1,2,89.2,80.6,25,0.436,55,0.364,20,0.309,17,0.765,13,6,200,82.4,13.3,4,21,61,,5.4,4,0.4,22,0.364,8,47.5,29,0.484,20.4,16,33,0.364,12,0.143,1,"G.B. Hodge Center, Spartanburg, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,73.6,Away,YOUNGSTOWN-STATE,Youngstown State,South Carolina Upstate,big-south
2019-11-30-16-charlotte,63.2,12,3.7,1,125.8,80.0,20,0.384,56,0.339,19,0.161,9,0.444,4,7,200,71.2,16.7,6,10,47,,7.6,5,0.429,24,0.208,5,42.6,26,0.39,18.9,14,32,0.438,14,0.125,1,"November 30, 2019",48.3,14,18.8,6,71.2,83.3,30,0.676,51,0.569,29,0.353,18,0.778,14,3,200,125.8,20.0,5,12,83,,15.2,10,0.471,24,0.458,11,57.4,35,0.697,13.3,9,27,0.667,18,0.5,3,"Dale F. Halton Arena, Charlotte, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,65.9,Home,CHARLOTTE,Charlotte,South Carolina Upstate,big-south
2019-12-03-18-south-carolina-upstate,57.9,11,2.9,1,94.0,88.6,31,0.388,58,0.328,19,0.5,29,0.759,22,5,200,79.8,12.8,5,25,67,,9.5,8,0.483,28,0.25,7,48.6,36,0.467,20.3,18,30,0.4,12,0.375,3,"December 3, 2019",61.9,13,6.7,2,79.8,87.2,34,0.454,54,0.389,21,0.704,38,0.789,30,7,200,94.0,11.4,4,24,79,,6.0,5,0.37,20,0.35,7,51.4,38,0.548,18.5,16,34,0.412,14,0.222,2,"G.B. Hodge Center, Spartanburg, South Carolina",EASTERN-KENTUCKY,Eastern Kentucky,84.4,Home,SOUTH-CAROLINA-UPSTATE,USC Upstate,South Carolina Upstate,big-south
2019-12-08-14-furman,53.6,15,8.6,3,123.5,69.2,18,0.65,50,0.56,28,0.22,11,0.636,7,8,200,105.9,9.5,2,16,72,,8.8,6,0.42,21,0.429,9,42.6,20,0.652,19.2,13,29,0.655,19,0.2,2,"December 8, 2019",54.8,17,10.3,3,105.9,90.5,19,0.592,60,0.517,31,0.333,20,0.65,13,3,200,123.5,30.8,8,10,84,,11.8,8,0.417,25,0.36,9,57.4,27,0.604,10.4,8,35,0.629,22,0.727,8,"Timmons Arena, Greenville, South Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,67.9,Home,FURMAN,Furman,South Carolina Upstate,big-south
