,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-06-19-western-michigan,23.1,6,11.5,3,108.7,75.0,27,0.518,55,0.473,26,0.327,18,0.444,8,1,200,94.2,21.9,7,20,65,,4.3,3,0.345,19,0.263,5,50.0,34,0.511,18.2,14,36,0.583,21,0.0,0,"November 6, 2019",47.6,10,5.6,2,94.2,78.1,25,0.457,58,0.362,21,0.483,28,0.786,22,0,200,108.7,25.0,9,17,75,,13.0,9,0.552,32,0.344,11,50.0,34,0.526,7.9,6,26,0.385,10,1.0,1,"University Arena, Kalamazoo, Michigan",MCNEESE-STATE,McNeese State,69.4,Home,WESTERN-MICHIGAN,Western Michigan,McNeese State,southland
2019-11-09-20-louisiana-lafayette,33.3,9,6.8,3,104.9,65.7,23,0.508,59,0.458,27,0.492,29,0.69,20,2,200,98.8,33.3,11,24,80,,3.7,3,0.271,16,0.375,6,50.0,34,0.55,23.5,22,43,0.488,21,0.0,0,"November 9, 2019",46.7,14,16.3,7,98.8,66.7,22,0.5,70,0.429,30,0.286,20,0.75,15,0,200,104.9,34.3,12,23,85,,11.1,9,0.371,26,0.385,10,50.0,34,0.535,11.3,10,44,0.455,20,1.0,2,"Cajundome, Lafayette, Louisiana",MCNEESE-STATE,McNeese State,80.6,Home,LOUISIANA-LAFAYETTE,Louisiana,McNeese State,southland
2019-11-11-19-mcneese-state,40.0,6,10.0,3,136.8,66.7,20,0.284,58,0.259,15,0.069,4,0.0,0,0,200,43.4,19.0,8,20,33,,7.9,6,0.241,14,0.214,3,38.9,28,0.275,27.8,23,44,0.273,12,0.0,0,"November 11, 2019",71.9,23,9.1,4,43.4,81.0,34,0.692,60,0.533,32,0.467,28,0.75,21,2,200,136.8,33.3,10,10,104,,13.2,10,0.5,30,0.633,19,61.1,44,0.709,15.2,13,30,0.433,13,0.333,1,"H&HP Complex, Lake Charles, Louisiana","Southern-New Orleans
			","Southern-New Orleans
			",75.6,Home,MCNEESE-STATE,McNeese State,McNeese State,southland
2019-11-13-19-wisconsin,61.9,13,7.4,2,123.9,73.9,17,0.556,45,0.467,21,0.378,17,0.765,13,3,200,94.0,18.2,4,21,63,,6.0,4,0.467,21,0.381,8,46.7,21,0.593,25.5,18,24,0.542,13,0.25,1,"November 13, 2019",65.5,19,12.5,3,94.0,81.8,18,0.618,55,0.527,29,0.327,18,0.833,15,1,200,123.9,26.1,6,15,83,,14.9,10,0.509,28,0.357,10,53.3,24,0.653,12.5,9,27,0.704,19,0.667,2,"Kohl Center, Madison, Wisconsin",MCNEESE-STATE,McNeese State,66.8,Home,WISCONSIN,Wisconsin,McNeese State,southland
2019-11-16-18-new-mexico,85.7,24,17.9,7,116.9,60.6,20,0.627,55,0.509,28,0.255,14,0.786,11,4,200,103.9,20.7,6,25,80,,9.1,7,0.527,29,0.448,13,41.9,26,0.649,25.6,21,26,0.577,15,0.2,1,"November 16, 2019",78.6,22,7.7,2,103.9,79.3,23,0.542,59,0.475,28,0.593,35,0.743,26,0,200,116.9,39.4,13,15,90,,22.1,17,0.339,20,0.4,8,58.1,36,0.595,16.8,15,39,0.513,20,1.0,4,"The Pit, Albuquerque, New Mexico",MCNEESE-STATE,McNeese State,77.1,Home,NEW-MEXICO,New Mexico,McNeese State,southland
2019-11-18-19-mcneese-state,55.0,11,6.1,3,143.1,50.0,13,0.426,54,0.37,20,0.167,9,0.556,5,0,200,70.8,9.1,3,9,51,,5.6,4,0.444,24,0.25,6,27.1,16,0.438,21.6,16,30,0.467,14,0.0,0,"November 18, 2019",69.8,30,10.0,3,70.8,90.9,30,0.683,71,0.606,43,0.085,6,1.0,6,4,200,143.1,50.0,13,8,103,,15.3,11,0.31,22,0.5,11,72.9,43,0.697,14.0,12,49,0.653,32,0.333,2,"H&HP Complex, Lake Charles, Louisiana","Arlington Baptist
			","Arlington Baptist
			",72.1,Home,MCNEESE-STATE,McNeese State,McNeese State,southland
2019-11-22-19-richmond,47.6,10,11.1,3,127.9,66.7,16,0.418,55,0.382,21,0.255,14,0.786,11,5,200,83.8,25.7,9,9,57,,17.6,12,0.364,20,0.2,4,42.4,25,0.462,18.6,14,35,0.486,17,0.286,2,"November 22, 2019",71.0,22,14.3,5,83.8,74.3,26,0.709,55,0.564,31,0.182,10,0.9,9,0,200,127.9,33.3,8,16,87,,14.7,10,0.509,28,0.571,16,57.6,34,0.728,22.3,17,27,0.556,15,1.0,4,"Robins Center, Richmond, Virginia",MCNEESE-STATE,McNeese State,67.7,Home,RICHMOND,Richmond,McNeese State,southland
2019-11-30-14-texas,50.0,13,15.2,5,105.8,59.4,19,0.6,50,0.52,26,0.26,13,0.846,11,6,200,102.9,16.7,4,14,71,,5.8,4,0.32,16,0.5,8,41.1,23,0.632,23.4,17,34,0.529,18,0.25,2,"November 30, 2019",56.7,17,8.8,3,102.9,83.3,20,0.531,65,0.462,30,0.123,8,0.5,4,1,200,105.8,40.6,13,14,73,,7.2,5,0.492,32,0.281,9,58.9,33,0.531,17.0,14,33,0.636,21,0.857,6,"Frank Erwin Center, Austin, Texas",MCNEESE-STATE,McNeese State,69.5,Home,TEXAS,Texas,McNeese State,southland
2019-12-03-19-mcneese-state,46.2,12,2.2,1,132.1,48.4,15,0.454,65,0.4,26,0.092,6,0.333,2,0,200,75.3,28.9,11,14,61,,11.1,9,0.446,29,0.241,7,37.7,26,0.45,26.2,24,36,0.528,19,0.0,0,"December 3, 2019",54.8,23,8.3,3,75.3,71.1,27,0.66,72,0.583,42,0.25,18,0.667,12,6,200,132.1,51.6,16,5,107,,18.5,15,0.375,27,0.407,11,62.3,43,0.664,17.5,17,45,0.689,31,0.333,3,"H&HP Complex, Lake Charles, Louisiana","Campbellsville
			","Campbellsville
			",81.2,Home,MCNEESE-STATE,McNeese State,McNeese State,southland
2019-12-10-19-mcneese-state,37.5,9,8.8,3,110.8,85.7,18,0.491,57,0.421,24,0.404,23,0.739,17,6,200,98.6,23.3,7,30,73,,13.5,10,0.368,21,0.381,8,49.0,25,0.537,16.2,13,36,0.444,16,0.455,5,"December 10, 2019",44.4,12,33.3,12,98.6,76.7,23,0.69,42,0.643,27,0.905,38,0.632,24,6,200,110.8,14.3,3,17,82,,6.8,5,0.19,8,0.5,4,51.0,26,0.683,23.5,18,34,0.676,23,0.4,4,"H&HP Complex, Lake Charles, Louisiana",MISSOURI-KANSAS-CITY,UMKC,74.5,Home,MCNEESE-STATE,McNeese State,McNeese State,southland
