,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-08-21-utah-state,70.0,7,10.0,5,132.8,60.0,15,0.272,46,0.217,10,0.435,20,0.45,9,1,200,50.7,21.6,8,13,34,,4.5,3,0.478,22,0.227,5,37.1,23,0.306,23.7,17,24,0.208,5,0.0,0,"November 8, 2019",70.3,26,0.0,0,50.7,78.4,29,0.597,67,0.552,37,0.149,10,0.9,9,0,200,132.8,40.0,10,17,89,17,9.0,6,0.254,17,0.353,6,62.9,39,0.62,8.9,7,50,0.62,31,1.0,2,"Dee Glen Smith Spectrum, Logan, Utah",WEBER-STATE,Weber State,66.6,Home,UTAH-STATE,Utah State,Weber State,big-sky
2019-11-14-21-weber-state,46.4,13,0.0,0,81.2,72.2,26,0.571,56,0.5,28,0.161,9,0.778,7,2,200,102.9,11.1,3,13,71,,14.5,10,0.357,20,0.4,8,46.0,29,0.589,14.3,10,36,0.556,20,0.5,2,"November 14, 2019",25.0,6,2.8,1,102.9,88.9,24,0.411,62,0.387,24,0.161,10,0.5,5,2,200,81.2,27.8,10,12,56,,4.3,3,0.29,18,0.167,3,54.0,34,0.419,17.4,14,44,0.477,21,0.0,0,"Dee Events Center, Ogden, Utah",WEBER-STATE,Weber State,69.0,Away,SAN-DIEGO,San Diego,Weber State,big-sky
2019-11-19-21-weber-state,44.4,8,0.0,0,173.3,52.9,9,0.381,59,0.305,18,0.153,9,0.556,5,0,200,66.7,19.5,8,15,50,,5.3,4,0.61,36,0.25,9,29.3,17,0.395,24.1,20,23,0.391,9,0.0,0,"November 19, 2019",60.4,29,21.7,5,66.7,80.5,33,0.883,64,0.75,48,0.313,20,0.85,17,2,200,173.3,47.1,8,12,130,,12.0,9,0.484,31,0.548,17,70.7,41,0.884,11.0,9,33,0.939,31,0.333,1,"Dee Events Center, Ogden, Utah","West Coast Baptist
			","West Coast Baptist
			",74.9,Home,WEBER-STATE,Weber State,Weber State,big-sky
2019-11-25-17-wright-state,36.4,8,7.3,3,109.1,77.8,21,0.408,60,0.367,22,0.15,9,0.889,8,3,200,86.4,27.0,10,9,57,,6.1,4,0.35,21,0.238,5,48.4,31,0.443,16.9,13,39,0.436,17,0.25,1,"November 25, 2019",32.1,9,5.1,2,86.4,73.0,27,0.526,58,0.483,28,0.241,14,0.786,11,1,200,109.1,22.2,6,9,72,,10.6,7,0.293,17,0.294,5,51.6,33,0.557,9.8,7,41,0.561,23,0.833,5,"Germain Arena, Estero, Florida",WEBER-STATE,Weber State,66.5,Home,WRIGHT-STATE,Wright State,Weber State,big-sky
2019-11-26-13-weber-state,46.4,13,6.1,2,104.6,73.1,19,0.685,46,0.609,28,0.196,9,0.667,6,2,200,106.2,13.3,2,13,69,,9.2,6,0.283,13,0.538,7,51.2,21,0.686,26.5,18,33,0.636,21,0.667,4,"November 26, 2019",45.8,11,12.1,4,106.2,86.7,13,0.536,55,0.436,24,0.218,12,0.75,9,4,200,104.6,26.9,7,16,68,,6.2,4,0.4,22,0.5,11,48.8,20,0.56,15.4,11,33,0.394,13,0.2,1,"Germain Arena, Estero, Florida",WEBER-STATE,Weber State,65.5,Away,MURRAY-STATE,Murray State,Weber State,big-sky
2019-11-27-11-weber-state,61.5,16,0.0,0,101.5,88.0,22,0.713,47,0.553,26,0.277,13,0.923,12,4,200,116.2,16.7,3,20,79,,8.8,6,0.553,26,0.577,15,58.1,25,0.743,26.5,19,21,0.524,11,0.5,4,"November 27, 2019",32.0,8,9.5,2,116.2,83.3,15,0.592,49,0.51,25,0.367,18,0.611,11,5,200,101.5,12.0,3,10,69,,13.2,9,0.429,21,0.381,8,41.9,18,0.599,18.6,13,28,0.607,17,0.167,1,"Germain Arena, Estero, Florida",WEBER-STATE,Weber State,68.4,Away,NORTHEASTERN,Northeastern,Weber State,big-sky
2019-12-04-21-utah-valley,66.7,18,20.0,8,89.3,74.3,26,0.534,58,0.466,27,0.241,14,0.714,10,5,200,96.0,26.5,9,15,72,,4.0,3,0.379,22,0.364,8,50.7,35,0.557,22.8,19,36,0.528,19,0.286,2,"December 4, 2019",72.4,21,16.7,6,96.0,73.5,25,0.492,66,0.439,29,0.045,3,0.667,2,6,200,89.3,25.7,9,15,67,,9.3,7,0.394,26,0.269,7,49.3,34,0.497,20.2,17,40,0.55,22,0.4,4,"UCCU Center, Orem, Utah",UTAH-VALLEY,Utah Valley,75.0,Away,WEBER-STATE,Weber State,Weber State,big-sky
2019-12-07-21-weber-state,62.5,10,8.1,3,111.7,75.7,28,0.298,62,0.258,16,0.177,11,0.818,9,0,200,59.7,13.0,6,25,46,,11.7,9,0.452,28,0.179,5,41.0,34,0.342,18.3,15,34,0.324,11,0.0,0,"December 7, 2019",43.3,13,5.9,2,59.7,87.0,40,0.567,60,0.5,30,0.5,30,0.6,18,5,200,111.7,24.3,9,9,86,,6.5,5,0.383,23,0.348,8,59.0,49,0.579,15.1,13,37,0.595,22,0.375,3,"Dee Events Center, Ogden, Utah","Westcliff
			","Westcliff
			",77.2,Home,WEBER-STATE,Weber State,Weber State,big-sky
2019-12-14-16-utah,68.4,13,18.2,6,93.8,60.0,21,0.368,57,0.333,19,0.228,13,0.538,7,6,200,76.6,21.1,8,17,49,,10.9,7,0.316,18,0.222,4,39.7,29,0.388,11.3,8,39,0.385,15,0.333,3,"December 14, 2019",65.0,13,10.3,4,76.6,78.9,30,0.388,58,0.345,20,0.328,19,0.789,15,2,200,93.8,40.0,14,12,60,,6.3,4,0.431,25,0.2,5,60.3,44,0.448,14.2,11,33,0.455,15,0.8,8,"Vivint Smart Home Arena, Salt Lake City, Utah",WEBER-STATE,Weber State,63.6,Home,UTAH,Utah,Weber State,big-sky
2019-12-17-21-weber-state,54.5,12,5.7,2,139.7,70.4,19,0.418,61,0.361,22,0.344,21,0.524,11,0,198,79.5,5.6,2,20,62,,5.1,4,0.393,24,0.292,7,33.3,21,0.437,12.5,10,37,0.405,15,0.0,0,"December 17, 2019",62.2,23,13.5,5,79.5,94.4,34,0.702,62,0.597,37,0.468,29,0.759,22,6,198,139.7,29.6,8,19,109,,10.3,8,0.435,27,0.481,13,66.7,42,0.719,10.7,9,35,0.686,24,0.4,4,"Dee Events Center, Ogden, Utah","Bethesda University (CA)
			","Bethesda University (CA)
			",78.7,Home,WEBER-STATE,Weber State,Weber State,big-sky
