,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-southern-methodist,52.2,12,7.7,3,108.8,58.5,24,0.473,56,0.411,23,0.286,16,0.75,12,1,200,95.6,39.4,13,19,65,,10.3,7,0.393,22,0.318,7,50.0,37,0.511,22.2,18,34,0.471,16,0.0,0,"November 5, 2019",57.7,15,5.9,2,95.6,60.6,20,0.475,60,0.433,26,0.417,25,0.68,17,0,200,108.8,41.5,17,16,74,,10.3,7,0.35,21,0.238,5,50.0,37,0.515,15.5,13,39,0.538,21,1.0,1,"Moody Coliseum, Dallas, Texas",JACKSONVILLE-STATE,Jacksonville State,68.2,Home,SOUTHERN-METHODIST,SMU,Jacksonville State,ovc
2019-11-12-20-jacksonville-state,13.6,3,0.0,0,158.2,65.4,17,0.425,60,0.367,22,0.1,6,0.667,4,0,200,69.6,21.6,8,19,55,,3.8,3,0.317,19,0.368,7,39.7,25,0.438,25.1,21,41,0.366,15,0.0,0,"November 12, 2019",45.7,21,4.9,2,69.6,78.4,29,0.754,71,0.648,46,0.366,26,0.692,18,1,200,158.2,34.6,9,8,125,,17.7,14,0.366,26,0.577,15,60.3,38,0.75,7.8,7,45,0.689,31,0.5,1,"Pete Mathews Coliseum, Jacksonville, Alabama","Brescia
			","Brescia
			",78.6,Home,JACKSONVILLE-STATE,Jacksonville State,Jacksonville State,ovc
2019-11-17-12-virginia-commonwealth,29.2,7,5.0,2,116.3,80.0,20,0.413,63,0.381,24,0.302,19,0.684,13,2,200,81.3,30.0,12,11,65,,12.5,10,0.302,19,0.211,4,49.2,32,0.451,21.0,19,44,0.455,20,0.333,1,"November 17, 2019",60.5,23,29.5,13,81.3,70.0,28,0.659,66,0.576,38,0.106,7,0.857,6,0,200,116.3,20.0,5,21,93,,13.8,11,0.394,26,0.423,11,50.8,33,0.671,18.8,16,40,0.675,27,1.0,4,"Stuart Siegel Center, Richmond, Virginia",JACKSONVILLE-STATE,Jacksonville State,79.7,Home,VIRGINIA-COMMONWEALTH,VCU,Jacksonville State,ovc
2019-11-23-20-purdue,62.5,10,0.0,0,122.7,86.4,19,0.314,59,0.271,16,0.356,21,0.571,12,3,200,74.2,25.0,10,19,49,,6.1,4,0.356,21,0.238,5,46.8,29,0.355,9.3,7,38,0.289,11,0.25,1,"November 23, 2019",74.2,23,18.4,7,74.2,75.0,30,0.625,56,0.554,31,0.25,14,0.786,11,2,200,122.7,13.6,3,19,81,,3.0,2,0.357,20,0.4,8,53.2,33,0.646,8.8,6,36,0.639,23,0.6,3,"Mackey Arena, West Lafayette, Indiana",JACKSONVILLE-STATE,Jacksonville State,65.8,Home,PURDUE,Purdue,Jacksonville State,ovc
2019-11-29-12-jacksonville-state,39.1,9,14.8,4,97.3,88.5,23,0.542,48,0.479,23,0.354,17,0.588,10,5,200,84.9,14.8,4,23,62,,11.0,8,0.354,17,0.353,6,50.9,27,0.553,27.5,21,31,0.548,17,0.375,3,"November 29, 2019",66.7,16,3.2,1,84.9,85.2,23,0.592,49,0.49,24,0.367,18,0.722,13,3,200,97.3,11.5,3,19,71,,11.0,8,0.449,22,0.455,10,49.1,26,0.617,24.0,18,27,0.519,14,0.4,2,"The Arena, Niceville, Florida",CHICAGO-STATE,Chicago State,72.8,Home,JACKSONVILLE-STATE,Jacksonville State,Jacksonville State,ovc
2019-11-30-13-chattanooga,37.5,9,8.3,2,98.4,82.8,24,0.465,57,0.421,24,0.193,11,0.636,7,4,200,93.8,33.3,9,13,60,,10.9,7,0.281,16,0.313,5,58.9,33,0.482,16.3,12,41,0.463,19,0.333,2,"November 30, 2019",63.6,14,7.3,3,93.8,66.7,18,0.551,49,0.449,22,0.224,11,0.818,9,3,200,98.4,17.2,5,11,63,,3.1,2,0.51,25,0.4,10,41.1,23,0.581,19.4,13,24,0.5,12,0.625,5,"The Arena, Niceville, Florida",JACKSONVILLE-STATE,Jacksonville State,63.7,Home,CHATTANOOGA,Chattanooga,Jacksonville State,ovc
2019-12-03-19-george-mason,30.8,8,11.1,5,97.1,72.7,24,0.446,65,0.4,26,0.092,6,0.333,2,5,200,87.0,23.5,8,18,60,,7.2,5,0.354,23,0.261,6,47.8,32,0.442,11.7,9,42,0.476,20,0.286,2,"December 3, 2019",53.8,14,16.7,7,87.0,76.5,26,0.475,60,0.433,26,0.25,15,0.667,10,1,200,97.1,27.3,9,11,67,,11.6,8,0.25,15,0.333,5,52.2,35,0.499,15.3,12,45,0.467,21,0.9,9,"EagleBank Arena, Fairfax, Virginia",JACKSONVILLE-STATE,Jacksonville State,69.5,Home,GEORGE-MASON,George Mason,Jacksonville State,ovc
2019-12-07-17-alabama-am,42.3,11,7.1,3,84.8,82.9,34,0.447,66,0.394,26,0.136,9,0.333,3,6,225,78.5,27.3,9,18,62,,3.8,3,0.379,25,0.28,7,58.1,43,0.441,21.4,19,41,0.463,19,0.25,2,"December 7, 2019",50.0,12,4.9,2,78.5,72.7,24,0.392,65,0.369,24,0.323,21,0.762,16,5,225,84.8,17.1,7,15,67,,8.9,7,0.354,23,0.13,3,41.9,31,0.447,10.8,9,42,0.5,21,0.286,2,"Elmore Health Science Building , Normal, Alabama",JACKSONVILLE-STATE,Jacksonville State,69.9,Home,ALABAMA-AM,Alabama A&M,Jacksonville State,ovc
2019-12-11-20-jacksonville-state,37.5,9,5.6,1,84.6,69.7,23,0.482,55,0.436,24,0.182,10,0.7,7,6,200,92.3,26.9,7,14,60,,9.2,6,0.345,19,0.263,5,50.8,30,0.502,18.0,13,36,0.528,19,0.4,4,"December 11, 2019",66.7,12,11.1,4,92.3,73.1,19,0.443,53,0.34,18,0.302,16,0.5,8,7,200,84.6,30.3,10,12,55,,12.3,8,0.66,35,0.314,11,49.2,29,0.454,17.8,13,18,0.389,7,0.222,2,"Pete Mathews Coliseum, Jacksonville, Alabama",JACKSONVILLE-STATE,Jacksonville State,64.7,Away,TROY,Troy,Jacksonville State,ovc
2019-12-16-20-jacksonville-state,52.4,11,2.5,1,119.7,62.1,18,0.452,52,0.404,21,0.385,20,0.6,12,4,200,83.1,19.4,6,13,59,,9.9,7,0.462,24,0.208,5,40.0,24,0.48,21.9,17,28,0.571,16,0.667,8,"December 16, 2019",61.8,21,7.1,2,83.1,80.6,25,0.637,62,0.548,34,0.145,9,0.667,6,7,200,119.7,37.9,11,16,85,,11.3,8,0.355,22,0.5,11,60.0,36,0.641,18.5,15,40,0.575,23,0.3,3,"Pete Mathews Coliseum, Jacksonville, Alabama",EVANSVILLE,Evansville,71.4,Home,JACKSONVILLE-STATE,Jacksonville State,Jacksonville State,ovc
