,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-illinois,48.1,13,9.5,4,95.1,46.9,15,0.47,66,0.409,27,0.136,9,0.889,8,1,225,85.4,8.3,3,29,70,,13.4,11,0.303,20,0.4,8,26.5,18,0.498,18.6,16,46,0.413,19,0.0,0,"November 5, 2019",44.4,12,4.3,2,85.4,91.7,33,0.484,61,0.443,27,0.475,29,0.655,19,0,225,95.1,53.1,17,17,78,,7.3,6,0.311,19,0.263,5,73.5,50,0.522,23.0,22,42,0.524,22,1.0,1,"State Farm Center, Champaign, Illinois",NICHOLLS-STATE,Nicholls State,72.5,Home,ILLINOIS,Illinois,Illinois,big-ten
2019-11-08-21-grand-canyon,44.8,13,0.0,0,93.4,83.3,30,0.484,64,0.453,29,0.469,30,0.7,21,0,200,109.2,48.5,16,21,83,,6.6,5,0.203,13,0.308,4,66.7,46,0.53,18.0,17,51,0.49,25,1.0,2,"November 8, 2019",44.4,12,0.0,0,109.2,51.5,17,0.508,61,0.443,27,0.262,16,0.563,9,2,200,93.4,16.7,6,23,71,,5.3,4,0.311,19,0.421,8,33.3,23,0.517,13.9,11,42,0.452,19,0.0,0,"Grand Canyon University Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,76.4,Away,ILLINOIS,Illinois,Illinois,big-ten
2019-11-10-21-arizona,40.0,10,4.4,2,115.4,65.5,19,0.519,53,0.472,25,0.377,20,0.7,14,1,200,88.5,21.4,6,22,69,,5.1,4,0.302,16,0.313,5,43.9,25,0.552,26.3,22,37,0.541,20,0.667,2,"November 10, 2019",58.8,20,8.1,3,88.5,78.6,22,0.615,61,0.557,34,0.361,22,0.682,15,0,200,115.4,34.5,10,23,90,21,17.9,14,0.262,16,0.438,7,56.1,32,0.63,18.5,16,45,0.6,27,1.0,2,"McKale Center, Tucson, Arizona",ILLINOIS,Illinois,78.0,Home,ARIZONA,Arizona,Illinois,big-ten
2019-11-18-20-illinois,37.5,9,4.8,2,94.3,67.7,21,0.398,64,0.375,24,0.047,3,0.667,2,2,200,75.7,10.8,4,18,53,,10.0,7,0.344,22,0.136,3,36.8,25,0.405,12.1,9,42,0.5,21,0.6,3,"November 18, 2019",60.9,14,7.1,3,75.7,89.2,33,0.472,54,0.426,23,0.426,23,0.652,15,1,200,94.3,32.3,10,8,66,,4.3,3,0.222,12,0.417,5,63.2,43,0.508,19.0,15,42,0.429,18,0.75,3,"State Farm Center, Champaign, Illinois",HAWAII,Hawaii,70.2,Home,ILLINOIS,Illinois,Illinois,big-ten
2019-11-20-21-illinois,47.6,10,4.0,2,118.1,36.4,12,0.351,74,0.284,21,0.095,7,0.714,5,4,200,79.2,31.9,15,19,57,,11.1,8,0.514,38,0.263,10,33.8,27,0.369,12.5,11,36,0.306,11,0.2,1,"November 20, 2019",51.5,17,11.1,4,79.2,68.1,32,0.507,68,0.485,33,0.309,21,0.762,16,1,200,118.1,63.6,21,13,85,,5.6,4,0.265,18,0.167,3,66.3,53,0.545,14.4,13,50,0.6,30,0.8,4,"State Farm Center, Champaign, Illinois",CITADEL,Citadel,71.7,Home,ILLINOIS,Illinois,Illinois,big-ten
2019-11-23-20-illinois,42.9,12,0.0,0,151.9,48.0,12,0.484,64,0.438,28,0.219,14,0.643,9,2,200,89.9,20.0,7,21,71,,3.8,3,0.25,16,0.375,6,31.7,19,0.502,18.6,16,48,0.458,22,0.6,3,"November 23, 2019",64.4,29,2.1,1,89.9,80.0,28,0.7,70,0.643,45,0.386,27,0.815,22,1,200,151.9,52.0,13,14,120,,11.4,9,0.257,18,0.444,8,68.3,41,0.724,9.9,9,52,0.712,37,0.833,5,"State Farm Center, Champaign, Illinois",HAMPTON,Hampton,79.2,Home,ILLINOIS,Illinois,Illinois,big-ten
2019-11-26-20-illinois,40.0,10,0.0,0,139.3,60.0,15,0.477,64,0.391,25,0.078,5,0.8,4,0,200,77.4,19.4,7,30,65,,11.9,10,0.469,30,0.367,11,36.1,22,0.49,26.6,24,34,0.412,14,0.0,0,"November 26, 2019",64.1,25,11.8,4,77.4,80.6,29,0.706,63,0.619,39,0.587,37,0.757,28,1,200,139.3,40.0,10,13,117,,15.5,13,0.397,25,0.44,11,63.9,39,0.726,15.0,14,38,0.737,28,0.857,6,"State Farm Center, Champaign, Illinois","Lindenwood
			","Lindenwood
			",84.0,Home,ILLINOIS,Illinois,Illinois,big-ten
2019-12-02-19-illinois,28.1,9,5.6,2,116.2,68.0,17,0.685,54,0.593,32,0.241,13,0.538,7,3,200,119.1,15.4,4,21,81,,10.3,7,0.333,18,0.556,10,41.2,21,0.673,14.3,10,36,0.611,22,0.625,5,"December 2, 2019",57.1,16,11.1,4,119.1,84.6,22,0.585,53,0.528,28,0.434,23,0.739,17,2,200,116.2,32.0,8,17,79,,5.9,4,0.321,17,0.353,6,58.8,30,0.618,17.1,13,36,0.611,22,0.75,6,"State Farm Center, Champaign, Illinois",ILLINOIS,Illinois,67.6,Away,MIAMI-FL,Miami (FL),Illinois,big-ten
2019-12-07-17-maryland,45.5,10,3.1,1,86.8,70.0,28,0.42,56,0.393,22,0.286,16,0.688,11,3,200,85.3,23.5,8,17,58,,7.4,5,0.25,14,0.214,3,48.6,36,0.456,17.1,13,42,0.452,19,0.667,6,"December 7, 2019",57.1,12,9.5,4,85.3,76.5,26,0.397,63,0.333,21,0.175,11,0.818,9,0,200,86.8,30.0,12,17,59,3,8.8,6,0.492,31,0.258,8,51.4,38,0.432,14.0,11,32,0.406,13,1.0,10,"Xfinity Center, College Park, Maryland",ILLINOIS,Illinois,67.9,Home,MARYLAND,Maryland,Illinois,big-ten
2019-12-11-21-illinois,44.4,12,10.0,5,101.4,63.3,19,0.46,62,0.435,27,0.097,6,0.833,5,2,200,88.6,16.1,5,18,62,5,8.6,6,0.29,18,0.167,3,39.3,24,0.478,11.0,8,44,0.545,24,0.8,8,"December 11, 2019",21.4,6,13.6,6,88.6,83.9,26,0.467,61,0.459,28,0.328,20,0.7,14,3,200,101.4,36.7,11,10,71,,7.1,5,0.18,11,0.091,1,60.7,37,0.504,14.7,12,50,0.54,27,0.7,7,"State Farm Center, Champaign, Illinois",MICHIGAN,Michigan,69.7,Home,ILLINOIS,Illinois,Illinois,big-ten
