,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-08-19-liberty,20.0,4,9.5,2,104.8,85.2,23,0.415,53,0.377,20,0.434,23,0.696,16,1,200,95.2,21.2,7,21,60,,6.3,4,0.321,17,0.235,4,50.0,30,0.469,11.2,8,36,0.444,16,0.0,0,"November 8, 2019",65.0,13,13.9,5,95.2,78.8,26,0.547,43,0.465,20,0.674,29,0.655,19,0,200,104.8,14.8,4,20,66,,6.3,4,0.512,22,0.318,7,50.0,30,0.581,13.9,9,21,0.619,13,1.0,1,"Vines Center, Lynchburg, Virginia",RADFORD,Radford,63.4,Home,LIBERTY,Liberty,Radford,big-south
2019-11-12-19-radford,76.9,10,2.6,1,135.8,41.4,12,0.378,45,0.289,13,0.222,10,0.6,6,0,200,59.7,15.2,5,20,40,,4.5,3,0.6,27,0.296,8,27.4,17,0.402,28.8,20,18,0.278,5,0.0,0,"November 12, 2019",55.9,19,16.7,3,59.7,84.8,28,0.6,65,0.523,34,0.338,22,0.591,13,1,200,135.8,58.6,17,13,91,,16.4,11,0.415,27,0.37,10,72.6,45,0.603,12.8,11,38,0.632,24,0.5,1,"Donald N. Dedmon Center, Radford, Virginia","Bridgewater (VA)
			","Bridgewater (VA)
			",67.1,Home,RADFORD,Radford,Radford,big-south
2019-11-15-19-georgia-southern,41.4,12,8.1,3,105.6,76.5,26,0.486,69,0.42,29,0.101,7,0.857,6,2,200,101.4,28.6,10,19,73,,5.6,4,0.348,24,0.375,9,52.2,36,0.505,15.3,13,45,0.444,20,0.333,1,"November 15, 2019",37.9,11,8.9,4,101.4,71.4,25,0.549,61,0.475,29,0.213,13,0.692,9,2,200,105.6,23.5,8,9,76,,5.6,4,0.393,24,0.375,9,47.8,33,0.566,13.0,10,37,0.541,20,0.5,2,"Hanner Fieldhouse, Statesboro, Georgia",RADFORD,Radford,72.3,Home,GEORGIA-SOUTHERN,Georgia Southern,Radford,big-south
2019-11-19-20-northwestern,82.6,19,7.7,3,82.4,75.8,25,0.5,55,0.418,23,0.291,16,0.75,12,2,200,98.5,32.1,9,19,67,,7.4,5,0.364,20,0.45,9,55.7,34,0.535,16.2,12,35,0.4,14,0.5,2,"November 19, 2019",50.0,10,11.4,4,98.5,67.9,19,0.358,60,0.333,20,0.317,19,0.684,13,2,200,82.4,24.2,8,19,56,,7.4,5,0.35,21,0.143,3,44.3,27,0.406,12.8,10,39,0.436,17,0.333,1,"Welsh-Ryan Arena, Evanston, Illinois",NORTHWESTERN,Northwestern,68.3,Away,RADFORD,Radford,Radford,big-south
2019-11-22-19-bradley,23.8,5,6.7,2,111.1,46.7,14,0.46,50,0.42,21,0.52,26,0.577,15,3,200,96.8,33.3,10,23,61,,15.9,10,0.38,19,0.211,4,40.0,24,0.489,17.5,13,31,0.548,17,0.4,2,"November 22, 2019",54.2,13,3.2,1,96.8,66.7,20,0.561,49,0.49,24,0.51,25,0.6,15,1,200,111.1,53.3,16,19,70,,7.9,5,0.388,19,0.368,7,60.0,36,0.575,21.1,16,30,0.567,17,0.8,4,"Carver Arena, Peoria, Illinois",RADFORD,Radford,63.1,Home,BRADLEY,Bradley,Radford,big-south
2019-11-26-19-monmouth,30.4,7,9.4,3,111.1,76.0,19,0.402,66,0.348,23,0.242,16,0.625,10,4,200,87.5,22.5,9,24,63,,4.2,3,0.409,27,0.259,7,43.1,28,0.428,11.0,9,39,0.41,16,0.333,2,"November 26, 2019",52.0,13,2.6,1,87.5,77.5,31,0.569,51,0.49,25,0.647,33,0.667,22,5,200,111.1,24.0,6,21,80,,6.9,5,0.373,19,0.421,8,56.9,37,0.6,12.1,9,32,0.531,17,0.375,3,"Multipurpose Activity Center, West Long Branch, New Jersey",RADFORD,Radford,71.6,Home,MONMOUTH,Monmouth,Radford,big-south
2019-12-04-19-radford,40.0,10,7.8,4,132.4,66.7,20,0.508,60,0.417,25,0.367,22,0.455,10,4,200,100.0,25.0,10,14,71,,2.8,2,0.5,30,0.367,11,42.9,30,0.504,14.7,12,30,0.467,14,0.556,5,"December 4, 2019",63.2,24,10.0,3,100.0,75.0,30,0.607,70,0.543,38,0.143,10,0.9,9,4,200,132.4,33.3,10,16,94,,5.6,4,0.271,19,0.474,9,57.1,40,0.629,6.3,5,51,0.569,29,0.429,3,"Donald N. Dedmon Center, Radford, Virginia",JAMES-MADISON,James Madison,71.1,Home,RADFORD,Radford,Radford,big-south
2019-12-07-16-radford,48.0,12,12.0,3,96.7,78.6,22,0.492,60,0.417,25,0.117,7,0.143,1,2,200,100.0,26.5,9,18,60,,3.3,2,0.5,30,0.3,9,50.0,31,0.474,10.0,7,30,0.533,16,0.8,8,"December 7, 2019",50.0,11,6.7,2,100.0,73.5,25,0.565,46,0.478,22,0.37,17,0.353,6,5,200,96.7,21.4,6,15,58,,3.3,2,0.457,21,0.381,8,50.0,31,0.536,17.1,11,25,0.56,14,0.375,3,"Donald N. Dedmon Center, Radford, Virginia",RADFORD,Radford,60.2,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Radford,big-south
2019-12-14-14-radford,74.1,20,17.6,6,74.2,81.6,31,0.575,53,0.509,27,0.245,13,0.769,10,0,200,107.6,28.0,7,12,71,,7.6,5,0.453,24,0.292,7,60.3,38,0.6,20.3,15,29,0.69,20,1.0,9,"December 14, 2019",50.0,9,3.4,1,107.6,72.0,18,0.368,57,0.316,18,0.211,12,0.583,7,6,200,74.2,18.4,7,16,49,,9.1,6,0.404,23,0.261,6,39.7,25,0.391,12.6,9,34,0.353,12,0.333,3,"Ellet High School, Akron, Ohio",RADFORD,Radford,65.9,Away,DUQUESNE,Duquesne,Radford,big-south
2019-12-18-20-mississippi-state,65.2,15,2.6,1,128.3,43.8,14,0.565,54,0.426,23,0.222,12,0.583,7,7,200,113.3,34.5,10,25,68,,6.7,4,0.593,32,0.469,15,39.3,24,0.57,16.8,12,22,0.364,8,0.3,3,"December 18, 2019",41.7,10,31.8,7,113.3,65.5,19,0.5,52,0.462,24,0.577,30,0.833,25,2,200,128.3,56.3,18,16,77,,8.3,5,0.269,14,0.286,4,60.7,37,0.581,14.4,11,38,0.526,20,0.8,8,"Humphrey Coliseum, Starkville, Mississippi",RADFORD,Radford,60.5,Home,MISSISSIPPI-STATE,Mississippi State,Radford,big-south
