,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-12-baylor,50.0,11,15.8,6,129.6,60.7,17,0.393,61,0.361,22,0.393,24,0.542,13,1,200,75.3,14.0,6,19,61,,6.2,5,0.377,23,0.174,4,32.4,23,0.421,17.3,15,38,0.474,18,0.0,0,"November 5, 2019",62.5,25,5.3,2,75.3,86.0,37,0.69,71,0.563,40,0.197,14,0.5,7,0,200,129.6,39.3,11,20,105,16,7.4,6,0.465,33,0.545,18,67.6,48,0.676,15.4,14,38,0.579,22,1.0,1,"Ferrell Center, Waco, Texas",CENTRAL-ARKANSAS,Central Arkansas,81.0,Home,BAYLOR,Baylor,Baylor,big-12
2019-11-08-21-baylor,70.8,17,25.0,11,83.1,72.7,24,0.519,53,0.453,24,0.321,17,0.706,12,0,200,87.0,18.5,5,15,67,,10.4,8,0.283,15,0.467,7,48.3,29,0.549,24.9,20,38,0.447,17,1.0,1,"November 8, 2019",82.6,19,10.5,4,87.0,81.5,22,0.415,65,0.354,23,0.185,12,0.833,10,1,200,83.1,27.3,9,16,64,16,9.1,7,0.323,21,0.381,8,51.7,31,0.453,18.5,16,44,0.341,15,0.5,1,"Alaska Airlines Center, Anchorage, Alaska",BAYLOR,Baylor,76.9,Away,WASHINGTON,Washington,Baylor,big-12
2019-11-15-21-baylor,42.3,11,15.8,6,101.4,57.9,22,0.475,61,0.426,26,0.115,7,0.714,5,2,200,88.7,33.3,9,17,63,,11.3,8,0.279,17,0.353,6,47.7,31,0.49,21.9,18,44,0.455,20,0.5,2,"November 15, 2019",48.0,12,15.9,7,88.7,66.7,18,0.459,61,0.41,25,0.393,24,0.667,16,1,200,101.4,42.1,16,10,72,24,21.1,15,0.377,23,0.261,6,52.3,34,0.497,14.4,12,38,0.5,19,0.667,2,"Ferrell Center, Waco, Texas",TEXAS-STATE,Texas State,70.9,Home,BAYLOR,Baylor,Baylor,big-12
2019-11-21-16-baylor,63.2,12,4.5,2,108.6,56.7,17,0.443,53,0.358,19,0.226,12,0.5,6,2,200,75.7,20.0,6,20,53,,10.0,7,0.547,29,0.31,9,38.3,23,0.451,23.6,18,24,0.417,10,0.6,3,"November 21, 2019",40.0,10,20.8,5,75.7,80.0,24,0.458,59,0.424,25,0.475,28,0.786,22,1,200,108.6,43.3,13,15,76,24,15.7,11,0.254,15,0.267,4,61.7,37,0.526,12.3,10,44,0.477,21,0.75,3,"The HTC Center, Conway, South Carolina",OHIO,Ohio,70.0,Home,BAYLOR,Baylor,Baylor,big-12
2019-11-22-17-coastal-carolina,61.5,16,3.2,1,97.0,66.7,14,0.565,54,0.481,26,0.37,20,0.8,16,1,200,114.9,29.6,8,18,77,24,13.4,9,0.5,27,0.333,9,45.8,22,0.606,14.9,11,27,0.63,17,0.8,4,"November 22, 2019",60.9,14,11.1,3,114.9,70.4,19,0.611,45,0.511,23,0.333,15,0.667,10,3,200,97.0,33.3,7,21,65,,6.0,4,0.311,14,0.643,9,54.2,26,0.624,29.9,22,31,0.452,14,0.5,3,"The HTC Center, Conway, South Carolina",COASTAL-CAROLINA,Coastal Carolina,66.8,Away,BAYLOR,Baylor,Baylor,big-12
2019-11-24-17-baylor,57.1,16,10.0,4,133.8,69.2,18,0.593,54,0.519,28,0.352,19,0.737,14,2,200,120.0,34.6,9,17,78,17,4.6,3,0.463,25,0.32,8,51.9,27,0.619,16.1,12,29,0.69,20,0.667,4,"November 24, 2019",32.3,10,10.3,3,120.0,65.4,17,0.619,59,0.525,31,0.305,18,0.778,14,1,200,133.8,30.8,8,19,87,24,9.2,6,0.322,19,0.579,11,48.1,25,0.644,7.0,5,40,0.5,20,0.833,5,"The HTC Center, Conway, South Carolina",VILLANOVA,Villanova,65.3,Home,BAYLOR,Baylor,Baylor,big-12
2019-12-03-19-baylor,47.1,8,11.1,4,105.4,61.9,26,0.305,64,0.266,17,0.172,11,0.636,7,10,200,62.2,20.0,9,19,46,,9.5,7,0.297,19,0.263,5,40.2,35,0.332,17.9,15,45,0.267,12,0.0,0,"December 3, 2019",66.7,18,15.6,7,62.2,80.0,36,0.485,67,0.403,27,0.328,22,0.591,13,1,200,105.4,38.1,16,14,78,18,14.9,11,0.463,31,0.355,11,59.8,52,0.504,13.5,12,36,0.444,16,0.857,6,"Ferrell Center, Waco, Texas",MARYLAND-EASTERN-SHORE,Maryland-Eastern Shore,74.3,Home,BAYLOR,Baylor,Baylor,big-12
2019-12-07-12-baylor,50.0,7,18.8,6,86.3,62.9,22,0.288,52,0.269,14,0.654,34,0.824,28,1,200,79.5,27.0,10,23,58,12,12.3,9,0.346,18,0.111,2,44.4,32,0.426,19.3,16,34,0.353,12,0.9,9,"December 7, 2019",70.6,12,26.5,9,79.5,73.0,27,0.357,56,0.304,17,0.5,28,0.821,23,1,200,86.3,37.1,13,22,63,18,12.3,9,0.429,24,0.25,6,55.6,40,0.455,19.0,16,32,0.344,11,0.875,7,"Ferrell Center, Waco, Texas",ARIZONA,Arizona,73.2,Home,BAYLOR,Baylor,Baylor,big-12
2019-12-10-21-baylor,45.0,9,15.2,5,85.5,69.7,23,0.441,51,0.392,20,0.196,10,0.7,7,1,200,83.9,23.1,6,16,52,18,6.5,4,0.294,15,0.333,5,49.2,29,0.466,15.3,10,36,0.417,15,0.9,9,"December 10, 2019",52.4,11,19.4,7,83.9,76.9,20,0.4,60,0.35,21,0.183,11,0.455,5,1,200,85.5,30.3,10,14,53,11,6.5,4,0.45,27,0.222,6,50.8,30,0.406,13.4,10,33,0.455,15,0.889,8,"Ferrell Center, Waco, Texas",BUTLER,Butler,62.5,Home,BAYLOR,Baylor,Baylor,big-12
2019-12-18-22-tennessee-martin,53.8,21,17.1,7,82.9,63.9,23,0.614,70,0.557,39,0.143,10,0.5,5,1,200,119.7,34.5,10,17,91,10,17.1,13,0.357,25,0.32,8,50.8,33,0.609,12.9,11,45,0.689,31,0.9,9,"December 18, 2019",33.3,7,8.9,4,119.7,65.5,19,0.4,60,0.35,21,0.35,21,0.714,15,7,200,82.9,36.1,13,13,63,,5.3,4,0.317,19,0.316,6,49.2,32,0.45,21.5,19,41,0.366,15,0.3,3,"Toyota Center, Houston, Texas",TENNESSEE-MARTIN,UT-Martin,75.9,Away,BAYLOR,Baylor,Baylor,big-12
