,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-cornell,50.0,12,9.8,4,121.7,73.9,17,0.491,58,0.414,24,0.172,10,0.7,7,1,200,92.8,18.8,6,17,64,,5.8,4,0.431,25,0.36,9,41.8,23,0.51,16.1,12,33,0.455,15,0.0,0,"November 5, 2019",62.5,20,15.2,5,92.8,81.3,26,0.573,62,0.516,32,0.242,15,0.867,13,0,200,121.7,26.1,6,15,84,,14.5,10,0.339,21,0.333,7,58.2,32,0.608,8.0,6,41,0.61,25,1.0,1,"Newman Arena, Ithaca, New York",BINGHAMTON,Binghamton,68.9,Home,CORNELL,Cornell,Binghamton,america-east
2019-11-10-19-michigan-state,61.1,11,0.0,0,131.6,59.3,16,0.375,60,0.3,18,0.167,10,0.2,2,2,200,61.8,25.7,9,19,47,,2.6,2,0.5,30,0.3,9,40.3,25,0.363,22.8,19,30,0.3,9,0.0,0,"November 10, 2019",65.8,25,23.3,7,61.8,74.3,26,0.561,74,0.514,38,0.27,20,0.85,17,1,200,131.6,40.7,11,13,100,1,9.2,7,0.338,25,0.28,7,59.7,37,0.599,4.6,4,49,0.633,31,0.5,1,"Breslin Events Center, East Lansing, Michigan",BINGHAMTON,Binghamton,75.6,Home,MICHIGAN-STATE,Michigan State,Binghamton,america-east
2019-11-13-19-columbia,36.4,8,17.6,6,105.6,77.4,24,0.464,55,0.4,22,0.309,17,0.706,12,3,200,88.7,20.6,7,16,63,,7.0,5,0.418,23,0.304,7,47.7,31,0.499,17.2,13,32,0.469,15,0.0,0,"November 13, 2019",51.9,14,12.5,4,88.7,79.4,27,0.551,59,0.458,27,0.288,17,0.588,10,2,200,105.6,22.6,7,13,75,,7.0,5,0.424,25,0.44,11,52.3,34,0.559,15.3,12,34,0.471,16,0.333,1,"Levien Gym, New York, New York",BINGHAMTON,Binghamton,70.6,Home,COLUMBIA,Columbia,Binghamton,america-east
2019-11-16-16-binghamton,37.0,10,4.5,2,100.0,73.5,36,0.47,67,0.403,27,0.254,17,0.529,9,3,200,94.7,32.5,13,14,72,,2.6,2,0.448,30,0.3,9,55.1,49,0.48,15.8,14,37,0.486,18,0.0,0,"November 16, 2019",41.4,12,8.1,3,94.7,67.5,27,0.448,77,0.377,29,0.169,13,0.538,7,3,200,100.0,26.5,13,14,76,,6.6,5,0.429,33,0.333,11,44.9,40,0.457,6.8,6,44,0.409,18,0.25,1,"Binghamton University Events Center, Vestal, New York",SACRED-HEART,Sacred Heart,76.1,Home,BINGHAMTON,Binghamton,Binghamton,america-east
2019-11-20-19-njit,45.8,11,8.1,3,113.6,71.4,25,0.585,53,0.453,24,0.34,18,0.833,15,3,200,116.7,26.7,8,16,77,,4.5,3,0.585,31,0.452,14,50.8,33,0.626,16.5,12,22,0.455,10,0.4,2,"November 20, 2019",38.5,10,4.5,1,116.7,73.3,22,0.508,59,0.441,26,0.39,23,0.652,15,3,200,113.6,28.6,10,15,75,,9.1,6,0.373,22,0.364,8,49.2,32,0.536,8.0,6,37,0.486,18,0.4,2,"Estelle and Zoom Fleisher Athletic Center, Newark, New Jersey",NJIT,NJIT,65.7,Away,BINGHAMTON,Binghamton,Binghamton,america-east
2019-11-23-16-binghamton,53.8,14,2.9,1,123.9,55.6,15,0.545,55,0.473,26,0.364,20,0.65,13,3,200,102.8,16.1,5,15,73,,12.7,9,0.4,22,0.364,8,34.5,20,0.566,14.7,11,33,0.545,18,0.4,2,"November 23, 2019",51.5,17,12.1,4,102.8,83.9,26,0.605,62,0.532,33,0.258,16,0.813,13,3,200,123.9,44.4,12,19,88,,2.8,2,0.435,27,0.333,9,65.5,38,0.632,15.8,13,35,0.686,24,0.5,3,"Binghamton University Events Center, Vestal, New York",ARMY,Army,70.6,Home,BINGHAMTON,Binghamton,Binghamton,america-east
2019-11-26-19-binghamton,37.9,11,13.2,5,118.4,70.0,21,0.444,72,0.403,29,0.097,7,0.714,5,0,200,90.8,17.9,7,18,69,,9.2,7,0.306,22,0.273,6,40.6,28,0.458,10.7,9,50,0.46,23,0.0,0,"November 26, 2019",57.6,19,14.0,7,90.8,82.1,32,0.625,60,0.55,33,0.367,22,0.682,15,3,200,118.4,30.0,9,8,90,,7.9,6,0.367,22,0.409,9,59.4,41,0.639,15.7,13,38,0.632,24,0.571,4,"Binghamton University Events Center, Vestal, New York","SUNY-Oneonta
			","SUNY-Oneonta
			",75.9,Home,BINGHAMTON,Binghamton,Binghamton,america-east
2019-12-01-18-loyola-md,56.0,14,4.9,2,111.6,79.3,23,0.431,72,0.347,25,0.056,4,0.75,3,4,200,94.2,37.5,18,19,65,,5.8,4,0.528,38,0.316,12,53.2,41,0.44,14.0,12,34,0.382,13,0.5,4,"December 1, 2019",57.1,16,2.9,1,94.2,62.5,30,0.554,56,0.5,28,0.446,25,0.6,15,4,200,111.6,20.7,6,9,77,,8.7,6,0.268,15,0.4,6,46.8,36,0.567,10.7,8,41,0.537,22,0.5,4,"Reitz Arena, Baltimore, Maryland",BINGHAMTON,Binghamton,68.9,Home,LOYOLA-MD,Loyola (MD),Binghamton,america-east
2019-12-04-19-binghamton,35.5,11,5.0,2,101.4,70.5,31,0.573,62,0.5,31,0.226,14,0.786,11,3,200,112.3,23.3,7,14,82,,4.1,3,0.419,26,0.346,9,51.4,38,0.597,13.9,11,36,0.611,22,0.667,6,"December 4, 2019",41.4,12,0.0,0,112.3,76.7,23,0.459,74,0.392,29,0.108,8,0.75,6,5,200,101.4,29.5,13,15,74,,6.8,5,0.459,34,0.294,10,48.6,36,0.476,9.4,8,40,0.475,19,0.444,4,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,72.7,Away,COLGATE,Colgate,Binghamton,america-east
2019-12-07-14-binghamton,28.1,9,2.9,1,113.5,68.8,22,0.415,82,0.39,32,0.195,16,0.688,11,7,225,106.8,44.2,23,15,79,,6.8,5,0.354,29,0.138,4,53.6,45,0.441,8.2,8,53,0.528,28,0.3,3,"December 7, 2019",30.0,9,3.8,2,106.8,55.8,29,0.581,62,0.484,30,0.258,16,0.75,12,5,225,113.5,31.3,10,16,84,,5.4,4,0.452,28,0.429,12,46.4,39,0.603,15.8,13,34,0.529,18,0.5,5,"Binghamton University Events Center, Vestal, New York",BOSTON-UNIVERSITY,Boston University,65.4,Home,BINGHAMTON,Binghamton,Binghamton,america-east
