,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-22-san-diego,52.0,13,5.6,2,100.0,72.2,26,0.491,53,0.472,25,0.509,27,0.889,24,0,200,104.1,39.1,9,22,76,,6.8,5,0.208,11,0.182,2,59.3,35,0.577,19.8,16,42,0.548,23,1.0,1,"November 5, 2019",47.8,11,11.9,5,104.1,60.9,14,0.458,59,0.39,23,0.407,24,0.792,19,1,200,100.0,27.8,10,16,73,,11.0,8,0.39,23,0.348,8,40.7,24,0.518,15.7,13,36,0.417,15,0.0,0,"Jenny Craig Pavillion, San Diego, California",SAN-DIEGO,San Diego,73.1,Away,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west
2019-11-09-20-pepperdine,61.5,16,6.1,2,108.5,78.1,25,0.509,56,0.464,26,0.429,24,0.667,16,1,200,102.8,32.4,11,20,73,,11.3,8,0.286,16,0.313,5,54.5,36,0.542,16.3,13,40,0.525,21,0.5,1,"November 9, 2019",75.0,18,5.0,2,102.8,67.6,23,0.509,56,0.429,24,0.446,25,0.8,20,1,200,108.5,21.9,7,19,77,,7.0,5,0.411,23,0.391,9,45.5,30,0.567,14.1,11,33,0.455,15,0.5,1,"Firestone Fieldhouse, Malibu, California",CALIFORNIA-IRVINE,UC-Irvine,70.6,Home,PEPPERDINE,Pepperdine,UC Irvine,big-west
2019-11-12-22-california-irvine,60.0,12,6.4,3,130.7,45.5,15,0.413,63,0.317,20,0.0,0,,0,0,200,69.3,13.9,5,16,52,,2.7,2,0.667,42,0.286,12,29.0,20,0.413,21.3,17,21,0.381,8,0.0,0,"November 12, 2019",46.2,18,23.8,5,69.3,86.1,31,0.597,72,0.542,39,0.208,15,0.8,12,1,200,130.7,54.5,18,11,98,,12.0,9,0.347,25,0.32,8,71.0,49,0.619,15.1,14,47,0.66,31,0.667,2,"Bren Events Center, Irvine, California","Life Pacific
			","Life Pacific
			",75.1,Home,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west
2019-11-15-21-boise-state,55.2,16,8.8,3,78.9,84.2,32,0.534,59,0.492,29,0.136,8,0.75,6,1,200,90.8,20.0,5,28,69,,6.6,5,0.288,17,0.294,5,58.7,37,0.549,22.4,18,42,0.571,24,0.75,3,"November 15, 2019",52.9,9,4.8,2,90.8,80.0,20,0.345,55,0.309,17,0.527,29,0.759,22,2,200,78.9,15.8,6,14,60,,11.8,9,0.382,21,0.19,4,41.3,26,0.436,16.1,13,34,0.382,13,0.333,1,"ExtraMile Arena, Boise, Idaho",BOISE-STATE,Boise State,75.8,Away,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west
2019-11-18-21-colorado,47.6,10,16.7,7,101.5,78.9,30,0.462,53,0.396,21,0.075,4,1.0,4,2,200,77.9,26.7,8,17,53,,8.8,6,0.264,14,0.5,7,55.9,38,0.483,28.7,22,39,0.359,14,0.6,3,"November 18, 2019",58.3,14,5.1,2,77.9,73.3,22,0.467,61,0.393,24,0.279,17,0.706,12,0,200,101.5,21.1,8,8,69,23,14.7,10,0.311,19,0.474,9,44.1,30,0.499,8.1,6,42,0.357,15,1.0,3,"Coors Events/Conference Center, Boulder, Colorado",CALIFORNIA-IRVINE,UC-Irvine,68.0,Home,COLORADO,Colorado,UC Irvine,big-west
2019-11-21-20-texas-christian,47.6,10,16.2,6,86.8,71.1,27,0.423,52,0.404,21,0.365,19,0.737,14,3,200,85.3,45.5,10,13,58,,10.3,7,0.154,8,0.25,2,61.7,37,0.475,22.0,17,44,0.432,19,0.5,3,"November 21, 2019",47.6,10,9.1,4,85.3,54.5,12,0.425,60,0.35,21,0.233,14,0.571,8,0,200,86.8,28.9,11,17,59,,8.8,6,0.383,23,0.391,9,38.3,23,0.443,15.4,12,37,0.324,12,1.0,4,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",CALIFORNIA-IRVINE,UC-Irvine,67.8,Home,TEXAS-CHRISTIAN,TCU,UC Irvine,big-west
2019-11-24-15-california-irvine,56.5,13,6.7,3,97.4,67.6,25,0.555,55,0.418,23,0.545,30,0.833,25,3,200,113.2,21.2,7,16,86,,7.9,6,0.582,32,0.469,15,45.7,32,0.621,15.0,12,23,0.348,8,0.25,1,"November 24, 2019",63.0,17,8.7,2,113.2,78.8,26,0.42,69,0.391,27,0.275,19,0.842,16,4,200,97.4,32.4,12,22,74,,6.6,5,0.348,24,0.167,4,54.3,38,0.474,13.4,12,45,0.511,23,0.429,3,"Ed Clark High School, Las Vegas, Nevada",CALIFORNIA-IRVINE,UC-Irvine,76.1,Away,DETROIT-MERCY,Detroit,UC Irvine,big-west
2019-11-26-16-california-irvine,50.0,10,0.0,0,126.0,66.7,14,0.391,64,0.313,20,0.359,23,0.739,17,3,200,91.8,20.0,9,15,67,,6.8,5,0.359,23,0.435,10,34.8,23,0.447,8.6,7,41,0.244,10,0.571,4,"November 26, 2019",65.7,23,2.4,1,91.8,80.0,36,0.684,57,0.614,35,0.333,19,0.737,14,4,200,126.0,33.3,7,20,92,,8.2,6,0.333,19,0.421,8,65.2,43,0.697,17.6,14,38,0.711,27,0.5,4,"Ed Clark High School, Las Vegas, Nevada",LOUISIANA-LAFAYETTE,Louisiana,73.0,Home,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west
2019-11-30-22-california-irvine,27.8,5,8.0,2,100.0,80.6,25,0.331,59,0.305,18,0.508,30,0.567,17,1,200,72.7,14.3,6,15,56,,5.2,4,0.322,19,0.158,3,42.5,31,0.382,15.3,13,40,0.375,15,0.857,6,"November 30, 2019",71.4,20,15.0,6,72.7,85.7,36,0.614,57,0.491,28,0.246,14,0.5,7,4,200,100.0,19.4,6,21,77,,13.0,10,0.561,32,0.438,14,57.5,42,0.605,21.2,17,25,0.56,14,0.556,5,"Bren Events Center, Irvine, California",EASTERN-MICHIGAN,Eastern Michigan,77.5,Home,CALIFORNIA-IRVINE,UC-Irvine,UC Irvine,big-west
2019-12-07-22-california-irvine,30.4,7,7.0,3,87.0,78.6,33,0.473,55,0.418,23,0.382,21,0.762,16,4,200,98.6,23.3,7,18,68,,4.3,3,0.236,13,0.462,6,55.6,40,0.523,14.6,11,42,0.405,17,0.556,5,"December 7, 2019",39.1,9,14.3,6,98.6,76.7,23,0.377,65,0.354,23,0.308,20,0.55,11,5,200,87.0,21.4,9,18,60,,8.7,6,0.338,22,0.136,3,44.4,32,0.403,5.1,4,43,0.465,20,0.5,5,"Bren Events Center, Irvine, California",CALIFORNIA-IRVINE,UC-Irvine,69.2,Away,CALIFORNIA-BAPTIST,California Baptist,UC Irvine,big-west
