,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-19-new-hampshire,55.6,5,2.3,1,127.4,41.7,10,0.2,60,0.15,9,0.1,6,0.833,5,0,200,39.7,14.6,7,18,29,,9.6,7,0.5,30,0.2,6,23.6,17,0.231,19.3,15,30,0.1,3,0.0,0,"November 5, 2019",57.9,22,16.7,5,39.7,85.4,41,0.619,67,0.567,38,0.209,14,0.714,10,0,200,127.4,58.3,14,9,93,,6.8,5,0.343,23,0.304,7,76.4,55,0.631,17.9,16,44,0.705,31,1.0,1,"Lundholm Gymnasium, Durham, New Hampshire","Curry
			","Curry
			",73.3,Home,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2019-11-09-13-new-hampshire,57.7,15,2.7,1,116.0,71.1,27,0.554,56,0.464,26,0.464,26,0.808,21,2,200,110.7,16.1,5,23,83,,2.7,2,0.393,22,0.455,10,46.4,32,0.607,15.1,12,34,0.471,16,0.0,0,"November 9, 2019",53.3,16,5.9,2,110.7,83.9,26,0.546,65,0.462,30,0.385,25,0.64,16,0,200,116.0,28.9,11,18,87,,9.3,7,0.431,28,0.393,11,53.6,37,0.566,10.6,9,37,0.514,19,1.0,2,"Lundholm Gymnasium, Durham, New Hampshire",HOLY-CROSS,Holy Cross,75.1,Home,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2019-11-12-19-st-johns-ny,72.7,16,5.7,3,97.4,66.7,26,0.448,58,0.379,22,0.31,18,0.5,9,1,200,80.3,22.2,8,15,61,,7.9,6,0.414,24,0.333,8,45.3,34,0.458,17.5,14,34,0.412,14,0.667,2,"November 12, 2019",57.1,16,17.6,6,80.3,77.8,28,0.444,71,0.394,28,0.254,18,0.611,11,0,200,97.4,33.3,13,16,74,,11.8,9,0.254,18,0.389,7,54.7,41,0.465,14.1,13,53,0.396,21,1.0,3,"Carnesecca Arena, Jamaica, New York",NEW-HAMPSHIRE,New Hampshire,76.1,Home,ST-JOHNS-NY,St. John's (NY),New Hampshire,america-east
2019-11-16-16-boston-university,70.8,17,2.8,1,118.3,77.4,24,0.547,53,0.453,24,0.302,16,0.75,12,2,200,98.6,17.9,5,20,70,,2.8,2,0.415,22,0.455,10,49.2,29,0.578,21.0,16,31,0.452,14,0.5,2,"November 16, 2019",41.9,13,3.2,1,98.6,82.1,23,0.596,57,0.544,31,0.421,24,0.667,16,2,200,118.3,22.6,7,16,84,,9.9,7,0.368,21,0.286,6,50.8,30,0.614,11.8,9,36,0.694,25,0.5,2,"Case Gym, Boston, Massachusetts",NEW-HAMPSHIRE,New Hampshire,71.0,Home,BOSTON-UNIVERSITY,Boston University,New Hampshire,america-east
2019-11-19-19-central-connecticut-state,70.4,19,8.6,3,84.0,87.2,34,0.524,62,0.435,27,0.355,22,0.545,12,2,200,102.7,37.8,14,19,77,,9.3,7,0.435,27,0.407,11,63.2,48,0.531,18.2,16,35,0.457,16,0.6,3,"November 19, 2019",50.0,10,11.4,4,102.7,62.2,23,0.422,58,0.345,20,0.31,18,0.778,14,5,200,84.0,12.8,5,20,63,,10.7,8,0.397,23,0.391,9,36.8,28,0.473,17.5,14,35,0.314,11,0.0,0,"Detrick Gymnasium, New Britain, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,75.0,Away,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2019-11-23-14-james-madison,34.5,10,6.3,2,94.0,89.2,33,0.425,80,0.363,29,0.088,7,0.429,3,3,200,85.5,20.0,10,20,71,,2.4,2,0.438,35,0.286,10,49.4,43,0.426,9.8,9,45,0.422,19,0.5,3,"November 23, 2019",41.7,10,6.7,3,85.5,80.0,40,0.467,61,0.393,24,0.459,28,0.75,21,2,200,94.0,10.8,4,18,78,,6.0,5,0.475,29,0.31,9,50.6,44,0.525,16.0,14,32,0.469,15,0.667,4,"JMU Convocation Center, Harrisonburg, Virginia",NEW-HAMPSHIRE,New Hampshire,83.3,Home,JAMES-MADISON,James Madison,New Hampshire,america-east
2019-11-26-19-new-hampshire,46.7,14,14.3,7,97.8,59.5,22,0.436,78,0.385,30,0.192,15,0.533,8,4,225,85.4,22.4,11,23,76,,13.5,12,0.385,30,0.267,8,38.4,33,0.446,15.1,15,48,0.458,22,0.5,4,"November 26, 2019",46.9,15,2.1,1,85.4,77.6,38,0.522,69,0.464,32,0.362,25,0.6,15,3,225,97.8,40.5,15,18,87,,7.9,7,0.29,20,0.4,8,61.6,53,0.538,21.6,22,49,0.49,24,0.571,4,"Lundholm Gymnasium, Durham, New Hampshire",BRYANT,Bryant,78.7,Home,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2019-11-30-19-florida-international,44.4,12,8.8,3,94.6,76.9,30,0.552,58,0.466,27,0.207,12,0.417,5,4,200,93.2,29.0,9,15,69,,5.4,4,0.483,28,0.357,10,55.7,39,0.542,23.1,19,30,0.567,17,0.5,4,"November 30, 2019",34.6,9,10.0,3,93.2,71.0,22,0.484,61,0.426,26,0.262,16,0.688,11,3,200,94.6,23.1,9,19,70,,16.2,12,0.443,27,0.259,7,44.3,31,0.51,18.1,15,34,0.559,19,0.625,5,"FIU Arena, Miami, Florida",NEW-HAMPSHIRE,New Hampshire,74.2,Home,FLORIDA-INTERNATIONAL,Florida International,New Hampshire,america-east
2019-12-04-19-new-hampshire,64.3,9,0.0,0,131.9,54.5,18,0.351,47,0.298,14,0.17,8,0.5,4,0,200,53.6,2.9,1,19,37,,4.3,3,0.383,18,0.278,5,27.9,19,0.364,28.4,20,29,0.31,9,0.0,0,"December 4, 2019",58.8,20,20.7,6,53.6,97.1,34,0.582,67,0.507,34,0.254,17,0.765,13,4,200,131.9,45.5,15,13,91,,14.5,10,0.358,24,0.417,10,72.1,49,0.606,9.7,8,43,0.558,24,0.556,5,"Lundholm Gymnasium, Durham, New Hampshire","Maine Maritime
			","Maine Maritime
			",68.9,Home,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2019-12-07-17-quinnipiac,60.9,14,3.6,1,102.7,95.8,23,0.414,70,0.329,23,0.171,12,0.75,9,5,200,91.8,32.6,14,20,67,,2.7,2,0.557,39,0.308,12,55.2,37,0.443,13.7,12,31,0.355,11,0.5,5,"December 7, 2019",36.0,9,9.7,3,91.8,67.4,29,0.644,45,0.556,25,0.489,22,0.773,17,4,200,102.7,4.2,1,14,75,,8.2,6,0.378,17,0.471,8,44.8,30,0.676,23.7,17,28,0.607,17,0.429,3,"TD Bank Sports Center, Hamden, Connecticut",NEW-HAMPSHIRE,New Hampshire,72.6,Home,QUINNIPIAC,Quinnipiac,New Hampshire,america-east
