,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-22-cal-state-bakersfield,47.1,8,0.0,0,137.3,41.9,13,0.422,51,0.333,17,0.353,18,0.444,8,0,200,68.0,19.4,7,27,51,,2.7,2,0.549,28,0.321,9,29.9,20,0.428,26.3,21,23,0.348,8,0.0,0,"November 5, 2019",64.7,22,17.4,4,68.0,80.6,29,0.529,68,0.5,34,0.603,41,0.756,31,0,200,137.3,58.1,18,22,103,,21.3,16,0.353,24,0.167,4,70.1,47,0.589,6.5,6,44,0.682,30,1.0,1,"Icardo Center, Bakersfield, California","Notre Dame de Namur
			","Notre Dame de Namur
			",74.5,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Cal State Bakersfield,wac
2019-11-09-22-cal-state-bakersfield,40.0,12,3.1,2,103.4,64.6,31,0.548,63,0.476,30,0.476,30,0.8,24,0,250,105.7,25.0,9,24,93,,8.0,7,0.381,24,0.375,9,47.6,40,0.602,20.0,19,39,0.538,21,1.0,3,"November 9, 2019",26.5,9,7.7,3,105.7,75.0,27,0.44,84,0.405,34,0.25,21,0.81,17,1,250,103.4,35.4,17,26,91,,12.5,11,0.226,19,0.316,6,52.4,44,0.484,10.6,11,65,0.431,28,0.5,1,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,70.1,Away,SOUTH-DAKOTA-STATE,South Dakota State,Cal State Bakersfield,wac
2019-11-13-20-northern-iowa,26.1,6,18.8,3,108.1,78.6,22,0.471,52,0.442,23,0.173,9,0.667,6,2,200,88.7,27.6,8,19,55,,4.8,3,0.25,13,0.231,3,52.6,30,0.489,20.0,14,39,0.513,20,0.333,1,"November 13, 2019",45.5,10,0.0,0,88.7,72.4,21,0.56,50,0.44,22,0.28,14,0.786,11,0,200,108.1,21.4,6,13,67,,6.5,4,0.68,34,0.353,12,47.4,27,0.591,16.4,11,16,0.625,10,1.0,3,"McLeod Center, Cedar Falls, Iowa",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,62.0,Home,NORTHERN-IOWA,Northern Iowa,Cal State Bakersfield,wac
2019-11-15-14-cal-state-bakersfield,82.4,14,6.1,3,131.9,57.1,20,0.43,50,0.34,17,0.3,15,0.533,8,0,200,73.9,21.2,7,13,51,,4.3,3,0.54,27,0.333,9,39.7,27,0.446,24.1,18,23,0.348,8,0.0,0,"November 15, 2019",54.3,19,26.1,6,73.9,78.8,26,0.571,70,0.5,35,0.2,14,0.786,11,2,200,131.9,42.9,15,15,91,,13.0,9,0.3,21,0.476,10,60.3,41,0.594,10.6,9,49,0.51,25,0.5,2,"Icardo Center, Bakersfield, California","Life Pacific
			","Life Pacific
			",69.4,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Cal State Bakersfield,wac
2019-11-19-22-san-francisco,10.7,3,17.2,5,138.9,82.6,19,0.492,60,0.467,28,0.25,15,0.733,11,3,200,97.2,29.0,9,20,70,,8.3,6,0.117,7,0.429,3,51.9,28,0.521,17.4,14,53,0.472,25,0.4,2,"November 19, 2019",64.5,20,5.7,3,97.2,71.0,22,0.75,54,0.574,31,0.444,24,0.792,19,0,200,138.9,17.4,4,12,100,,11.1,8,0.463,25,0.76,19,48.1,26,0.765,14.6,11,29,0.414,12,1.0,5,"War Memorial Gymnasium, San Francisco, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,72.3,Home,SAN-FRANCISCO,San Francisco,Cal State Bakersfield,wac
2019-11-23-20-gonzaga,50.0,10,0.0,0,110.0,76.7,23,0.43,50,0.4,20,0.18,9,0.667,6,4,200,70.0,29.2,7,25,49,,8.6,6,0.2,10,0.3,3,55.6,30,0.451,29.9,23,40,0.425,17,0.333,2,"November 23, 2019",68.2,15,12.5,5,70.0,70.8,17,0.531,49,0.449,22,0.796,39,0.641,25,0,200,110.0,23.3,7,15,77,8,15.7,11,0.469,23,0.348,8,44.4,24,0.57,13.1,10,26,0.538,14,1.0,6,"McCarthey Athletic Center, Spokane, Washington",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,70.4,Home,GONZAGA,Gonzaga,Cal State Bakersfield,wac
2019-11-26-22-cal-state-bakersfield,50.0,12,10.3,4,90.3,66.7,18,0.519,53,0.453,24,0.396,21,0.905,19,3,200,102.8,13.8,4,20,74,,12.5,9,0.302,16,0.438,7,39.3,22,0.588,18.4,14,37,0.459,17,0.5,3,"November 26, 2019",54.2,13,18.9,7,102.8,86.2,25,0.5,54,0.444,24,0.296,16,0.688,11,5,200,90.3,33.3,9,23,65,,4.2,3,0.278,15,0.4,6,60.7,34,0.528,23.7,19,39,0.462,18,0.286,2,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,72.3,Away,SAM-HOUSTON-STATE,Sam Houston State,Cal State Bakersfield,wac
2019-11-29-22-cal-state-bakersfield,47.1,8,6.8,3,97.2,48.6,18,0.378,49,0.347,17,0.551,27,0.741,20,4,200,79.2,12.1,4,23,57,,2.8,2,0.286,14,0.214,3,31.4,22,0.461,16.5,12,35,0.4,14,0.429,3,"November 29, 2019",44.0,11,14.3,5,79.2,87.9,29,0.437,63,0.397,25,0.46,29,0.517,15,5,200,97.2,51.4,19,32,70,,6.9,5,0.302,19,0.263,5,68.6,48,0.456,18.3,17,44,0.455,20,0.375,3,"Icardo Center, Bakersfield, California",HAMPTON,Hampton,72.3,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Cal State Bakersfield,wac
2019-11-30-22-cal-state-bakersfield,47.6,10,6.5,3,126.1,55.0,11,0.412,57,0.368,21,0.316,18,0.667,12,0,200,85.5,28.6,10,17,59,,14.5,10,0.421,24,0.208,5,38.2,21,0.45,16.7,13,33,0.485,16,0.0,0,"November 30, 2019",52.8,19,3.0,1,85.5,71.4,25,0.682,55,0.655,36,0.255,14,0.857,12,5,200,126.1,45.0,9,14,87,,10.1,7,0.164,9,0.333,3,61.8,34,0.706,20.7,16,46,0.717,33,0.444,4,"Icardo Center, Bakersfield, California","San Diego Christian
			","San Diego Christian
			",68.6,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Cal State Bakersfield,wac
2019-12-03-22-cal-state-bakersfield,30.0,6,3.1,1,93.8,66.7,20,0.462,52,0.385,20,0.442,23,0.696,16,3,200,100.0,22.2,6,15,64,,4.7,3,0.346,18,0.444,8,45.6,26,0.509,13.9,10,34,0.353,12,0.625,5,"December 3, 2019",27.3,6,8.8,3,100.0,77.8,21,0.471,52,0.423,22,0.288,15,0.733,11,6,200,93.8,33.3,10,22,60,,4.7,3,0.385,20,0.25,5,54.4,31,0.507,15.8,11,32,0.531,17,0.4,4,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,63.5,Away,CALIFORNIA-SANTA-BARBARA,UCSB,Cal State Bakersfield,wac
