,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-05-20-norfolk-state,68.2,15,8.3,4,126.6,53.3,24,0.405,63,0.349,22,0.175,11,0.727,8,0,200,74.7,20.0,8,19,59,,3.8,3,0.54,34,0.206,7,37.6,32,0.432,21.0,18,29,0.517,15,0.0,0,"November 5, 2019",57.1,20,6.9,2,74.7,80.0,32,0.519,79,0.443,35,0.329,26,0.692,18,0,200,126.6,46.7,21,14,100,,15.2,12,0.392,31,0.387,12,62.4,53,0.547,10.0,10,48,0.479,23,1.0,1,"Echols Memorial Hall, Norfolk, Virginia","Greensboro
			","Greensboro
			",79.3,Home,NORFOLK-STATE,Norfolk State,Norfolk State,meac
2019-11-08-19-norfolk-state,75.0,9,8.5,4,116.3,69.4,25,0.323,48,0.25,12,0.5,24,0.917,22,0,200,66.3,19.4,7,19,53,,6.3,5,0.479,23,0.304,7,44.4,32,0.446,31.6,27,25,0.2,5,0.0,0,"November 8, 2019",48.6,17,20.0,5,66.3,80.6,29,0.55,70,0.5,35,0.343,24,0.667,16,0,200,116.3,30.6,11,19,93,,11.3,9,0.329,23,0.304,7,55.6,40,0.571,11.0,10,47,0.596,28,1.0,2,"Echols Memorial Hall, Norfolk, Virginia","Penn St.-Wilkes Barre
			","Penn St.-Wilkes Barre
			",79.9,Home,NORFOLK-STATE,Norfolk State,Norfolk State,meac
2019-11-12-19-mississippi,47.1,8,8.3,3,98.6,82.1,23,0.375,52,0.327,17,0.404,21,0.762,16,1,200,79.7,22.9,8,21,55,,11.6,8,0.404,21,0.238,5,49.2,31,0.444,21.7,17,31,0.387,12,0.667,2,"November 12, 2019",53.8,14,9.7,3,79.7,77.1,27,0.559,51,0.51,26,0.333,17,0.647,11,0,200,98.6,17.9,5,16,68,,17.4,12,0.294,15,0.333,5,50.8,32,0.576,17.0,12,36,0.583,21,1.0,2,"The Pavilion at Ole Miss, Oxford, Mississippi",NORFOLK-STATE,Norfolk State,68.5,Home,MISSISSIPPI,Ole Miss,Norfolk State,meac
2019-11-14-20-norfolk-state,52.4,11,3.1,1,146.8,70.8,17,0.397,58,0.362,21,0.224,13,0.615,8,0,200,70.1,23.5,8,17,54,,2.6,2,0.345,20,0.2,4,43.1,25,0.421,26.5,23,38,0.447,17,0.0,0,"November 14, 2019",68.4,26,7.9,3,70.1,76.5,26,0.75,64,0.594,38,0.359,23,0.739,17,1,200,146.8,29.2,7,17,113,,20.8,16,0.5,32,0.625,20,56.9,33,0.754,8.6,7,32,0.563,18,0.75,3,"Echols Memorial Hall, Norfolk, Virginia","Newport News-Apprentice
			","Newport News-Apprentice
			",77.1,Home,NORFOLK-STATE,Norfolk State,Norfolk State,meac
2019-11-19-19-bradley,38.1,8,6.1,2,104.5,60.0,21,0.442,52,0.404,21,0.288,15,0.733,11,2,200,86.4,32.1,9,22,57,,12.1,8,0.385,20,0.2,4,47.6,30,0.482,21.4,16,32,0.531,17,0.6,3,"November 19, 2019",79.2,19,18.8,6,86.4,67.9,19,0.474,57,0.421,24,0.404,23,0.652,15,1,200,104.5,40.0,14,16,69,,6.1,4,0.421,24,0.25,6,52.4,33,0.508,15.2,12,33,0.545,18,0.75,3,"Carver Arena, Peoria, Illinois",NORFOLK-STATE,Norfolk State,66.0,Home,BRADLEY,Bradley,Norfolk State,meac
2019-11-22-20-northwestern,57.1,12,5.9,2,104.5,63.9,23,0.48,51,0.412,21,0.392,20,0.5,10,3,200,88.1,20.0,7,25,59,,10.4,7,0.412,21,0.333,7,42.3,30,0.488,19.0,14,30,0.467,14,0.5,3,"November 22, 2019",78.9,15,3.3,1,88.1,80.0,28,0.384,56,0.339,19,0.536,30,0.9,27,2,200,104.5,36.1,13,16,70,,7.5,5,0.393,22,0.227,5,57.7,41,0.498,12.6,10,34,0.412,14,0.5,2,"Welsh-Ryan Arena, Evanston, Illinois",NORFOLK-STATE,Norfolk State,67.4,Home,NORTHWESTERN,Northwestern,Norfolk State,meac
2019-11-26-17-norfolk-state,58.8,10,7.1,3,75.0,74.3,26,0.422,45,0.378,17,0.756,34,0.765,26,0,200,88.9,25.9,7,22,64,,5.6,4,0.267,12,0.333,4,53.2,33,0.523,23.1,18,33,0.394,13,0.0,0,"November 26, 2019",68.4,13,6.1,2,88.9,74.1,20,0.351,57,0.333,19,0.386,22,0.636,14,4,200,75.0,25.7,9,26,54,,15.3,11,0.263,15,0.133,2,46.8,29,0.4,17.4,14,42,0.405,17,0.429,3,"Echols Memorial Hall, Norfolk, Virginia",NORFOLK-STATE,Norfolk State,72.3,Away,"Caldwell
			","Caldwell
			",Norfolk State,meac
2019-11-27-19-monmouth,33.3,9,2.8,1,100.0,85.7,24,0.5,61,0.443,27,0.246,15,0.667,10,5,200,94.7,42.9,15,17,71,,6.7,5,0.311,19,0.368,7,61.9,39,0.521,24.6,22,42,0.476,20,0.375,3,"November 27, 2019",57.1,16,9.5,4,94.7,57.1,20,0.552,58,0.483,28,0.259,15,0.733,11,5,200,100.0,14.3,4,18,75,,16.0,12,0.379,22,0.364,8,38.1,24,0.576,16.8,13,36,0.556,20,0.444,4,"Multipurpose Activity Center, West Long Branch, New Jersey",NORFOLK-STATE,Norfolk State,74.6,Home,MONMOUTH,Monmouth,Norfolk State,meac
2019-12-01-16-norfolk-state,68.2,15,6.3,2,89.7,68.6,24,0.473,55,0.4,22,0.364,20,0.65,13,5,200,95.6,18.2,6,15,65,,7.4,5,0.509,28,0.286,8,44.1,30,0.504,12.4,9,27,0.519,14,0.167,1,"December 1, 2019",66.7,14,7.4,2,95.6,81.8,27,0.422,58,0.362,21,0.259,15,0.8,12,6,200,89.7,31.4,11,22,61,,4.4,3,0.448,26,0.269,7,55.9,38,0.468,18.8,15,32,0.438,14,0.333,3,"Echols Memorial Hall, Norfolk, Virginia",NORFOLK-STATE,Norfolk State,68.3,Away,NIAGARA,Niagara,Norfolk State,meac
2019-12-04-20-southern-illinois,41.7,10,4.2,1,120.6,60.7,17,0.5,54,0.444,24,0.167,9,0.556,5,7,200,93.7,26.7,8,16,59,,14.3,9,0.37,20,0.3,6,43.1,25,0.506,19.5,14,34,0.529,18,0.3,3,"December 4, 2019",80.8,21,5.9,2,93.7,73.3,22,0.611,54,0.481,26,0.204,11,0.909,10,5,200,120.6,39.3,11,12,76,,12.7,8,0.556,30,0.467,14,56.9,33,0.642,19.2,14,24,0.5,12,0.444,4,"The SIU Arena, Carbondale, Illinois",NORFOLK-STATE,Norfolk State,63.3,Home,SOUTHERN-ILLINOIS,Southern Illinois,Norfolk State,meac
