,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-11-06-19-western-michigan,23.1,6,11.5,3,108.7,75.0,27,0.518,55,0.473,26,0.327,18,0.444,8,1,200,94.2,21.9,7,20,65,,4.3,3,0.345,19,0.263,5,50.0,34,0.511,18.2,14,36,0.583,21,0.0,0,"November 6, 2019",47.6,10,5.6,2,94.2,78.1,25,0.457,58,0.362,21,0.483,28,0.786,22,0,200,108.7,25.0,9,17,75,,13.0,9,0.552,32,0.344,11,50.0,34,0.526,7.9,6,26,0.385,10,1.0,1,"University Arena, Kalamazoo, Michigan",MCNEESE-STATE,McNeese State,69.4,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2019-11-09-19-milwaukee,40.0,12,9.3,5,100.0,63.5,33,0.522,67,0.448,30,0.851,57,0.789,45,0,275,104.5,19.4,7,33,115,,5.5,6,0.373,25,0.4,10,45.5,40,0.611,19.3,22,42,0.476,20,1.0,2,"November 9, 2019",41.2,14,7.1,3,104.5,80.6,29,0.459,85,0.4,34,0.6,51,0.627,32,1,275,100.0,36.5,19,42,110,,11.8,13,0.365,31,0.323,10,54.5,48,0.504,15.7,20,54,0.444,24,0.5,1,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",MILWAUKEE,Milwaukee,79.7,Away,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2019-11-12-19-western-michigan,20.7,6,4.4,2,124.7,67.7,21,0.516,63,0.46,29,0.302,19,0.842,16,4,200,111.0,24.2,8,27,81,,6.8,5,0.286,18,0.389,7,45.3,29,0.562,10.1,8,45,0.489,22,0.0,0,"November 12, 2019",48.3,14,6.7,3,111.0,75.8,25,0.561,57,0.509,29,0.667,38,0.711,27,0,200,124.7,32.3,10,14,91,,2.7,2,0.211,12,0.5,6,54.7,35,0.606,9.8,8,45,0.511,23,1.0,3,"University Arena, Kalamazoo, Michigan",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,72.5,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2019-11-15-19-mississippi,45.0,9,6.5,3,110.4,67.9,19,0.381,59,0.339,20,0.288,17,0.765,13,1,200,75.3,24.2,8,19,58,,6.5,5,0.542,32,0.156,5,44.3,27,0.432,22.2,19,27,0.556,15,0.75,3,"November 15, 2019",50.0,16,18.5,5,75.3,75.8,25,0.566,61,0.525,32,0.328,20,0.8,16,0,200,110.4,32.1,9,20,85,,13.0,10,0.246,15,0.333,5,55.7,34,0.603,16.7,14,46,0.587,27,1.0,3,"The Pavilion at Ole Miss, Oxford, Mississippi",WESTERN-MICHIGAN,Western Michigan,76.8,Home,MISSISSIPPI,Ole Miss,Western Michigan,mac
2019-11-19-19-western-michigan,63.6,14,5.3,2,129.1,71.4,20,0.384,69,0.319,22,0.058,4,0.75,3,0,200,70.9,17.8,8,25,56,,5.1,4,0.507,35,0.257,9,38.4,28,0.395,17.5,15,34,0.382,13,0.0,0,"November 19, 2019",38.2,13,2.9,1,70.9,82.2,37,0.615,65,0.523,34,0.446,29,0.759,22,1,200,129.1,28.6,8,9,102,,7.6,6,0.415,27,0.444,12,61.6,45,0.647,10.4,9,38,0.579,22,0.8,4,"University Arena, Kalamazoo, Michigan","Alma
			","Alma
			",78.8,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
2019-11-22-20-oklahoma-state,56.5,13,0.0,0,102.9,62.8,27,0.482,57,0.404,23,0.263,15,0.533,8,2,200,92.6,17.6,6,19,63,,7.4,5,0.509,29,0.31,9,42.9,33,0.491,12.4,9,28,0.5,14,0.667,4,"November 22, 2019",50.0,12,17.9,5,92.6,82.4,28,0.43,64,0.375,24,0.375,24,0.625,15,0,200,102.9,37.2,16,19,70,,7.4,5,0.391,25,0.28,7,57.1,44,0.464,10.8,9,39,0.436,17,1.0,5,"Gallagher-Iba Arena, Stillwater, Oklahoma",WESTERN-MICHIGAN,Western Michigan,67.8,Home,OKLAHOMA-STATE,Oklahoma State,Western Michigan,mac
2019-11-25-12-western-michigan,58.3,14,9.4,3,79.7,86.5,32,0.575,53,0.453,24,0.358,19,0.632,12,3,200,114.1,36.4,12,12,73,,1.6,1,0.491,26,0.5,13,62.9,44,0.588,17.5,13,27,0.407,11,0.571,4,"November 25, 2019",31.3,5,7.4,2,114.1,63.6,21,0.333,54,0.296,16,0.333,18,0.833,15,3,200,79.7,13.5,5,17,51,,7.8,5,0.407,22,0.182,4,37.1,26,0.408,11.4,8,32,0.375,12,0.571,4,"HP Field House, Orlando, Florida",WESTERN-MICHIGAN,Western Michigan,64.3,Away,YALE,Yale,Western Michigan,mac
2019-11-26-12-seattle,47.6,10,11.4,4,93.7,73.2,30,0.42,56,0.375,21,0.179,10,0.8,8,4,200,87.3,25.8,8,19,55,,7.9,5,0.393,22,0.227,5,52.8,38,0.453,15.4,11,34,0.471,16,0.5,4,"November 26, 2019",42.9,9,11.8,4,87.3,74.2,23,0.421,57,0.368,21,0.333,19,0.579,11,5,200,93.7,26.8,11,14,59,,7.9,5,0.386,22,0.273,6,47.2,34,0.447,10.9,8,35,0.429,15,0.375,3,"HP Field House, Orlando, Florida",WESTERN-MICHIGAN,Western Michigan,63.4,Home,SEATTLE,Seattle,Western Michigan,mac
2019-12-03-19-western-michigan,36.0,9,7.7,2,98.4,69.0,29,0.587,46,0.543,25,0.522,24,0.75,18,4,200,114.3,20.8,5,17,72,,4.8,3,0.283,13,0.308,4,51.5,34,0.627,15.0,10,33,0.636,21,0.556,5,"December 3, 2019",55.0,11,3.0,1,114.3,79.2,19,0.393,61,0.328,20,0.344,21,0.667,14,5,200,98.4,31.0,13,21,62,,12.7,8,0.574,35,0.229,8,48.5,32,0.437,6.6,5,26,0.462,12,0.444,4,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,62.7,Away,OAKLAND,Oakland,Western Michigan,mac
2019-12-07-14-western-michigan,30.4,7,5.7,2,108.2,72.7,24,0.52,51,0.451,23,0.373,19,0.579,11,5,200,104.9,26.7,8,21,64,,4.9,3,0.412,21,0.333,7,50.8,32,0.533,13.2,9,30,0.533,16,0.5,5,"December 7, 2019",39.1,9,6.7,2,104.9,73.3,22,0.491,54,0.426,23,0.37,20,0.65,13,5,200,108.2,27.3,9,15,66,,3.3,2,0.352,19,0.368,7,49.2,31,0.52,10.0,7,35,0.457,16,0.5,5,"University Arena, Kalamazoo, Michigan",YOUNGSTOWN-STATE,Youngstown State,61.3,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac
